Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.41396859463523417,0.8018584847450256,1514.8961259363296,564.8374590355805,0.9051705002784729,1583.733906835206,628.6265215355807,0.7091387510299683,1526.3753803838952,538.778675093633,0.07690516114234924,1564.0278265449438,640.4674332865168,0.8099274039268494,1467.6252340823971,496.06097846441946,0.26466286182403564,950.5940572331461,390.3738734784645,0.12228497862815857,820.0506203183521,54.169007490636716,0.8682651519775391,839.369147940075,965.8824906367042,0.7437175512313843,260.531330465824,623.1751814138577,0.3840011656284332,682.6452042368915,842.4123654026218,0.6346636414527893,249.57270818703185,858.7292251872659,0.35019275546073914,1177.8187178136704,788.0296845739701,0.13713350892066956,1173.2810305477528,773.3319434691011,0.06580868363380432,804.876960440075,404.19578066479403,0.06035545468330383,281.63760753160113,608.158210440075,0.04325106739997864,683.2800064372659,850.8397705992509,0.060128986835479736,684.6249561095506,852.0439782303372
1,0.4461006294278538,0.8656370639801025,1522.4877106741574,564.4737535112359,0.8248059749603271,1574.7037394662923,627.028982326779,0.7944061756134033,1526.7916081460676,534.0409936797753,0.14389196038246155,1583.091643258427,642.3921026451312,0.8838562965393066,1463.1729868913858,490.8980717462547,0.38779014348983765,972.1209328183521,411.2761879681648,0.13045009970664978,1578.8083742977528,502.3027855805244,0.8815550804138184,850.0577159410112,973.2792017790262,0.7962915897369385,271.69448223899815,626.1606097846443,0.19953784346580505,720.9255764279027,892.3867626404494,0.748456597328186,258.5953593164794,861.3967404026218,0.2716485559940338,1173.9147354868915,779.5699467462548,0.12464204430580139,1036.6058052434457,772.2717696629213,0.0439872145652771,287.0251419124532,607.4193878745318,0.08495959639549255,272.9082360428371,609.2818059456929,0.14170381426811218,238.72787189840824,894.0251931179776,0.2600906491279602,242.2186256437266,891.7610311329588
2,0.3975328101831324,0.7867244482040405,846.0321570692885,205.55828651685397,0.8759708404541016,1573.985252808989,612.6926059222847,0.7559016942977905,1588.6680711610488,470.08887816011236,0.1826118528842926,1561.9661458333335,609.5535609784645,0.6813478469848633,1468.332748127341,483.42191889044943,0.448347806930542,1195.9162131320224,204.72158824906364,0.11889663338661194,845.5205407303371,273.735004096442,0.2940874993801117,1271.1860662453184,539.0638167134832,0.8285225629806519,271.319182320927,635.9472290496255,0.27556419372558594,996.021257607678,141.76476182116107,0.70803302526474,256.1698633544008,859.8921757958801,0.2235659956932068,1172.2464595037454,781.1565864934457,0.10263410210609436,328.7934881203184,857.9476825842696,0.057896167039871216,851.4135650749064,939.6680419007491,0.10747236013412476,280.1679724075375,600.0658356741574,0.1256551742553711,240.26052639279027,887.7011645599252,0.1848255693912506,242.28908810276218,886.0716584737829
3,0.43854230291703167,0.7734614014625549,1511.0636118913858,549.8017614700375,0.8110610246658325,1573.8543129681648,607.6819259129213,0.7323110103607178,1524.6917427434457,538.9197097378277,0.14642703533172607,1558.5908239700375,612.123200491573,0.8337002992630005,1463.038828417603,491.7977528089888,0.7533908486366272,1218.2079529494383,209.67667368913862,0.28220051527023315,782.2926907771536,315.6096383426966,0.4838920533657074,1264.022413389513,515.6838863529963,0.8626728057861328,273.7274147062266,631.6509392556179,0.15072017908096313,248.66925986072098,861.1483204588014,0.7078333497047424,256.6209474485019,863.0651626872659,0.21446624398231506,1180.8184837312735,784.711566596442,0.11892831325531006,328.2950754915731,859.263518258427,0.06702795624732971,288.1849470388577,601.9172811329588,0.12785053253173828,282.3363069112828,604.9910024578653,0.1598982810974121,242.61865051498128,883.4628101591761,0.22937729954719543,244.33317605922286,881.8435451779026
4,0.44872258340611176,0.8804547786712646,1512.2272940074906,550.8645687031835,0.9597142338752747,1571.8793890449438,607.0357121956929,0.869735062122345,1586.2905255149813,465.9272588951311,0.2502134144306183,1592.9383192883895,619.5327130149813,0.8490288853645325,1464.2105571161048,482.9419036750936,0.6088753342628479,1234.222261235955,202.9947185159176,0.25119709968566895,974.0868591994382,309.32130735018734,0.5933053493499756,1270.0517907303372,518.2884919241574,0.8348695635795593,271.68550298455057,627.5607882724719,0.12180072069168091,949.2737593632959,894.3884597378278,0.5478333234786987,258.0672109082397,861.5665964419477,0.15712600946426392,1207.6497395833335,785.7911253511236,0.09966769814491272,326.18054336376406,865.8775163857679,0.07080897688865662,282.57988061797755,601.9878716058053,0.15115922689437866,277.0918005325375,602.7974309456929,0.16859281063079834,245.8670558286517,883.1026158707866,0.21390143036842346,248.00931209035582,874.2973139044943
5,0.4534477503860698,0.8807815313339233,1512.258748829588,544.8614524812734,0.8306736946105957,1583.3264571629213,609.7491660814608,0.873711109161377,1589.9384070692884,464.2940221207865,0.21689099073410034,1143.9296582397003,200.01038740636704,0.8175702095031738,1465.4013050093633,483.95306647940083,0.6716371774673462,1240.4983029026218,206.71077656835212,0.739249050617218,991.125863178839,306.1905284410112,0.31453484296798706,1276.913916198502,518.1670616807116,0.8877175450325012,275.0891524754214,628.3202393492509,0.2759462594985962,994.6744791666667,885.0965589887642,0.566187858581543,255.70021725772472,862.1332221441949,0.14603030681610107,1198.952042368914,770.5445341760301,0.09342986345291138,330.0374531835206,862.8366397471912,0.03444415330886841,1265.9177492977528,849.5824555243446,0.03805410861968994,797.4931238295881,318.7096939372659,0.11718243360519409,256.50844159644197,880.3666315543071,0.20457062125205994,248.2395174976592,872.0861130617977
6,0.37905656765489015,0.7861279249191284,1515.9233087546818,534.8613793305244,0.8063051104545593,1578.9458977059926,602.7980161516854,0.7220004796981812,1523.5182584269664,532.8475392088015,0.10417985916137695,1590.7610603932585,608.244455173221,0.6943709850311279,1466.837107911985,477.2430945692885,0.2120949923992157,1329.3069698033707,500.5702832397004,0.3179864287376404,959.7343896301498,349.08861481741576,0.29529327154159546,1267.8462956460673,516.300474016854,0.7774709463119507,278.7039516034644,618.4003394194756,0.2666836082935333,1044.0766180945693,862.5253101591761,0.5947650671005249,254.9130237593633,857.4070985486892,0.2901940941810608,1247.5381846910113,631.6989992977528,0.2422461211681366,1167.7054073033707,622.1387816011236,0.06827008724212646,834.3698062968165,326.02213541666674,0.07010641694068909,1280.2627574906367,836.6581811797753,0.07314589619636536,245.92142512289325,885.8680067883895,0.12272036075592041,259.7859426205524,865.4993270131088
7,0.3652093568268944,0.7782050371170044,1502.704529494382,538.9424596207865,0.8858764171600342,1591.28204002809,599.052112593633,0.7291854619979858,1519.1836376404494,514.7553838951311,0.08364710211753845,1663.0280021067417,478.4516180945693,0.7909088134765625,1465.6292427434457,479.51193820224717,0.16682210564613342,1301.7772705992509,491.03244967228466,0.2992287874221802,1057.318366690075,300.56428487827714,0.2674201726913452,830.4777475421348,1017.5623244382023,0.8398317098617554,279.417774900515,616.4968106273409,0.2043820321559906,1092.9591672518727,854.9041725187267,0.5227627158164978,255.67803429307116,860.0531074438202,0.1747383177280426,579.246876463015,998.6999648876406,0.13653448224067688,1239.1673981741574,580.2991134129214,0.10103148221969604,833.3078037219101,319.50711025280907,0.08609989285469055,832.6157244850187,317.16965121722853,0.0598067045211792,242.3671582397004,886.8036048689139,0.08207783102989197,260.3917405489232,864.7218808520599
8,0.3604709541096407,0.8346171379089355,1496.7790262172284,533.6957952949439,0.9105795621871948,1592.7533941947565,591.040862008427,0.7987188100814819,1587.5374531835207,466.7321365870787,0.07971334457397461,1607.6385475187267,617.5201896067415,0.7253977656364441,1466.100479868914,479.45868445692884,0.16892161965370178,999.5327130149813,396.58729810393265,0.17272844910621643,1055.617904377341,306.2329558754682,0.18719834089279175,1263.2595973782772,510.8497191011236,0.8645904660224915,279.44853479049624,619.1107794943821,0.15593332052230835,1181.0918480805244,144.45886733380155,0.48919522762298584,258.5163565074906,861.7386470037454,0.198613703250885,518.7892088014981,967.5915847378278,0.11748877167701721,1164.0351416198503,651.4437763342696,0.07939267158508301,910.7862974016854,41.90934427668543,0.11795496940612793,910.5363412921348,41.63671143492513,0.09669899940490723,246.1996722846442,887.8890156835207,0.1302630603313446,246.91142907303373,886.1516853932585
9,0.38462434796726,0.8040820360183716,1505.1477645131088,536.8115783005618,0.8762831687927246,1592.6108965355807,595.6846178604869,0.7483354806900024,1585.5935451779026,463.3062675561798,0.14877721667289734,1597.2496781367042,615.5142497659176,0.8373584747314453,1456.2175210674159,487.3430916432585,0.13929864764213562,1003.963673338015,391.4586990870787,0.28936654329299927,1045.5999092930713,308.02456402153564,0.29298967123031616,1264.5352001404494,505.91138518258435,0.9460889101028442,1254.4000175561798,505.86551966292143,0.28865736722946167,1190.6160024578653,157.2388884012172,0.5748391151428223,258.87265551849254,863.3182642790262,0.1455935835838318,1111.927741690075,565.4900368679776,0.09958106279373169,554.3573340941011,988.9488237359551,0.0774557888507843,908.0364144428839,43.21947419241576,0.09490010142326355,910.5500936329588,42.08351621020603,0.0635824203491211,244.97600655430713,884.9594744850187,0.11142432689666748,245.1747205641386,883.8464126872659
