Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.3418344294323641,0.9369839429855347,550.3505749648876,234.67128796523878,0.760757327079773,567.788908883427,237.36103186446627,0.7857781648635864,566.2246532654494,215.4000065835674,0.41718634963035583,561.2237205933989,251.9698856653792,0.6155838966369629,549.3249648876405,199.4185338395365,0.10473057627677917,502.7900610077247,253.6893214536517,0.204025000333786,536.1673762289325,210.99837056706463,0.13889318704605103,341.9372421436095,132.96087715063203,0.41184088587760925,340.7593322068118,134.4844518082865,0.5575962662696838,237.24601145540728,116.85867823911516,0.5362350344657898,236.85623683286516,113.80261367626403,0.02118358016014099,215.49450820751403,213.3269783620084,0.02333354949951172,275.61583786867976,336.2491221910112,0.018249720335006714,123.75319577334972,154.90489488237358,0.03888899087905884,122.02688838658707,153.4514077861657,0.10713407397270203,247.00063641151684,327.7970011850421,0.13278475403785706,31.13480471493153,438.98113807935397
1,0.37508998022359963,0.9705926179885864,550.7572199789325,230.98040291432585,0.9014170169830322,568.2443820224719,230.7898635007022,0.8909224271774292,561.1113061797753,212.3852264747191,0.45166993141174316,562.1832206811797,252.64522252457863,0.5366641283035278,547.1417990695224,198.03757571102528,0.13303378224372864,514.3187104985955,244.7660090414326,0.2524610161781311,536.4104744557584,211.26695268609552,0.25884345173835754,342.0325392819522,132.84788667485955,0.6073541045188904,342.1728789940309,135.0216434778792,0.5452991127967834,236.2593541520365,117.1999264834972,0.561496376991272,236.6795777738764,114.55876382549155,0.02292943000793457,458.8513869382022,227.6297511411517,0.025490015745162964,477.4646681882022,212.34945575842698,0.02831244468688965,342.0776092872191,135.7906864466292,0.04776376485824585,479.74993416432585,228.43179424157302,0.07289600372314453,247.24963241748594,327.3132735691713,0.06938403844833374,243.16666849543537,328.05266305301967
2,0.3776109376374413,0.9758768677711487,553.308078037219,229.8974060744382,0.9121361970901489,568.8204441713483,231.73918649051967,0.8993738889694214,561.195466116573,211.82290752282302,0.4399489760398865,563.1267556179776,252.51840655723316,0.5689095258712769,546.8106456285112,199.21411407127806,0.09377840161323547,554.828278616573,222.673065528441,0.21167084574699402,535.5067701018259,212.35442086551967,0.2997252345085144,341.51150478405896,135.7980106653792,0.5901888608932495,341.46319785814603,136.40202554424155,0.5777012705802917,235.57181026158707,117.36399446980337,0.5597343444824219,236.97295799683988,115.01045141327248,0.024604201316833496,453.4789216116573,264.4504915730337,0.02288299798965454,457.3091588395365,265.1484594452247,0.02004796266555786,454.0599488676264,305.63056860077245,0.03318408131599426,452.61460893609546,305.09636696804773,0.09275689721107483,246.40967894136236,327.60879345154495,0.09686538577079773,240.59279538272472,326.57051000702245
3,0.38588372223517475,0.9795269966125488,552.9639769136236,229.3213164940309,0.9508270025253296,568.235933110955,231.14965545997188,0.9383504390716553,560.7171150807584,210.91604854283707,0.44260111451148987,564.8929073033707,252.87959752457863,0.5254632234573364,547.1507966116573,197.43915686446627,0.1178891658782959,553.7656908356741,221.8062565835674,0.2796975374221802,535.3878269838483,211.6525302844101,0.30232003331184387,338.2332996839888,135.0633394048455,0.6111566424369812,339.04601364992976,136.20709708567415,0.5644369721412659,235.79362162043537,117.25780701369382,0.571179986000061,236.70912153265448,115.08860384480337,0.01979440450668335,452.2684504476826,265.0904417573736,0.019858896732330322,457.46881034936797,265.6787932320927,0.027271628379821777,450.9617220417837,306.74694961376406,0.03806102275848389,451.9462671172753,303.9583699087079,0.08594626188278198,246.47038491924155,327.27810634655896,0.08564195036888123,30.811078360911164,439.0471383426966
4,0.3885032709907083,0.9786312580108643,552.8901860955056,229.08825820751406,0.9532454013824463,569.3720373946629,229.5919559778792,0.9410123229026794,560.6596185919943,210.5315133426966,0.44494691491127014,566.1643038974719,252.69413294417132,0.551031231880188,546.8312192766854,197.70280130793537,0.1116306483745575,552.8040510884831,221.37401795119382,0.2850320339202881,535.2193425210673,211.50856961025278,0.28342264890670776,339.48055653089887,134.79061512464887,0.6266844272613525,340.06205012289325,136.37892819522472,0.5735657215118408,235.28473929073033,117.29426351825842,0.5854423642158508,235.68705012289325,114.77135818995785,0.01994684338569641,208.66515427492976,195.99584686622188,0.02181386947631836,205.2162839053722,193.97348468223316,0.029542505741119385,342.5305587254213,136.97852659761236,0.051307111978530884,339.7124078300562,135.83251953125,0.07385554909706116,246.45118284761236,328.1097206372893,0.07344475388526917,240.42773986130618,326.78069039676967
5,0.38368228603811827,0.973971426486969,553.393006056882,230.77751931179773,0.9222645163536072,568.9315967345506,232.1284947770365,0.9179579019546509,560.5602615870787,213.2398009568118,0.3870038390159607,564.9811271067416,253.01321651158707,0.5639092922210693,546.8380222963483,197.6488434866573,0.11271575093269348,554.4116485252808,220.1433571804775,0.24767866730690002,535.818666608146,211.48248222436797,0.3376906216144562,339.79311139396066,136.14153572682585,0.5802399516105652,340.1194094540028,137.74773415554773,0.608527421951294,235.1388309778792,118.08692503511236,0.5877265930175781,235.68949152914325,116.6207371400983,0.025053948163986206,214.77358014396066,242.09949964887642,0.019311517477035522,200.63475190923455,236.4383997542135,0.025903671979904175,454.581696585323,303.0540071980337,0.04105713963508606,453.59281732794943,302.7568414238062,0.0865248441696167,239.6242428897472,328.19733694698033,0.08506175875663757,241.05619623419943,327.5765065396769
6,0.3812083479236154,0.9534558057785034,552.8736723139045,232.25037306882024,0.7966134548187256,571.1483387464888,234.0840611832865,0.9064404964447021,561.210663184691,214.54721515098316,0.26772236824035645,564.0591533532303,254.54666652036514,0.5804051756858826,546.524260445927,198.08371554599717,0.11405619978904724,554.1715129037921,219.57426264044943,0.23891925811767578,535.496675298455,211.9792398174157,0.43443554639816284,338.8859506671348,136.8205209796348,0.6205434203147888,339.634612008427,137.6823099543539,0.6241341233253479,238.73038645540728,119.19762772120785,0.5708932876586914,236.29781315835675,118.17174332865167,0.025776147842407227,212.4896308813202,212.12067679073033,0.02140069007873535,458.3934998244382,263.85078344452245,0.02924436330795288,251.71732356039325,168.21854152036514,0.036292195320129395,455.3821486569522,306.547577247191,0.11018046736717224,35.485939283049504,439.46239685744376,0.15002891421318054,30.68123806728406,439.22341336025283
7,0.3666405274587519,0.9369077682495117,550.527618065309,233.84878094276684,0.7111763954162598,570.1180653089888,238.0924936358848,0.8756312727928162,561.0921589712078,215.6441472085674,0.18685895204544067,564.3720922577247,256.05575732970505,0.599401593208313,546.7808001228932,199.56123266327245,0.11462083458900452,580.3806399227528,268.46133800035113,0.21094051003456116,536.4990234375,212.24510621488764,0.43102729320526123,338.7037230073736,136.82263320751406,0.6418912410736084,339.4510950667135,137.84846273700845,0.6594080328941345,239.06104612886236,119.12265734726122,0.5629453659057617,237.00337956460675,118.0737030372191,0.025157451629638672,391.08999188026684,233.78050386235952,0.017050743103027344,463.1340524051966,213.7199899051966,0.028663426637649536,251.01779209094101,168.88194566362358,0.03294503688812256,452.51527936271066,306.3940978318118,0.10998362302780151,235.26155964712078,327.7348961990871,0.08827942609786987,237.5581548455056,327.6612425386236
8,0.37216683170374704,0.9366114735603333,550.2458962429776,234.23718398876406,0.6966301798820496,570.8684274051966,239.69803370786514,0.8495485782623291,561.8128950140449,215.5130793539326,0.20380514860153198,562.2742385007023,255.48466028792132,0.5451401472091675,546.7014681355337,199.2326303546348,0.09929409623146057,566.0919395189607,276.13264791081457,0.188229501247406,536.6728296172753,212.73824284585675,0.5718055963516235,340.4100739554073,137.23133558637642,0.696508526802063,341.46308813202245,137.9415379213483,0.6668255925178528,240.4828223753511,119.51034717345505,0.5817756652832031,237.2386049420646,118.71527168188203,0.03250738978385925,390.81359177492976,235.64239159058985,0.014948755502700806,460.0549179248595,261.48772164676967,0.028109818696975708,344.26862052317415,138.43357729108146,0.03212115168571472,341.29704507549155,137.67874385533707,0.09965607523918152,236.07731851299155,326.7012486832865,0.08331844210624695,238.34585125526684,326.4402925298455
9,0.3743295424124774,0.9352459907531738,550.5730995435393,237.6583073648174,0.7133623361587524,570.6172643082865,243.03735625877806,0.7462605834007263,562.8317020716293,217.5457009304775,0.23487919569015503,562.3777650983146,260.20373397998594,0.5337837934494019,547.2172906425561,199.32205714536514,0.10508447885513306,558.1425013167135,214.0081032742275,0.18823689222335815,509.3016480863764,257.10550715414325,0.6077155470848083,341.4481653792135,137.98029867450845,0.7025506496429443,342.8147219540028,138.8692722963483,0.7104127407073975,239.89595220330057,120.50394465414325,0.5634738802909851,239.2746828915028,119.54685854108146,0.04473808407783508,392.3922763781601,236.96645672401684,0.018975675106048584,456.2627007988062,261.55909849016854,0.03464135527610779,344.11486679248594,139.87090721558985,0.038188159465789795,341.79462561446627,139.0866123156601,0.09993728995323181,235.61125680301964,326.21357092696627,0.08611556887626648,238.00109177492976,325.66954880617976
