Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.3490430414676666,0.9670273065567017,522.6576215765449,231.63170975245788,0.8919111490249634,539.8484133602528,238.5368844364466,0.9241200089454651,533.378083304073,215.00817459620788,0.2433086633682251,536.5251931179776,254.19126360603934,0.6166500449180603,519.8280591643259,199.11451018258424,0.09340962767601013,528.9262750175561,214.42204507549155,0.17505037784576416,507.60840941011236,212.50831175386236,0.18533197045326233,321.99770123771066,141.43252940660113,0.44565001130104065,452.73215304599717,223.85023481390448,0.8009166717529297,226.6501437412219,130.88719057233146,0.4423854351043701,226.4805483014396,129.1083106566011,0.014767080545425415,428.527557715941,341.3708084620786,0.011399000883102417,496.16046348314603,264.8705780372191,0.012474477291107178,230.1241825403792,174.17458523525278,0.013755440711975098,430.03560612710675,298.35281886411514,0.05354997515678406,227.70215666695927,314.92697726474717,0.042024463415145874,226.85368570049155,314.19543319873594
1,0.33650069377001596,0.9665433168411255,522.0308110955056,232.35656052492976,0.9060757160186768,538.1497981039325,239.06074438202245,0.9011787176132202,533.1027255969101,216.0355128599017,0.27362942695617676,537.7768938728932,246.32949657654495,0.6514177322387695,518.5716950491573,199.68404362710675,0.07941016554832458,519.8439145891854,252.8901860955056,0.1441173255443573,477.3652563202247,236.21362579002806,0.10398942232131958,423.38762947682585,334.3607630354635,0.49094337224960327,454.0109287219101,226.46251206987358,0.6271799802780151,226.76993723665728,130.1612151070927,0.4034941792488098,234.01641502808988,318.1930576281601,0.022139906883239746,427.8659914852528,342.0021177141854,0.01307252049446106,457.1976496664326,214.51330977879212,0.016469240188598633,237.52049135358146,176.57350004389042,0.014570087194442749,245.37079200316012,309.5776641502809,0.057643622159957886,232.1627293275983,316.24371817942415,0.048637062311172485,225.73553535375703,313.07191998771066
2,0.3066364807241103,0.9727704524993896,522.3772164676966,234.6166169241573,0.8548497557640076,537.0241726650281,239.20061775807585,0.9069600105285645,533.1955538974719,218.03296721383424,0.20705494284629822,533.1914940308989,253.39421304424155,0.6208153963088989,518.5288469978932,201.1503138167135,0.07949486374855042,525.9173103932584,208.52429336376406,0.1300550401210785,507.7588439255618,231.97816998771066,0.07832962274551392,450.5932068556882,223.662109375,0.3680707812309265,450.827362403441,222.3059767819522,0.4989531636238098,231.96692306004212,315.6694116485253,0.37027209997177124,232.32962276158707,316.5727045294944,0.012110710144042969,425.7329156425562,340.5000219452247,0.01103830337524414,495.32550254564603,266.5783828563904,0.01101270318031311,241.92067349894663,178.25258405021066,0.01828506588935852,241.88021199087078,177.10761938202245,0.03716325759887695,224.91745852352528,310.514313772823,0.03558400273323059,223.96031754740167,309.8308846120084
3,0.33042506084722634,0.963386058807373,522.6579507549158,232.25978208391854,0.8782190084457397,537.9888847436797,237.67838724543537,0.9488228559494019,533.1028353230337,214.8945806267556,0.22323739528656006,532.6209181882023,252.81521572155896,0.6580297946929932,519.8370567064607,199.53868394487358,0.11806008219718933,524.8638847436797,216.50204090589887,0.17224305868148804,480.3191932935393,237.64714273174155,0.05092048645019531,330.2428787745786,142.68209050210675,0.537799060344696,450.59797994206457,224.47463132022472,0.5384722352027893,228.1113802449087,121.68262267380618,0.39845961332321167,233.47047270014045,315.52794724367976,0.012846380472183228,425.39133821980334,348.6723687675562,0.013473272323608398,494.98886279845505,265.7494842872191,0.008427709341049194,247.50381298279493,163.64060305477528,0.02198842167854309,449.26859309164325,224.35640142205057,0.03857612609863281,227.7988802449087,310.1725717608848,0.03426447510719299,226.7512700798806,309.4950129476826
4,0.3229784088976243,0.9632376432418823,522.7980161516854,231.80252589536514,0.7861405611038208,541.073670119382,234.8474806882022,0.9500939846038818,532.2212407830056,214.02933527914325,0.12973636388778687,535.1394619030899,255.4418670997191,0.6092355251312256,519.5057935393259,198.02682255091293,0.13016313314437866,524.4925715414325,217.7119908707865,0.2060365080833435,507.4483738588483,212.08276641502806,0.07870429754257202,450.7141524754213,225.75826237710675,0.5223822593688965,453.7431969803371,223.23952664150278,0.5112356543540955,233.38030525807585,118.9552975772472,0.45354294776916504,231.41727747542134,118.39755969101122,0.0147552490234375,424.46475596910113,349.44281074438203,0.011852562427520752,518.0930148349719,305.44812148876406,0.019107669591903687,243.05323911516854,175.01025939255618,0.030211657285690308,240.23848972963484,172.89117363061797,0.04049786925315857,227.64205418275984,309.76381451896066,0.03369906544685364,227.27892929248594,309.09522581636236
5,0.32021112477078156,0.9692656993865967,524.3308900983146,231.83089009831457,0.806699812412262,542.0528660463483,234.64339009831457,0.9600703716278076,532.5763145189607,213.15945400280896,0.12454986572265625,535.6031096383426,254.77849038799155,0.6257693767547607,519.2920470505618,197.53310985779495,0.16666102409362793,523.1672445575842,218.251953125,0.23674800992012024,481.1373112710674,242.5345637289326,0.1075526773929596,444.88909432057585,214.83541081460675,0.4272541403770447,453.6027201106039,224.80594935042132,0.4026913046836853,232.72987622893257,119.31122169066012,0.4770359396934509,232.49149622542134,117.4634063377809,0.01003769040107727,448.37481895189603,249.44857136587075,0.017813056707382202,514.6965524051966,301.72308418188203,0.009876221418380737,302.02291081460675,336.09942832689603,0.011769294738769531,256.3469704617275,157.3486328125,0.04969674348831177,232.13623046875,312.64966643258424,0.04009789228439331,228.47568469101122,307.9780492889747
6,0.3203241053749533,0.9707541465759277,524.0948692064607,229.94028155723316,0.8531988859176636,542.0883624473314,233.12351869733146,0.9596409797668457,531.8195883075842,211.72442832689603,0.11744466423988342,535.4024205582865,255.71686819698033,0.6341570615768433,516.6266897823034,198.67793736832863,0.11220413446426392,483.09356346558985,246.63096910112358,0.2442825436592102,507.4137552668539,211.73161538799155,0.1441628634929657,442.2820016239466,213.52519860428367,0.3933010697364807,453.22781337780896,223.99765186095505,0.40912166237831116,233.4491035375702,115.02562104985955,0.44094088673591614,231.23976803897472,114.35837649227528,0.0187319815158844,422.9587923542837,349.91518170646066,0.013235926628112793,457.143280372191,249.1165675474017,0.013134121894836426,434.47943183813203,303.30226255266854,0.015369951725006104,198.87113764044943,301.8078750438904,0.05878129601478577,230.4998847875702,308.4795251053371,0.04704761505126953,230.38321848665728,307.7781282917837
7,0.35456379722146425,0.9858103394508362,525.5627304248595,229.81689453125,0.8957648277282715,540.9343179424158,230.99392665905896,0.9556676149368286,530.6047555301966,211.75449328476122,0.2324313223361969,535.4579968398876,255.4387947682584,0.6771008968353271,515.3077817766854,197.73558198735952,0.1456405520439148,524.2471142029494,218.0838801351826,0.24921822547912598,479.77105644311797,239.9097228318118,0.16998034715652466,324.94727659761236,137.31085959445227,0.5453307628631592,325.6465063202247,138.6251316713483,0.43758344650268555,235.00864093223313,112.55711244733146,0.5321623682975769,235.61476803897472,111.68204661165728,0.01531219482421875,411.0266250438904,350.92268697331457,0.012267738580703735,518.1903419066011,299.5483672752809,0.019091516733169556,249.24483738588484,160.07590304599717,0.026269763708114624,249.87145584620785,157.7417540818118,0.07467645406723022,228.2112858804424,306.42638474367976,0.0532761812210083,219.61720670207163,306.4839360955056
8,0.3435431122779846,0.9803242683410645,525.5367253335673,230.80146703827245,0.8541309833526611,539.0467543012641,235.82184866573033,0.9557451009750366,530.6173191713483,212.22047270014042,0.21315494179725647,535.2574723490169,255.16988347085675,0.6979208588600159,515.6208852703652,199.06085410814603,0.10397180914878845,522.8855775983146,216.5868866309691,0.21636530756950378,480.78635226474717,241.62666235077245,0.14891350269317627,324.9947605775983,137.85913360252806,0.5482990145683289,324.1407621576545,139.00130025456463,0.42604896426200867,239.03408093398875,111.00616112183988,0.5161374807357788,238.33068161867976,110.36961244733146,0.01719394326210022,525.9583479634831,297.6782775193118,0.0173855721950531,519.9823889571629,298.9496741134129,0.019514352083206177,255.30591643258427,162.43361569522472,0.04261523485183716,256.70550057057585,158.095428809691,0.04763650894165039,235.59249363588484,308.09392007549155,0.034875065088272095,240.41251536165728,303.88120501228934
9,0.34392014145851135,0.9793729782104492,526.9526860955056,231.09224126580057,0.900298535823822,542.9987600948034,232.36446080582863,0.9554382562637329,533.1306508953652,213.23508273349717,0.2399977445602417,542.5802097963483,246.1425506934691,0.5706335306167603,519.3480073735955,196.8184087517556,0.08487287163734436,485.66790291432585,245.45059032654495,0.22834497690200806,489.2806355337079,229.62270672401684,0.23819154500961304,326.0767150193118,137.08133997542132,0.6311159133911133,325.7666289940309,138.40592630793537,0.3200949430465698,237.3190890537219,108.97995852352528,0.5093508958816528,240.44485713658707,108.64211178897472,0.019547760486602783,410.40187192766854,352.12303590238764,0.019547462463378906,478.8891327247191,247.53936424683985,0.02544248104095459,258.17209993855334,161.39524995610952,0.028281033039093018,257.6863423893961,159.95586266678367,0.05433693528175354,232.37318403265448,308.68753840414325,0.04177454113960266,233.4983431355337,307.6366364554073
