Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.3699675184838912,0.8909072875976562,1465.631729868914,689.2862681413858,0.7992530465126038,1547.800942181648,660.4009392556179,0.7922016382217407,1475.7900280898878,682.5245786516855,0.09729784727096558,1538.567269428839,734.9729342228466,0.685457170009613,1417.4777621722847,644.7114934456929,0.20428907871246338,1316.1178897471912,618.4426205524344,0.10322225093841553,1536.0974075374531,613.2503803838952,0.8110377788543701,783.4055331226592,1004.905781835206,0.3258058428764343,791.8180155664794,996.8628569756554,0.8756003379821777,510.21901334269666,713.6608292368915,0.3292946219444275,787.6082631086142,277.0562675561798,0.16388750076293945,1170.0304307116105,899.1849543539327,0.10595658421516418,1168.2665466994383,890.5713073501872,0.02731272578239441,798.268594920412,295.95271535580525,0.02354496717453003,1097.2512874531835,945.4435861423221,0.01715219020843506,781.9121605805244,870.0054131554307,0.03722694516181946,251.6463124707397,928.1198794475656
1,0.32596579895300026,0.8789414167404175,1490.69610252809,676.3577510533707,0.71051025390625,1541.8654904026218,642.8668510065543,0.7356371879577637,1477.0773349719102,679.2632988061798,0.06365442276000977,1561.3633836610488,725.7492099719102,0.3404935598373413,1429.2971676029963,595.6804482677903,0.09612751007080078,1402.2041783707866,719.0028089887642,0.09888988733291626,1530.880149812734,641.1707777387642,0.7621519565582275,784.2745640215356,1004.7363647003747,0.3382404148578644,1252.7086259363296,659.5975245786517,0.8404278755187988,532.6522998595506,728.5939694522472,0.2622660994529724,787.8484901685393,276.37179599719104,0.1523023545742035,1167.5203359082398,909.7302200374531,0.09841430187225342,1169.5807730571162,901.5308988764045,0.02373361587524414,816.1873829588015,260.3522208567416,0.05743676424026489,1314.6522413389514,756.0923601357679,0.015559166669845581,816.6750790028091,874.9774695692884,0.06663179397583008,254.2455963249064,922.1696512172284
2,0.40568650294752684,0.9002387523651123,1477.7820692883895,683.4851942883895,0.8907912969589233,1540.452656835206,665.6051761470037,0.7193138599395752,1483.1693293539327,672.902036516854,0.20429232716560364,1553.90390917603,644.6166900749065,0.5835610628128052,1429.7736715823971,635.4683110955057,0.18481957912445068,1398.3208977059926,721.7316976825844,0.2620186507701874,1521.7667368913858,659.0102703651685,0.8186817169189453,782.5671523876405,1012.4568410580525,0.3732747733592987,790.3520745552435,1007.1250292602997,0.9316675066947937,548.6341292134832,742.4397969335207,0.311218798160553,806.9384948501873,264.0157566713483,0.18137118220329285,1165.0123624765918,914.1025866104869,0.13369861245155334,791.7096793071162,845.6061271067417,0.16688069701194763,829.6204939138577,241.92664442883893,0.17780068516731262,835.1433023174158,244.00178487827714,0.029110461473464966,819.1491104868915,928.3264571629213,0.02793058753013611,252.7238047167603,928.5849719101125
3,0.4034127505386577,0.7245129346847534,1481.79453417603,681.804848431648,0.8405126929283142,1559.8564782303372,651.7306735720974,0.7349148392677307,1563.0944229868915,613.4756115402622,0.24300488829612732,1558.3425503277153,655.474455758427,0.4786145091056824,1433.1725479868915,601.3660902387641,0.15105873346328735,1426.1388108614233,714.9618153089889,0.21624335646629333,1527.0536341292136,613.5449584503747,0.742314338684082,791.2713600187266,1031.0391795411986,0.5485156178474426,311.99452832397003,687.7882139513108,0.9211941957473755,587.654457806648,775.6174654728466,0.3061736822128296,256.7492538623596,902.4473314606741,0.20056217908859253,1168.9837897940076,908.1220739700375,0.17990747094154358,785.9590794709738,841.6107794943821,0.27128440141677856,819.6714799859551,242.68360838014985,0.23273515701293945,822.6018258426967,240.80019604400752,0.035168617963790894,814.8766678370787,925.30079588015,0.03129914402961731,244.8986496371723,934.9430887172284
4,0.41662727208698497,0.7480793595314026,1476.3093984082398,674.9692766853932,0.7556195259094238,1500.4266151685395,674.3303048923221,0.6746239066123962,1493.8685042134832,651.3615548923221,0.1257343888282776,1566.0304014513108,655.291798338015,0.6813527941703796,1435.6482619382023,613.1517000234082,0.14447227120399475,1421.9819463951312,725.9601035814608,0.22007280588150024,1527.8566830524346,617.1929863061798,0.7913934588432312,806.7826837546817,1055.2165262172284,0.8477067947387695,311.31290964419475,667.7407391151685,0.9173339009284973,641.0508105102997,795.9482531601125,0.6445348858833313,263.9058110955056,909.8444815074906,0.15897136926651,1065.110238178839,1031.9374707397005,0.07305476069450378,428.1784000468165,793.1082484784645,0.08569338917732239,823.8839390215356,218.70508544007498,0.1483725607395172,830.2612213249064,227.91454529494388,0.020661473274230957,854.5529026217229,917.8120610955057,0.04498597979545593,247.7359294534176,928.2622308052435
5,0.397661978707594,0.7188304662704468,1542.404757724719,633.4085323033707,0.6819223761558533,1543.074379681648,734.9051234784645,0.771886944770813,1569.0386528558054,609.5556091994383,0.2280137836933136,1545.9980688202247,739.5433198735955,0.7017228007316589,1450.6388986423221,637.9293948970037,0.10942763090133667,1480.506642088015,712.0513664559926,0.19102784991264343,1526.0195751404494,608.5817532771537,0.7153862714767456,816.6950491573034,1069.850479868914,0.6219620108604431,822.9846237125469,1062.1275163857679,0.8561797142028809,705.5993240870787,810.3164501404494,0.45015543699264526,698.00547167603,807.5215063202247,0.13174191117286682,1153.6817503511236,807.945634363296,0.07445451617240906,524.0943571512172,665.7636206694756,0.16694197058677673,820.2639279026217,219.36936739232215,0.2774754762649536,821.4110779494382,219.0448706694757,0.021341949701309204,683.0269048455057,815.3613647003747,0.041782528162002563,262.2045075491573,920.2443235018727
6,0.36045154227929954,0.846774160861969,1496.1838717228466,669.3878745318352,0.6737070083618164,1539.0229985955057,754.6932789091761,0.8136762976646423,1557.216175093633,613.0412423923221,0.16217041015625,1547.774607911985,731.9280342930713,0.7249723672866821,1455.6988822565543,626.5971003043071,0.13269224762916565,858.0256612827716,266.68202832397003,0.14313405752182007,1341.0780957397005,689.1129008661048,0.6062720417976379,766.0350099485019,525.5707221441947,0.7753862142562866,310.63560685861427,680.5890829822097,0.19276249408721924,785.7527212078652,850.9272588951312,0.5439090728759766,262.06025427200376,902.0233497191011,0.11410519480705261,1151.2287862827716,803.1555770131088,0.09420177340507507,335.27614407771534,854.2791725187267,0.08734455704689026,810.5448999297753,239.05372191011236,0.13195577263832092,809.1346997893259,236.5180243445693,0.022914856672286987,243.86936373478466,929.6074730805244,0.061697691679000854,253.29291754447567,908.9848139044943
7,0.33329445649595824,0.7432683706283569,1494.368123829588,667.9012318586142,0.6580362319946289,1553.5037745786517,719.6937909644196,0.767866849899292,1560.9003394194758,613.2219247425094,0.07201525568962097,1554.8501872659176,694.7298542837079,0.4282779097557068,1457.11405664794,579.8231946395132,0.6298986077308655,833.2069288389513,300.6198062968165,0.31844303011894226,860.8878306413858,298.0705026919476,0.29377782344818115,303.7173930536049,675.7661809456929,0.5431128740310669,305.0620866982678,687.6374502574906,0.06354957818984985,263.0947521652622,900.7673513576779,0.48235538601875305,258.39626126521534,912.2198326310861,0.07740211486816406,587.7914325842697,1037.1888167134832,0.06217026710510254,326.0347539208802,887.8717521067417,0.03556743264198303,311.41908795646066,650.5250029260301,0.06334766745567322,317.1170558286517,654.1687148876406,0.2724519968032837,676.2496342462547,949.6746254681648,0.15446436405181885,674.5597056413858,953.0342930711611
8,0.39602525619899526,0.8853011727333069,1504.3237944756554,668.6784585674159,0.6473406553268433,1549.6719920411986,724.2171406835207,0.80600905418396,1562.8591701779026,607.237974016854,0.10292467474937439,1576.5632315074906,694.2311124765918,0.7960277795791626,1458.2452598314608,628.3641297986892,0.331398606300354,1183.3658854166667,357.6673689138577,0.22466343641281128,1331.0668305243446,685.5500936329588,0.26324722170829773,302.3220242275281,678.3048045411986,0.6965360641479492,308.56657449672286,689.0316303838952,0.492047518491745,933.1149783473783,537.558520599251,0.5996228456497192,261.922383397706,908.2936856273409,0.09023070335388184,1258.2909058988764,682.0039647705994,0.13744115829467773,957.7333508895132,549.648364349251,0.040550947189331055,314.38747220271534,673.3045850889514,0.10279428958892822,312.13194200608615,657.8855775983147,0.27484363317489624,674.4008953651686,955.1877048220974,0.24144959449768066,674.5464653558053,960.5888635299625
9,0.40308765804066377,0.9208717346191406,1498.137435627341,662.9762845271537,0.7506712079048157,1548.9053721910113,630.8563758192884,0.7665236592292786,1499.61405664794,630.915701076779,0.21193018555641174,1502.1156659644196,775.091804190075,0.8543518781661987,1452.6037277621724,608.4306969803372,0.3799273669719696,1187.5236276919477,360.1360603932585,0.24182242155075073,1324.1410639044943,662.7094305945693,0.3104894757270813,301.26896433169475,674.6111306179776,0.6390987634658813,306.50399768843636,682.0405401451312,0.14490264654159546,1097.716014161985,928.2748127340824,0.5796785354614258,264.3603698501873,915.5446804775281,0.09077712893486023,537.4183271886704,974.1429658239701,0.06719192862510681,363.64367538623594,885.3799449906367,0.04254832863807678,309.27094305945695,654.8722787921349,0.0689893364906311,315.2990402621723,655.311329588015,0.44989755749702454,674.8719861891386,956.834620786517,0.33281803131103516,673.1388986423221,963.051410346442
10,0.437074189676958,0.7265257239341736,1534.6349777621724,644.7366573033707,0.8959635496139526,1563.0881320224719,610.5939840823971,0.7216549515724182,1498.7287862827716,633.0470213014983,0.23453378677368164,1527.2316830524346,768.4279172518727,0.7282745242118835,1444.390069054307,596.8090911750936,0.5964341759681702,1190.8554248595506,361.4020072565544,0.24100741744041443,1329.6269311797753,669.489919826779,0.3027341067790985,300.44362271769666,682.9700667134832,0.660590410232544,301.4285426907772,686.1293012640449,0.3817649781703949,800.326252340824,1055.668597846442,0.8922696113586426,1185.3394926264045,937.0859667602997,0.10044896602630615,539.5167661516854,980.4857209737829,0.0871952474117279,649.7613091058053,1148.0727703651685,0.0565357506275177,313.2365548923221,674.7360720973784,0.08685743808746338,1262.5529611423221,692.8871137640449,0.3933188319206238,670.0147764513109,961.2160580524344,0.32415175437927246,668.0854254447565,965.8249941479401
11,0.4409443210153019,0.7747571468353271,1536.3873771067417,755.9116046348315,0.9678817987442017,1573.0265390917602,727.8765800561798,0.7379357218742371,1549.1586200842696,591.7567152387641,0.1908564567565918,1545.1931179775281,772.0863325140449,0.5925851464271545,1446.9260592228466,581.082192181648,0.7564019560813904,1187.030225889513,354.6355629681648,0.32249024510383606,1306.8650514981273,656.9761674859551,0.3643288016319275,300.60726094335206,680.875468164794,0.6262151002883911,305.5013386587079,685.4673601357679,0.24858111143112183,1140.2463717228466,635.4705056179776,0.8141249418258667,1256.975070224719,948.427112593633,0.09993088245391846,537.7086259363296,989.9710323033707,0.09337037801742554,656.4518960674158,1154.8165379213483,0.054031938314437866,310.0840867860487,660.0427931882023,0.05973505973815918,315.2868240870787,663.1633309925094,0.4733089208602905,675.0021945224719,957.9176907771537,0.3195178508758545,674.47031542603,964.1735428370787
12,0.42252273769939647,0.8881286382675171,1519.9877106741574,640.4519984784645,0.901904284954071,1567.9928897471912,725.8719569288389,0.7381368279457092,1553.4418890449438,591.7875848548689,0.15627607703208923,1555.157127808989,745.7040759597378,0.6920515298843384,1459.5902095037454,597.4203388342697,0.5128394961357117,1187.3076866807116,363.3452569054307,0.22342747449874878,1298.9549683988764,651.3801351825844,0.2831879258155823,300.4321197624064,669.7666491104869,0.5431502461433411,306.28849558169475,678.0255149812735,0.23946961760520935,874.8821541432585,1050.4378803838952,0.8003069162368774,1333.9456051029963,943.4078007958801,0.1977759599685669,1060.225084854869,723.8295148642324,0.1035495400428772,650.2754857209738,1146.4346324906367,0.06885147094726562,1149.276100187266,671.3609696863296,0.07070457935333252,1186.635797050562,684.6869879447565,0.46312642097473145,673.392585440075,964.0184632490636,0.29999953508377075,670.6207572565544,968.4418890449438
13,0.4630150847575244,0.8553496599197388,1524.91719335206,642.1804043773409,0.8635532855987549,1562.5048279494383,622.1988383661048,0.8809839487075806,1500.7527212078653,622.5116309691011,0.17517933249473572,1560.149373829588,735.5384626638577,0.6913477182388306,1452.0226182116105,611.1883339185395,0.7208796739578247,1205.016093164794,353.11739232209743,0.24807116389274597,1325.4735779494383,664.5193995786517,0.3492788076400757,300.4279867450843,683.2573297050562,0.5832327604293823,307.31946395131087,687.9495113529963,0.3617457151412964,1371.3761118913858,940.9787570224719,0.7864632606506348,1360.3107443820224,954.1821746254682,0.13421353697776794,544.761016502809,1006.2598022003747,0.12440815567970276,981.0399110486892,710.5850596910113,0.17537304759025574,1542.5857326779026,889.7954705056179,0.0734221339225769,1541.0205992509364,897.9721149344571,0.5381028652191162,671.9215970271536,962.4473314606741,0.30965137481689453,673.531645014045,965.6978581460676
