Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.31838389354593616,0.8832211494445801,384.12452269136236,234.7432957338483,0.6028193235397339,403.95845220330057,235.03574328476122,0.7922172546386719,392.14048235603934,212.1724675210674,0.09181720018386841,401.67302163799155,258.6169022120786,0.8042333126068115,370.45552800210675,198.2564244645365,0.12642431259155273,310.04987052317415,242.56213241748594,0.1259315013885498,331.5043451544944,221.20193995786514,0.2306414246559143,302.7311380793539,229.74883690308985,0.2989733815193176,308.50473468223316,228.32193096032302,0.6017927527427673,63.18652892380618,343.3362776509831,0.4497130215167999,181.21542255530196,290.2584873156601,0.12319183349609375,25.038459006320224,260.4772812061095,0.06178271770477295,45.092763150675914,256.5955275632022,0.06277316808700562,3.4766270069593794,236.13637859901684,0.055305302143096924,335.0346460235253,277.66223007373594,0.05551975965499878,49.09645337737008,331.43499824438203,0.046168774366378784,46.38740110933111,330.33052251580057
1,0.3272854861091165,0.9153705835342407,383.38483146067415,234.3302591731039,0.7335941791534424,402.0931355337079,234.23328871137642,0.8851222991943359,391.9065188290028,212.50131671348316,0.15435880422592163,394.1602385445927,258.73389769136236,0.7446448802947998,371.37281096383424,199.85365278265448,0.1239771842956543,25.06715753105249,176.58422577247188,0.12017259001731873,332.6367461815309,220.5297028616573,0.14453890919685364,302.87496159585675,228.18370347612358,0.36449506878852844,309.7404702861657,234.1813608233848,0.5386425256729126,70.40414188685043,346.4231478230337,0.5182310938835144,93.79963735516151,346.29465853230334,0.08692523837089539,26.706548112162043,260.3320038184691,0.050797730684280396,197.6220703125,289.89362052317415,0.05059272050857544,4.566178911187675,220.73019992099717,0.028097808361053467,1.687570529037647,235.34991660814603,0.05356505513191223,48.98895606566011,337.01923498946627,0.05072659254074097,110.81623891766151,345.4267248946629
2,0.31847210842020374,0.8800102472305298,385.4246126667837,235.8886444434691,0.521539568901062,400.77507790554773,235.38555016678367,0.7785292863845825,390.87465436271066,213.20915993679773,0.17293384671211243,404.3449350421348,252.35400939255618,0.7697533369064331,370.2449910024579,199.90914676966293,0.14479777216911316,37.21770897340239,171.86822441186797,0.1254802942276001,333.1229152036517,211.27145145716293,0.19891756772994995,301.71971010358146,228.9990783005618,0.30416297912597656,309.7530613588483,227.6566340414326,0.6136131286621094,69.59919790203651,347.41150588132024,0.5074787139892578,91.26309169812149,346.5556421172753,0.10541367530822754,269.8246576544944,299.41801264044943,0.045110464096069336,33.13267397076896,433.24312017205057,0.08780917525291443,4.460669956850202,236.4058110955056,0.056235283613204956,339.5311402738764,274.5451852176966,0.04761412739753723,110.00536286429073,346.0665927844101,0.05462637543678284,96.10269953695575,346.88081548455057
3,0.34267491803449746,0.9151325225830078,378.9601255266854,236.45348709620788,0.5931078195571899,395.79622761587075,235.9744777036517,0.7812255620956421,390.96814102001406,213.28967147998594,0.1066645085811615,397.9012135709269,254.4310974806882,0.6948615312576294,370.85827773876406,200.185546875,0.1607346534729004,27.49671507417486,176.76842850245788,0.20399877429008484,336.310760840941,210.3345549508427,0.275448203086853,304.00003840414325,232.75577159410113,0.48030105233192444,311.6935404231039,232.5443019224017,0.5538482666015625,70.85242110691713,346.9075886587079,0.592392086982727,45.19727385445927,127.56144662921346,0.131405770778656,265.19920777738764,324.94941625702245,0.05198743939399719,56.878363791476474,252.9021462429775,0.11505740880966187,3.745503800638606,236.0794856039326,0.05238062143325806,1.089168612876635,236.14548586727528,0.06353327631950378,97.8454864159059,346.4620457338483,0.05339410901069641,97.56969666213132,345.566131934691
4,0.31452443143900705,0.8142215013504028,382.0589832777388,240.62395760182585,0.49062687158584595,398.2165390186095,238.7520573648174,0.7403959035873413,391.5731434339888,213.2937862096208,0.12512308359146118,401.11605183462075,241.5862557057584,0.5609464049339294,372.2363006934691,201.48308571804773,0.1429728865623474,312.4500197507022,246.54647998595505,0.08909165859222412,338.4693754389045,211.85810217696627,0.21016418933868408,304.53231982970505,230.92331789852528,0.4137381315231323,311.4792453037219,229.47073604283707,0.514419436454773,77.8093385160639,350.6050847085674,0.6626521944999695,46.06520063421699,128.36222787921346,0.1735144853591919,33.22568743416433,255.45215392380618,0.07182431221008301,167.41400215063203,313.19684317942415,0.07375600934028625,3.5332606883531206,237.2795602176966,0.09831604361534119,178.23482213395366,342.09659190660113,0.09413483738899231,100.66909618591994,348.31323516502806,0.07101738452911377,118.1333254696278,349.37818205758424
5,0.29763900357134204,0.8943798542022705,382.31790949789325,245.29524556706457,0.48107317090034485,396.34540686446627,246.33084072155896,0.6578726768493652,387.3339020804073,226.18345110603934,0.08062884211540222,391.96437192766854,255.42496927668537,0.5999448895454407,370.9884403528792,201.0257472349017,0.1565874218940735,310.3388891327247,219.0234923630618,0.09654903411865234,337.7990585498595,209.67128796523878,0.2618812024593353,300.9490212429775,227.24228076720505,0.34537506103515625,25.862154156974192,332.8250636411517,0.3790966868400574,44.247155350245784,127.71511806530899,0.6455632448196411,45.77742673038097,127.71267665905899,0.11253800988197327,260.44255288799155,325.85350465238764,0.07438972592353821,31.834425336859198,435.37833567415726,0.060352832078933716,23.62656496883778,330.4471888167135,0.05882960557937622,21.31873655854986,329.13483694698033,0.06584203243255615,37.710043232092694,128.6273536253511,0.08895877003669739,29.747856225860254,133.4059537394663
6,0.3156952226863188,0.8998253345489502,380.7201325491573,241.74423389220505,0.5337375402450562,396.82318183813203,238.86244184515448,0.655957043170929,388.8558034146769,225.4248869820927,0.05989712476730347,398.9692327949438,238.5713933023174,0.6849045157432556,371.07608409410113,201.28160112359552,0.15754950046539307,24.786124925934867,179.3411494908708,0.06140643358230591,362.01490080758424,209.3876185042135,0.3481692671775818,305.00021945224717,219.85913908883424,0.24460208415985107,38.94214072923982,333.12884041432585,0.47430410981178284,48.17548087473666,128.21302778265448,0.7686638832092285,48.971146144224015,127.51253620962078,0.0803138017654419,44.38008512004038,250.87413316362358,0.055978089570999146,56.22621686271067,252.44302471032302,0.09515270590782166,34.299151817064605,328.2946914501404,0.10496261715888977,38.072976101650276,325.4664731829354,0.06419503688812256,108.89514708786868,344.7089514571629,0.07719969749450684,39.18814669834094,130.63265339712078
7,0.31389738181058097,0.8618547320365906,387.49295009655896,233.5294779231039,0.5907618403434753,402.28822858146066,236.23765581109552,0.7717480659484863,393.3567141415028,213.05825908532302,0.11005806922912598,396.7398448472612,256.8297928370786,0.7500252723693848,372.65240958567415,199.22500438904495,0.08546504378318787,333.92424508426967,252.70768412043537,0.08150854706764221,375.9770288360253,212.8226770979635,0.28644388914108276,303.10398744733146,229.76661253511236,0.27152904868125916,307.39400456460675,231.4128061358848,0.40339240431785583,50.93093700623244,131.32200776860955,0.7032361030578613,52.718265833479634,128.55029845505618,0.062434881925582886,261.39793824613764,330.3906524315309,0.0690222978591919,140.07169230600422,400.1784146769663,0.047794610261917114,128.83477714624297,341.80894487359546,0.05109596252441406,49.11125268829003,323.3353724104635,0.09413853287696838,44.00868619425913,130.66581811797752,0.09574618935585022,44.01363415664501,130.12281096383427
8,0.30674545028630423,0.8495322465896606,386.1901992626404,235.97727571980334,0.6025795340538025,402.43474038799155,236.3992549596208,0.8089861869812012,392.6512574613764,212.8885676351826,0.15348640084266663,395.4968947507022,257.36141590589887,0.6882155537605286,371.76867538623594,200.37756759129212,0.07474949955940247,420.9957371400983,285.24318052141854,0.07165771722793579,375.35433308462075,213.18101518609552,0.24077779054641724,302.5134963132022,219.54257922226122,0.3601997196674347,299.8901092872191,228.17028945751406,0.507045328617096,46.40619170799684,137.34665774227528,0.5965322852134705,48.26809315199262,135.4691889044944,0.07089972496032715,267.70900083391854,326.0251711727528,0.06696000695228577,71.49973665730337,283.2250702247191,0.03500688076019287,76.6785765229986,317.7942580319522,0.0378495454788208,72.95884035946278,316.5919614641854,0.023766160011291504,170.7153868943118,343.8748683286517,0.02642807364463806,169.38387410024578,344.92302712429773
9,0.28089581342304454,0.884185791015625,385.4227473226826,235.5343113588483,0.5538514852523804,399.99541893433985,235.8737216906601,0.7165127992630005,392.81329551439603,214.11448275105334,0.09808418154716492,394.1480863764045,253.40214075667132,0.7281841039657593,371.33937192766854,199.67927054073033,0.08877357840538025,336.8013189080056,250.65673828125,0.08272787928581238,375.419921875,210.28202356917132,0.20863008499145508,304.84882483321627,228.95886367626406,0.2453608512878418,50.92674683988764,141.99405284410113,0.2953667640686035,42.84133053897472,141.70840831285113,0.4399119019508362,149.30765559164325,341.3834818293539,0.1566859781742096,261.34946673103934,321.74420646067415,0.09957674145698547,57.51052342104108,248.99839251228934,0.05514708161354065,39.01065440660112,144.5455418275983,0.07362928986549377,98.47574641195575,314.1846526070927,0.022074609994888306,61.35968497629916,136.9685689518961,0.02652570605278015,64.31673542837079,129.19952049683988
