Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.31162697252105265,0.9643528461456299,391.83464821804773,233.25903045997188,0.74311763048172,417.1601507636938,240.4195104020365,0.7997201681137085,401.52453476123594,210.7860505179073,0.1579628884792328,415.4386027475421,244.55127501755618,0.5125046968460083,386.7506528704354,187.90546545821627,0.24483558535575867,337.2486723139045,262.0117736130618,0.23767507076263428,343.3008635445927,236.01751777563203,0.24926334619522095,437.26899907830057,305.3925452071629,0.18358245491981506,311.8992494733146,355.7690155372191,0.18551254272460938,314.4093168451545,217.63660902387642,0.2011132538318634,110.72224477703651,343.8065089536517,0.3293716609477997,50.39891618021419,260.31817832689603,0.11792197823524475,99.90826896067415,252.3751042398174,0.10534694790840149,54.098596465721556,242.2112557057584,0.06754496693611145,13.465203274501842,234.21052054073033,0.12101379036903381,43.13617834884129,241.71463527036514,0.07681870460510254,43.17603979217872,242.09502830933985
1,0.2879638531628777,0.9699710607528687,392.78394377633424,235.1464020804073,0.7552763819694519,416.73167025105334,241.22917946804773,0.6670714616775513,402.9139143697331,212.37732619382024,0.1550840139389038,416.01170229108146,251.84167068995788,0.4135543406009674,385.6893543714888,186.850311622191,0.2840324342250824,337.53489290730334,259.97937148876406,0.22110846638679504,335.0321771857444,218.9501953125,0.24800273776054382,303.80952642205057,211.3301549332865,0.23888525366783142,310.6314738412921,356.37563641151684,0.20455804467201233,315.4744831899579,218.13147384129212,0.12015411257743835,53.64947715502107,131.23488522647472,0.1383109986782074,49.504723709620784,247.8218267205056,0.09657257795333862,-0.30691645118627653,167.91945553897472,0.10542526841163635,14.788631482070752,236.18150346734552,0.10163533687591553,13.891993319050648,236.06291695926967,0.08085232973098755,13.86646142166652,242.64972129564603,0.09489068388938904,11.665979449668626,243.40576171875
2,0.3387921136968276,0.9637519121170044,392.9935755354635,234.4966862710674,0.7951083183288574,416.4135467872191,240.77477615870788,0.7448994517326355,401.58537789676967,210.70633448911514,0.1375468373298645,415.57208457689603,241.38474367977528,0.5300590395927429,384.667145804073,187.55233936095505,0.4165857434272766,430.0756287306882,265.3270387113764,0.23952162265777588,335.45190704002806,218.95104568995788,0.32455700635910034,305.10358146067415,212.28899666432585,0.3043830990791321,294.41293780723316,211.2137903792135,0.21887752413749695,314.95429906952245,219.7851836815309,0.41413986682891846,53.43999969825316,130.88019553195224,0.2624606490135193,48.77904313333919,249.24993965063203,0.08577162027359009,102.04960169417134,255.55850596910113,0.09279698133468628,1.1078654514269881,238.17808001228934,0.08543461561203003,15.407407953498069,236.0860143082865,0.0708470344543457,420.75872871313203,303.25134963132024,0.0727246105670929,12.545860376250877,244.4555389747191
3,0.32289643322720246,0.9686081409454346,396.07570005266854,230.43756034936797,0.6413638591766357,417.2343804863062,232.54048893960675,0.770943820476532,400.7576863149579,208.905975684691,0.14311733841896057,415.5272065923455,240.0506111745084,0.49604788422584534,382.2600015361657,190.6888057408708,0.5988432765007019,430.65448889571627,262.71511806530896,0.3251918852329254,336.87110472261236,220.09675100948033,0.4431389570236206,435.5111042837079,305.87237754564603,0.2508369982242584,309.38342147998594,358.0924113412921,0.2171817421913147,79.72104876228933,343.19368855337075,0.20498520135879517,76.88098007373596,125.83578388342696,0.128456711769104,47.77830316779319,245.61347875702245,0.06386014819145203,94.04311962341994,228.99241243855334,0.07134026288986206,1.3398959127704748,237.5565089536517,0.054657578468322754,14.294466168692942,236.96055894487358,0.057528525590896606,28.03105043561271,255.2339909585674,0.05313703417778015,12.229059626547137,243.9493997981039
4,0.3017975810696097,0.9682421684265137,392.34185722436797,227.4092839273174,0.7014898061752319,414.862458304073,234.33791257022472,0.8315903544425964,400.96539786692415,210.36080692591293,0.1492862105369568,416.2574339448736,250.53036121839887,0.40213412046432495,386.13393719276684,186.0910068469101,0.28663575649261475,317.8189738412921,218.39303348841293,0.2704518437385559,335.13825491573033,220.28613829880618,0.3320326507091522,436.37275610077245,303.5349642292837,0.18841752409934998,297.4948703037219,207.4413513869382,0.23280474543571472,105.17721454748947,121.08472502633427,0.2552541494369507,115.25442744908707,342.96617143609546,0.21842023730278015,54.64903070685569,270.6095834796348,0.07504123449325562,81.82032895891854,217.53439913974717,0.05187132954597473,2.753769735272011,238.14881056882024,0.038423895835876465,14.655826868635884,238.28698318995788,0.0849769115447998,27.378243435634655,253.9343947507022,0.043485939502716064,42.8246521681882,257.2025050474017
5,0.33443716869634743,0.9646730422973633,395.6055510445927,230.82138232970505,0.7630808353424072,414.93767556179773,232.01034717345505,0.6916767954826355,402.04192086551967,210.11502040905896,0.22748708724975586,409.5210180389747,249.41908247015448,0.45651891827583313,384.30233387464887,190.3955626755618,0.31800758838653564,428.3354821365871,262.51281052492976,0.24796974658966064,334.33618438377806,217.8320586815309,0.45464158058166504,434.50140449438203,303.2096811358848,0.6087955236434937,-4.361954163969233,157.75785639044943,0.22743839025497437,314.64986393960675,218.01612425386236,0.48907604813575745,107.16746126667837,347.36399446980334,0.05054482817649841,412.48592762464887,304.7405525807584,0.06593948602676392,86.55075244689256,228.454315528441,0.02381032705307007,73.5876739159059,269.1898097349017,0.020007044076919556,1.110699792926231,322.0972228318118,0.03976592421531677,57.551104942064605,310.62104985955057,0.03599870204925537,112.87023651465941,348.77216467696627
6,0.338678694823209,0.9590922594070435,388.1139999561095,229.18031842521066,0.7259156703948975,414.2037449525983,233.23061139396066,0.5977027416229248,400.1466215326545,210.2856993943118,0.24144533276557922,409.50049925386236,250.36492165554773,0.49505725502967834,384.38306487008424,190.16162658005618,0.3644635081291199,320.41857772998594,218.77254871839887,0.24535012245178223,334.7090337517556,216.53342257724717,0.4213661849498749,14.210019915291433,162.0047511411517,0.9146914482116699,19.110098849521595,159.78617121664325,0.18876445293426514,106.52842318074087,126.65475223841293,0.38165655732154846,113.85363632373596,343.3319983321629,0.04981905221939087,414.2370742626404,306.01104393433985,0.07045862078666687,69.69190276070927,219.3132516239466,0.018421590328216553,311.38120501228934,360.98177449087075,0.016276538372039795,337.2855677229635,269.53958918539325,0.023956328630447388,116.0878659366222,344.69627808988764,0.04310014843940735,113.98915494425913,345.7007110252809
7,0.350277139860041,0.9467144012451172,391.7826654669944,229.1312982794944,0.731534481048584,407.3945806267556,236.03364751580057,0.7992138266563416,398.0269597085674,207.3723336551966,0.20637938380241394,416.1015131232444,239.71328563904495,0.5070203542709351,376.2357081724017,184.46727966994382,0.33716943860054016,316.46509063377806,215.53628642907302,0.21585780382156372,338.0054808198736,255.66439167837075,0.43396294116973877,432.27437565835675,302.7922280986657,0.800240159034729,10.691303724653265,179.61192613237358,0.25070908665657043,77.62352418363764,137.74954463658707,0.47769415378570557,118.59004674332864,345.9321234199438,0.03636062145233154,273.6743438377809,309.94856587956457,0.06096038222312927,51.176387486832866,242.05478625351122,0.029674917459487915,309.8899721295646,359.04159717345505,0.023101240396499634,309.6965524051966,358.83399534761236,0.03223520517349243,128.38252721207866,344.9586332514045,0.06588298082351685,126.52131155635533,346.3059603230337
8,0.32212017564212575,0.963211178779602,388.9842652738764,224.3627106741573,0.7039176225662231,407.843415335323,229.50702795821627,0.8233306407928467,397.63049179248594,206.3163020101826,0.146054208278656,400.2840535024579,251.3765965150983,0.5266457796096802,381.64325842696627,189.2529845505618,0.41043218970298767,317.93550298455057,216.5105172489466,0.25380939245224,330.5766382110253,211.7866979020365,0.34520089626312256,201.55038897910813,354.3237579002809,0.14317786693572998,302.5734067766854,361.1128423455056,0.15529736876487732,310.76791827598316,209.13242297226122,0.4484867453575134,132.76011949174858,345.8837341994382,0.11874088644981384,256.8169274490871,304.7856225860253,0.12158191204071045,255.69204266151684,301.18970549508424,0.045779019594192505,192.73451215765448,353.06251097261236,0.07400619983673096,192.5901948735955,350.50035112359546,0.07918092608451843,133.9207064167837,346.2316757373595,0.1171901524066925,137.93680598226825,350.46721383426967
9,0.3205319380058962,0.9705784320831299,392.0043122366573,226.6179116924157,0.7251515984535217,413.1587133514747,229.99487030372188,0.8476682901382446,397.81521572155896,206.18633141678367,0.2425858974456787,409.13969232794943,251.242401465941,0.46469202637672424,376.66594430301967,183.1278803107444,0.41079196333885193,315.9764527738764,217.41559317942415,0.23456984758377075,333.295624122191,241.7329869645365,0.31378692388534546,430.31562719452245,301.24818951896066,0.08242222666740417,301.2309076544944,361.1793363764045,0.3787410259246826,130.2929961815309,340.80511543188203,0.2832651436328888,94.48875170075492,142.2550912921348,0.12064704298973083,205.1536988676264,359.5642227001404,0.07750672101974487,196.73977626843399,329.57911802141854,0.03448900580406189,195.0984929116924,356.33651904845505,0.03306397795677185,191.33937192766854,353.9774622542135,0.10674610733985901,135.93429051088484,345.6778331285112,0.12233671545982361,133.51993175035113,344.57014791081457
