Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.4182322919368744,0.8352147340774536,1499.2791725187267,574.8605746722847,0.8399613499641418,1590.044768258427,538.5166491104869,0.6848522424697876,1579.4885299625469,511.03691186797755,0.22584018111228943,1439.7347553838952,546.5074906367041,0.7272630929946899,1466.1369089419477,530.5775983146068,0.3330686390399933,1208.9020804073034,214.49460147471916,0.3743220567703247,1362.0136938202247,607.8438816713483,0.2081884741783142,1292.394077715356,470.82206811797755,0.8788834810256958,277.6249049040262,632.0463190543071,0.2418118119239807,950.1973607209738,829.1379915730338,0.7864745855331421,964.5492450842697,830.8327481273409,0.13243883848190308,652.3799596207865,399.6177141853933,0.13848605751991272,358.86780928136704,864.7226123595506,0.08894908428192139,857.8786282771536,20.56326076779027,0.12039947509765625,279.07080261001875,607.4629857209738,0.2417108416557312,257.2704895248127,888.7399051966293,0.25208401679992676,253.1436900163858,886.8900690543071
1,0.41837943652096915,0.8156982660293579,1493.2189255617977,574.7488003277153,0.8681349158287048,1583.2315074906367,531.6331636235956,0.6953203082084656,1516.4748654026218,572.4924654728464,0.30308276414871216,1439.9805419007491,554.2714185393259,0.8222068548202515,1459.454149110487,542.8954529494382,0.4185500144958496,1234.8613061797753,222.69772647471916,0.14958322048187256,798.7232999765918,299.2456694756554,0.20946013927459717,1348.7243972378278,446.0318644662922,0.8869454860687256,277.9654582162921,625.9141649110488,0.3503800630569458,1296.7032420411986,508.67970213014985,0.767851710319519,986.8068235018727,805.5636996722847,0.14516788721084595,653.6361042837079,398.4336961610487,0.09760120511054993,574.7543963600187,1131.6554014513108,0.08777758479118347,852.1387816011236,24.93657830056179,0.1396235227584839,278.71192503511236,605.8942679073034,0.17484641075134277,258.22441186797755,890.1212839419477,0.18022006750106812,253.6387194229869,887.8872600655432
2,0.4011613411061904,0.7267343997955322,1502.1718457397005,564.1116573033709,0.8918731212615967,1579.0418714887642,530.926015332397,0.6120741367340088,1516.2416608146068,568.2195839185393,0.4189969003200531,1594.5496839887642,469.5030138108615,0.5915821194648743,1465.1821453651685,527.377033590824,0.36126160621643066,1465.1610779494383,633.7974748361423,0.15670153498649597,1541.1301790730338,626.8620523174159,0.2299070954322815,273.41573765215355,626.7376228932585,0.8240547776222229,278.15486379330525,634.2975333567415,0.3871581554412842,978.6701925327716,825.8732736423221,0.8232120275497437,992.9479751872659,822.4865402621724,0.11385565996170044,579.1366748595506,1056.1282771535582,0.1360454559326172,601.8236847495318,1137.0169124531835,0.09490960836410522,280.71175678838955,605.3617304541199,0.16563457250595093,294.59862183988764,600.5659673455057,0.1400860846042633,249.7503364934457,893.1343632958801,0.1456555426120758,247.24091833450376,890.938670411985
3,0.4236136184019201,0.8599254488945007,1504.2667368913858,567.2081285112359,0.8908131718635559,1585.6740110018727,532.4212897940075,0.717134952545166,1512.3466760299625,564.7872044709738,0.26152050495147705,1594.8615987827716,472.54147647471916,0.623257040977478,1462.4590355805244,525.6288038389514,0.3730025887489319,1438.2252165262173,631.7483029026218,0.16144803166389465,1535.589302434457,578.9742801966293,0.19592788815498352,273.9762004037921,628.5956519194756,0.8929879069328308,278.57264600889516,637.2041052200375,0.434248685836792,1276.752106741573,452.7698531132959,0.8310281038284302,999.1238734784645,818.3005617977528,0.17455747723579407,1298.370932818352,642.774534761236,0.23654356598854065,1226.2795529026218,616.1102820692884,0.116034597158432,1192.1240051498128,264.67221149344573,0.06737783551216125,281.085977732912,602.7613676264045,0.20176541805267334,253.77937002574907,890.6040788857679,0.1638582944869995,249.87558886352997,874.1515976123596
4,0.4299348399919622,0.8614307641983032,1496.4277563202247,565.5145423689139,0.883540153503418,1588.1162219101125,534.6180067883895,0.7238286733627319,1516.708362593633,547.649300678839,0.1915600299835205,1453.19142088015,542.7434456928839,0.7214934825897217,1463.40311914794,527.3095154494382,0.18858256936073303,1227.2490929307116,223.42235779494388,0.11752468347549438,767.9389044943821,288.41496956928836,0.30195820331573486,275.79774549391385,628.278982326779,0.8945629596710205,278.6258997542135,637.1205670646068,0.6032403111457825,1279.2471324906367,462.7704383192885,0.8284168243408203,1000.6011528558053,817.1648232677903,0.12035748362541199,563.3676410346442,1010.0700784176031,0.15419802069664001,1185.829456343633,624.5894048455057,0.14189153909683228,1198.0373654026218,265.3823589653558,0.11100596189498901,288.17203593164794,599.5803341526217,0.20454543828964233,252.18887157654495,891.0058227996255,0.26075518131256104,251.0119857502341,889.774695692884
5,0.45557666175505696,0.886231005191803,1505.53985252809,572.0942327949439,0.8847322463989258,1591.55547752809,535.0765156835206,0.7372147440910339,1517.588366104869,546.8698794475656,0.14001813530921936,1451.4277563202247,539.3843632958802,0.7183210849761963,1463.4348665730338,522.8516356507491,0.1990777850151062,1426.4371196161048,632.7922372425094,0.1437632441520691,780.5090560627341,288.6770687031835,0.5609419345855713,1352.4366514513108,442.0892585440075,0.8969133496284485,280.1252889454588,645.1199672284645,0.5571452379226685,1311.214448735955,511.6969510767791,0.8076180219650269,1019.4136235955057,806.1974777621724,0.19184142351150513,1290.7892965823971,629.4711200842696,0.19621405005455017,1235.5394136235955,615.7882724719102,0.10889989137649536,1141.2200081928838,272.2291227762172,0.11472523212432861,289.6166352118446,607.9134480337079,0.2536584138870239,254.0269853113296,888.7415145131088,0.3474874496459961,252.66716774929776,888.6528558052435
6,0.45362865749527426,0.8298795223236084,1511.8088717228466,577.292032420412,0.9126859903335571,1590.8772237827716,537.0947448501873,0.8290123343467712,1517.350479868914,553.7393931413858,0.18930917978286743,1441.600392088015,540.4889396067416,0.6844146251678467,1465.9025339419477,528.320239349251,0.25764036178588867,1476.7522530430713,634.6586054541199,0.16490322351455688,1516.1827013108614,491.1235223548689,0.4154255986213684,1351.2303955992509,448.75877808988764,0.8675252795219421,281.4960974075375,643.3266034644196,0.35562384128570557,1291.9974543539327,510.6598929073034,0.8535817265510559,1011.1124765917604,798.6356653792136,0.2262692153453827,1299.5193995786517,640.9802931882023,0.16208121180534363,1226.427024812734,632.7694873595506,0.14167293906211853,1039.4292047050562,295.8920002340824,0.17417025566101074,293.0093120903558,609.0788126170412,0.2609325647354126,264.90252662687266,899.8775456460676,0.38655930757522583,257.0173513576779,894.6456577715355
7,0.475146398824804,0.861409604549408,1497.9953768726593,582.6190894194757,0.9112733602523804,1586.3121781367042,648.8303195224719,0.7814509868621826,1589.534614934457,526.5575257490638,0.15850991010665894,1595.809925093633,663.7041344803372,0.6996476054191589,1466.2530723314608,525.6971266385768,0.3333050310611725,1232.4190952715355,219.8120757256554,0.21457639336585999,1544.5296406835207,666.5423103932585,0.4631437659263611,1342.6740987827716,445.54694815074913,0.8917379379272461,280.6970169124532,640.4539003979401,0.4496113955974579,1297.9593867041199,520.1317444990638,0.8615461587905884,1012.3706694756555,799.8475538389514,0.3121698498725891,1271.002896769663,647.4997805477528,0.18569692969322205,1179.4705348782772,619.6257607677903,0.1352374255657196,1042.051878511236,258.6437119616105,0.22752580046653748,1032.4928312265918,277.55939840823976,0.23449841141700745,263.3849777621723,898.360545411985,0.35614821314811707,253.81823136118913,890.1291842228466
8,0.43053441538530235,0.8835315704345703,1524.1821746254682,590.2318147237828,0.9114511013031006,1581.9431764981273,645.176951661985,0.8371228575706482,1596.283064138577,509.904538272472,0.17618504166603088,1594.6117158239701,665.4752604166667,0.5843661427497864,1462.6859492041199,520.5807437968165,0.29983294010162354,1216.0274754213483,235.70012581928836,0.16145625710487366,858.4080933988764,373.4391093164794,0.32316988706588745,1325.7986598782772,452.9331987359551,0.9064673185348511,281.5596654084738,634.2946804775281,0.409694641828537,1298.6237418071162,524.283049508427,0.9145510196685791,1022.4314577481274,794.2568615402622,0.2382672131061554,1276.5641093164795,644.9912950608614,0.11406174302101135,1258.2557935393259,636.8651977996255,0.045722514390945435,619.0812265917604,610.8669095271537,0.04192078113555908,292.09039238061797,604.7087137172284,0.17159026861190796,258.35908239700376,891.5684983614233,0.299693763256073,256.8006239758895,890.2238412921349
9,0.4205693549969617,0.8679144978523254,1503.2215589887642,587.2565543071162,0.8537582159042358,1581.84061914794,645.3962576076779,0.8320152759552002,1514.5113529962548,547.7936271067416,0.121365487575531,1569.7837663857679,660.8773700842696,0.5800338387489319,1463.7549742509364,516.6309691011236,0.4027227461338043,1210.4259568117977,233.06165145131092,0.14572694897651672,1552.762025983146,667.0951837546818,0.22004488110542297,1286.3434866573034,486.3456811797753,0.898821234703064,281.614766210206,629.4147208567415,0.29094812273979187,1009.5168393024345,199.45488061797755,0.9174875020980835,1027.6651743913858,791.5213892790262,0.31472426652908325,1271.9044066011236,644.9572799625469,0.1802958846092224,1176.0369850187267,624.8572828885767,0.047332942485809326,625.3467345505618,612.1365870786517,0.044827163219451904,284.9103354693352,604.7760855571162,0.14384713768959045,258.4583296757959,889.4725830992509,0.28781288862228394,257.41351752691946,888.1999063670412
