Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.35153618980856505,0.9878786206245422,517.9336376404494,198.8988983497191,0.8940157890319824,531.9313992275281,200.6982970505618,0.9484629034996033,519.6375197507023,181.82556838132024,0.22787439823150635,526.7874934164325,224.36838900105334,0.5712119340896606,515.4373683286517,167.66420514396066,0.21149635314941406,538.221010358146,241.9328805301966,0.2855566143989563,474.81061271067415,213.59728866748594,0.682154655456543,324.15102155021066,330.5895584620786,0.5251317024230957,250.30827554424155,221.42350443293537,0.10447832942008972,467.62755661867976,188.94125263342698,0.10760363936424255,310.0854766502809,207.3831416783708,0.04582637548446655,294.7117769048455,271.79788996664325,0.06868082284927368,288.33150456460675,273.9994623419944,0.0758865475654602,327.31790949789325,331.5791235077247,0.0904664397239685,249.7655701369382,212.4315857619382,0.08124184608459473,298.3545744820927,276.8747805477528,0.06814825534820557,315.76111525632024,319.6749912219101
1,0.3954464407528148,0.9897866249084473,517.2863083742977,198.20622476299155,0.8951324224472046,530.6956087605337,200.2640559164326,0.9617629051208496,519.0609089712078,181.62677207689603,0.2486993968486786,524.9806882022472,224.5040653528792,0.5575811862945557,514.5372300737359,168.6857827861657,0.20131364464759827,539.3619425912921,240.24046479985952,0.32367438077926636,474.43205758426967,214.7046172752809,0.7855405807495117,323.1666410639045,328.7053963307584,0.3274073600769043,322.8927646594101,331.2543890449438,0.5257357358932495,274.63044241573033,267.8890339712079,0.3373600244522095,313.24800298455057,146.7497476299157,0.055185019969940186,404.6674749824438,274.2794834094101,0.07851475477218628,333.1055236130618,307.0900083391854,0.17667487263679504,327.8076446190309,334.3282292398174,0.13556843996047974,321.14318161867976,331.8944489554073,0.058450281620025635,291.57898635007024,270.74482092696627,0.06420186161994934,290.28871686271066,269.7264802054073
2,0.4170672157231499,0.9819366335868835,515.7090502106741,196.9730677229635,0.9027767181396484,529.4749056355337,200.23511565133424,0.9355883598327637,518.8269728757023,182.1439661604635,0.25449618697166443,526.2010621488764,215.51914172226122,0.5403521060943604,515.9214251228932,169.58150456460675,0.17463982105255127,535.5041366748595,230.52322902036514,0.36542028188705444,473.8177010182584,214.75207382373594,0.725824236869812,321.9991002457865,328.0363687236657,0.24015846848487854,322.1301132373595,331.30467104108146,0.7956787347793579,278.2620753599017,272.0161626580056,0.6468672156333923,306.9715041257022,144.2386927229635,0.033619463443756104,345.0139900807584,326.3750329178371,0.04445716738700867,331.9112096207865,307.42006451896066,0.169740229845047,329.3917606653792,333.4718168451545,0.1465381383895874,322.5044439080056,331.46391107794943,0.04463893175125122,290.9573604283708,263.64318161867976,0.08740997314453125,289.2793462517556,263.0931794241573
3,0.40276969881618724,0.9738720655441284,513.9869535639045,196.0710092608848,0.8525208234786987,529.9938004740169,201.04810393258424,0.8907815217971802,519.6693403265449,182.06644465414325,0.22969850897789001,525.7166761762641,201.56230797928367,0.6001813411712646,514.7711661692416,170.3162306882022,0.1348615288734436,466.1698450667135,229.83557540379212,0.2994225025177002,471.83412701896066,214.0922357794944,0.7734878063201904,320.6438180301966,327.21056991748594,0.38463637232780457,323.5282435042135,330.2829562412219,0.5799713134765625,275.6760775105337,270.3951237710674,0.7161876559257507,308.9521978142556,141.90344649754212,0.03875333070755005,402.5077631232444,294.8996828915028,0.06429588794708252,302.7502304248595,275.7421600684691,0.09253004193305969,327.9472711113062,332.0193995786517,0.08592116832733154,321.829436227177,329.7190462605337,0.047260165214538574,286.5902332777388,263.4520661429073,0.08270284533500671,285.8613500702247,262.88143543714887
4,0.3747846484184265,0.9772567749023438,515.1787987183989,194.9609100684691,0.8677469491958618,530.5939475070224,199.73575206285113,0.8965739011764526,519.6358738588483,181.2674464536517,0.24482908844947815,529.697265625,215.83740234375,0.6517478823661804,515.1319456636236,170.5778726299157,0.12443065643310547,536.5873529669943,231.79920668012642,0.3285571336746216,473.7272318293539,215.0480600421348,0.8072344660758972,324.13154516327245,326.8408477440309,0.34093552827835083,324.85425627633424,327.48869820926967,0.3852170407772064,280.7572748419944,271.19255837429773,0.2947145700454712,314.03871686271066,144.5989235867275,0.03158417344093323,345.2206043714888,330.29412087429773,0.06865197420120239,307.94093442766854,279.52573626228934,0.08942914009094238,321.7451391327247,83.65763803546346,0.07747790217399597,319.2306278528792,81.2314974324087,0.07347482442855835,292.0348709620786,262.2220362974017,0.11147701740264893,291.9963845242275,261.42114532127806
5,0.36598342481781454,0.9744868278503418,513.9148635007023,195.47920141327245,0.9018702507019043,529.5853449789325,199.76211376404495,0.9028960466384888,518.5332360428371,182.1366145101826,0.2915852665901184,526.2690923455056,201.3281524315309,0.5274072289466858,514.8409519838483,171.32206263167132,0.16372263431549072,536.5531732794943,231.28442657127806,0.35586869716644287,475.47193205758424,216.31986810919943,0.7620940208435059,327.7783751755618,329.48919746313203,0.36032751202583313,437.33546567766854,194.46856895189603,0.16621246933937073,460.81921523876406,195.4586551966292,0.2329847812652588,467.6582250702247,189.80570246664325,0.06826552748680115,300.179045602177,234.0230534585674,0.04734271764755249,313.40927295470505,236.8897033005618,0.1612132489681244,281.0619568556882,237.63279604108146,0.20445600152015686,270.0972996400983,219.2850520101826,0.03879395127296448,328.28915028089887,324.09240036867976,0.06219103932380676,327.30605907654495,321.48997103230334
6,0.3641156466568218,0.9828195571899414,515.6547357794943,198.7671721383427,0.854192852973938,530.6769004564607,201.3475739554073,0.9130052924156189,520.8280481917135,183.18507505266854,0.2873779237270355,527.6988785990169,222.8898294856039,0.6120644211769104,515.254729195927,170.5033411604635,0.17086002230644226,540.2519860428371,240.67188048630618,0.31104302406311035,475.50600201896066,216.02270233497188,0.6541895270347595,325.23947726474717,331.8241145101826,0.4325615167617798,439.6656370698736,195.6156458479635,0.257863849401474,462.3026027036517,197.25215611832863,0.2913862466812134,463.1585213307584,194.7290587693118,0.04459676146507263,315.5711519048455,222.84292156776684,0.03886669874191284,339.7074152914326,250.05390295821627,0.14022961258888245,291.1399995610955,226.15840611832863,0.10270664095878601,287.8663480951545,221.90772581636236,0.047432005405426025,314.6611108672753,283.6108124122191,0.04877004027366638,317.9000340150983,282.66014527738764
7,0.38705236946835236,0.9871283173561096,516.2987183988764,199.35009216994382,0.8873131275177002,531.2393565660112,202.46919439080057,0.9261385202407837,519.6250109726124,182.90757768609552,0.2376531958580017,528.6616704705056,223.96465172928367,0.674004852771759,514.8820444171348,170.06822221734552,0.1956424117088318,537.9249144136236,241.55887903792132,0.21798938512802124,475.74054160814603,217.51078059164325,0.8176496028900146,327.2936874561095,335.15731982970505,0.5556897521018982,329.3803217169944,334.0890262903792,0.37990543246269226,461.88092521067415,196.90983804424155,0.2751004993915558,461.32625965589887,195.05807255091293,0.02268451452255249,423.15577817766854,270.3854953037219,0.03699582815170288,373.16919219627806,260.13455165905896,0.12243130803108215,315.25239751580057,248.16839668188203,0.11711364984512329,318.0281941274579,247.89984199438203,0.04691842198371887,320.30144509304773,282.17641766151684,0.0795314610004425,337.1971833304073,142.61087824789325
8,0.3680008369333604,0.9785175323486328,513.8425539852528,198.37479152036514,0.8485989570617676,523.8074416257023,200.634765625,0.8945841789245605,519.2898525280899,183.76308484023878,0.2551776170730591,526.8790050035112,222.68423016151684,0.5774708986282349,514.4293692942416,170.07305016678367,0.2503170669078827,537.6922401685393,239.85971515098316,0.3000381290912628,474.31432145365164,217.79211837254212,0.49649426341056824,333.4026619557584,339.94329902563203,0.7483937740325928,313.1836211815309,386.66887947682585,0.36706793308258057,461.8254586551966,195.27373924683985,0.3113427758216858,459.9170744820927,194.56869403967698,0.02420303225517273,347.0219232794944,196.66643807057585,0.03327739238739014,345.7032347261236,312.23171962780896,0.03990262746810913,334.5516590589888,315.4627150632022,0.041005223989486694,340.38758010007024,83.47508119733146,0.03899839520454407,340.30377677317415,309.7944006759129,0.05062443017959595,346.2809976299157,141.45035990168537
9,0.3306114901514614,0.9750530123710632,515.0371971558989,198.4567020716292,0.8329174518585205,526.4881605512641,200.5521418539326,0.8814780712127686,520.4155328300561,183.86609023876406,0.27022701501846313,527.3661341292135,222.09502830933985,0.5931135416030884,514.8582338483146,170.15394575140448,0.269472599029541,537.4946782830056,240.71867867801967,0.30228251218795776,476.04146550210675,218.5086848226826,0.2669309973716736,443.6878401509831,196.29010489817415,0.3104535639286041,437.90431333391854,195.7535990168539,0.3545531630516052,463.45445268609546,197.12876909234552,0.300863653421402,464.9487030372191,195.63243394487358,0.05751478672027588,358.4367593486657,210.6878182057584,0.046615272760391235,359.2855457777388,132.60714755969101,0.05386731028556824,360.10325228230334,241.56140273876406,0.0489974319934845,362.197265625,241.81717433286514,0.022108912467956543,343.6849598402388,278.7951248683286,0.03394603729248047,358.9273722787921,140.68894289852528
10,0.37682786057977113,0.9830565452575684,514.0470834796348,198.5856302668539,0.8126446008682251,534.9803590238764,202.16006846910113,0.9228386878967285,520.5852242801966,181.92292288448033,0.19146126508712769,527.3445180828652,226.1544011148174,0.6118066906929016,507.6966292134831,168.9547763781601,0.16260740160942078,529.8820992801966,235.91656974192415,0.21748295426368713,474.1108343574438,212.8197419241573,0.23528829216957092,376.2791871488764,253.54401663448033,0.42056378722190857,326.2398503335674,403.5874407478932,0.46266159415245056,462.59184076544943,198.84016744206463,0.24870935082435608,464.70489159058985,197.88162745786514,0.21377906203269958,364.96409212605334,212.44820926966293,0.22493305802345276,369.6896396594101,209.4987710674157,0.2523801326751709,372.1981434339888,236.0343881671348,0.35529810190200806,376.3231324613764,235.74479349543537,0.029896050691604614,366.0339766941713,281.03383953651684,0.060666054487228394,366.99155657478934,279.675018653441
11,0.3997215260477627,0.9868955612182617,511.5546545821629,201.09289962254212,0.8818241357803345,532.4663140800561,204.5633997542135,0.878273606300354,520.136170119382,183.72149863939603,0.181181401014328,526.8572792310393,226.61204134480334,0.616564929485321,508.19846163974717,169.37549376755618,0.2558913230895996,409.4792672489466,128.02119908707866,0.23000484704971313,506.1421940835674,180.9131133690309,0.2305048406124115,387.0047785726826,181.87831921523878,0.7002977728843689,330.1507088307584,79.47308143872894,0.1953815519809723,460.46084971910113,194.41425452071627,0.19856011867523193,405.03173828125,212.84050759304773,0.34450989961624146,400.6221471207865,206.51471427317415,0.28007692098617554,392.21978691186797,209.95695992801967,0.4008961319923401,392.2314453125,239.92250592521066,0.25014644861221313,393.60686227176967,241.0835454705056,0.07983782887458801,382.7994974543539,142.42867801966293,0.08441862463951111,384.1627073823736,253.53704902563203
12,0.3811369345468633,0.9878408908843994,512.3402936271067,200.85328520014042,0.8572635650634766,526.6351386938202,202.2571486569522,0.9027903079986572,518.7791322858146,184.20473248771066,0.2109377384185791,498.70391502808985,233.32305565308985,0.6708084344863892,507.9801066537921,170.58580034234552,0.16777470707893372,528.9097063728932,241.83788513869382,0.27050814032554626,506.21933154845505,181.44067657127806,0.28387367725372314,432.0569259129213,198.4277069434691,0.6422992944717407,340.76416015625,341.4865146594101,0.2545967698097229,437.70568161867976,213.24772866924155,0.7591900825500488,396.72640339712075,277.61013759655896,0.15290355682373047,420.14431728405896,213.4594452247191,0.1536816656589508,413.5942163360253,211.27227440308985,0.05600652098655701,441.6890142205056,200.9342630793539,0.054382503032684326,443.4979042310393,200.73124231917132,0.028509438037872314,399.2541366748595,166.57092147998594,0.025960594415664673,399.27273525280896,156.93581570400278
13,0.36653588624561534,0.9879974126815796,514.0776970681179,200.73532961727528,0.8516340255737305,533.653989641854,203.78072331460675,0.938718318939209,520.2238961551966,182.88516612535113,0.17175915837287903,528.9947441186797,229.37445136938203,0.6771895885467529,506.29301264044943,170.22899841994382,0.15863719582557678,529.0910287921348,243.3830758426966,0.3629024922847748,505.31326808286514,183.01820905021066,0.17814549803733826,339.6258064870084,344.2212737008427,0.6800784468650818,342.29267248946627,345.7810305477528,0.36663728952407837,402.70735494206457,141.6947199789326,0.6728687286376953,405.8337265186095,285.89226540554773,0.030683249235153198,442.57587561446627,182.8922708918539,0.04461529850959778,384.57387859901684,146.80935634655896,0.029741942882537842,413.23379345154495,117.26919109901684,0.028013020753860474,411.1303162306882,127.86983189957866,0.03157123923301697,531.1420843574438,178.7297555301966,0.019917160272598267,454.0990113676264,216.94961376404495
14,0.3823602865724003,0.9881842136383057,512.9918473490169,201.93101518609552,0.8530783653259277,532.5568929950842,204.96115695224717,0.9002434015274048,518.5814606741573,182.7364872278792,0.30573558807373047,531.0348270716293,227.64261652914325,0.7016299962997437,505.9611459796348,170.75776860955057,0.209995299577713,531.4486591467696,243.64326391327245,0.44542115926742554,457.21759238939603,197.98254806004212,0.15539535880088806,344.0258514747191,345.38475465238764,0.5956249237060547,346.66336573911514,344.3213987886236,0.4275537133216858,412.07346712605334,139.02906096383424,0.7656760215759277,457.1436095505618,233.89843201369382,0.023559510707855225,440.46246817942415,192.86434559339887,0.027693182229995728,438.83972853757024,193.2687412219101,0.03626203536987305,426.8791421611657,127.00228230337078,0.01988700032234192,339.4965765449438,69.74432441625703,0.025391966104507446,414.2411615607444,140.759003028441,0.01879313588142395,416.0112359550562,134.78197419241573
15,0.3283886821830974,0.9135087728500366,514.026948735955,206.1747278792135,0.4504201412200928,537.5618855337078,217.1707941976826,0.7319484949111938,527.0511652914325,192.5736262289326,0.18573832511901855,529.6717543012641,231.63590677668537,0.5958853960037231,499.4633843925562,179.39721954002806,0.16375145316123962,529.0935524929776,247.7361306179775,0.3779568076133728,478.964020804073,257.28573231214887,0.1503061056137085,350.42346054248594,344.39321453651684,0.7053054571151733,355.49162789676967,342.2799442591292,0.4389970898628235,417.30092938026684,139.61683637640448,0.7075278162956238,437.5545613149579,274.7065923455056,0.01933234930038452,451.0127995523174,197.73069917485952,0.021510004997253418,443.8716039764747,187.1020233497191,0.039482057094573975,429.0161407127809,129.4939979810393,0.019742876291275024,343.8401948735955,64.68071069610252,0.038146525621414185,420.84782632549155,141.52703103054773,0.023047924041748047,421.02481456285113,142.49094759480334
16,0.31319403122453127,0.8883569836616516,521.6714580407303,216.03655525807585,0.2871257960796356,535.0294614641854,216.05630596032302,0.749611496925354,532.1347765976124,194.95984023876406,0.1178928017616272,522.2257944171348,231.0160090414326,0.5240568518638611,515.5385906776685,175.60736152563203,0.1625818908214569,507.8258865870786,257.02494074789325,0.26787975430488586,488.2731302668539,255.29321563377806,0.22634604573249817,352.68631495786514,344.39453125,0.6115275621414185,355.41070488061797,346.9744667310393,0.3598957657814026,428.5396824525983,147.67076127984552,0.9228460788726807,436.9247059339888,276.4603449789326,0.01987510919570923,433.54157522823033,291.04829595330057,0.02809154987335205,417.2209938992275,151.07531601123594,0.034733742475509644,438.62332119030896,134.62907083918537,0.028285205364227295,435.19605315133424,295.22729766502806,0.05982095003128052,424.33045119382024,139.90903704353934,0.03537094593048096,424.57171150807585,141.12326632724717
17,0.31577036661260266,0.8520440459251404,522.4934164325842,215.79285353757024,0.37420594692230225,538.4625724192416,218.06629652387642,0.7383520603179932,529.3270496839888,194.66599367977528,0.13040444254875183,530.7222173455056,225.2856170997191,0.440483957529068,515.1429731390449,176.5935250614466,0.1595572531223297,529.7757198033707,247.70669658532302,0.22667673230171204,483.83624473314603,185.3343903616573,0.2652372121810913,356.7925133865871,344.1760665379213,0.805095911026001,356.0868098226826,345.12585586376406,0.3435569703578949,432.76550978757024,146.24500746137642,0.8862934708595276,440.6422270014045,276.1494634392556,0.01831480860710144,539.2039918363764,268.3684548367275,0.03001314401626587,453.1250274315309,181.47098841292132,0.022034913301467896,440.8223972963483,133.9278934778792,0.02848052978515625,349.4914742801966,65.70588186885533,0.02823573350906372,436.34584576896066,141.42635731214887,0.019109100103378296,437.92617626404495,142.69021023525278
18,0.30537402454544516,0.825705349445343,522.2584379389045,218.12585037745788,0.3087458312511444,540.7155789150281,219.399139747191,0.7559422254562378,531.1950820751405,196.94909256495788,0.11940532922744751,528.5107970505618,225.32177185744382,0.35862401127815247,512.8926549332865,175.36034058988764,0.10094991326332092,515.6459028265449,251.23436402738764,0.17138370871543884,475.16980117626406,192.41304204705057,0.3986804783344269,357.0504246400983,345.6031645014045,0.7092507481575012,351.66602659761236,71.02440308988764,0.4155545234680176,435.59419439080057,141.24410222085675,0.8979881405830383,443.73856105161514,275.8370457338483,0.014639824628829956,539.7256298279494,266.3115289238062,0.01929175853729248,453.76069829705057,181.12444588307585,0.023451268672943115,359.2764933725421,355.84017292837075,0.03996053338050842,349.48357399929773,65.86464185393257,0.018895357847213745,437.3904933286517,142.1093201369382,0.01288941502571106,438.9235044329354,143.12634414501406
19,0.35307536230367775,0.9006084203720093,519.2016875877808,214.51893324262642,0.49325719475746155,537.9480117626405,217.43235384480334,0.801211416721344,530.1022098841293,197.4772592608848,0.22233706712722778,527.3691515976124,225.00079551439603,0.5105833411216736,516.5920163272472,175.5130519224017,0.14187797904014587,468.002106741573,216.9750702247191,0.28428858518600464,471.89151378160113,189.73498397998594,0.32613301277160645,355.26183396242976,345.97266722261236,0.7807836532592773,355.7132746664326,346.65790686446627,0.4403218924999237,439.0291706899579,145.59142380617976,0.8961541652679443,444.1020562675562,276.7185579792837,0.016352027654647827,422.3636378599017,402.34835849719104,0.031805723905563354,427.10550715414325,163.16974082689603,0.04859563708305359,347.2802734375,62.95355293188203,0.07121685147285461,346.9958084620786,63.80885434954354,0.022792309522628784,439.30729898174155,142.60380091292132,0.013961881399154663,436.90322704529495,279.0047566274579
