Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.3207463551970089,0.19991907477378845,1789.3831928838952,677.3324847846443,0.6432774662971497,1870.1591760299625,700.4991075608614,0.45190557837486267,1861.125936329588,692.1030840355807,0.0779009759426117,1752.5536926498128,609.9076106039327,0.4546499252319336,1749.5097436797753,615.528514161985,0.11833569407463074,884.269224016854,404.8806179775281,0.3416569232940674,621.9346178604869,-21.611145248127343,0.27859848737716675,1448.1827890917602,212.85500058520597,0.6725246906280518,967.7268404728464,1058.6170119382023,0.23300012946128845,1559.2705407303372,465.61900163857683,0.8625456094741821,1146.0432028323971,713.8134948501872,0.19491314888000488,535.1347436797753,1005.4786985018727,0.12869977951049805,536.068512991573,1074.3199906367042,0.09402775764465332,1596.8540788857679,446.57003452715355,0.10572323203086853,178.7434530079588,682.7770950374531,0.23649168014526367,145.93656732794943,1001.6568644662923,0.3585178852081299,147.17028214243913,1000.5040086610488
1,0.2609865420004901,0.09653675556182861,1784.6193235018727,661.1848226825844,0.10894706845283508,1747.8932584269664,649.4327890917602,0.13167062401771545,1794.3425210674159,652.0978903323971,0.04452228546142578,1751.4712078651687,620.8296026451312,0.16883286833763123,1768.0577013108614,638.8012055243446,0.16758814454078674,1248.235457631086,754.2316976825844,0.25782930850982666,619.7080553604869,-17.94673162453182,0.366372287273407,1629.9975128745318,410.4085469335206,0.64195716381073,948.6949174859551,1048.66017088015,0.3416287899017334,1561.739524812734,466.70836259363296,0.9054510593414307,1140.3447594803372,725.7985867275281,0.21545889973640442,538.2189621371723,1003.6630969101125,0.15117794275283813,420.0231156367041,-29.70549508426967,0.07887616753578186,1599.894077715356,445.6377282303371,0.11584463715553284,1450.6999063670412,235.6838863529963,0.2553236186504364,145.11120742626406,1009.6011821161048,0.38875359296798706,146.71783561563672,1001.9875058520599
2,0.25015439356074615,0.07341399788856506,685.1364992977528,20.182767146535582,0.059639424085617065,675.0732238998128,17.523005910580537,0.0797160267829895,680.1474719101124,19.076142614700416,0.047757238149642944,666.2455378043071,16.329295411985015,0.10318905115127563,653.8701135299626,16.912050854400775,0.17864111065864563,893.5938231507491,425.4741631554307,0.2527770698070526,619.0363851825842,-24.579346617509373,0.6123262047767639,1452.9763576779026,215.61944054307116,0.62632155418396,944.3525427200375,1055.0719803370787,0.34369105100631714,1134.7810598080525,715.9711493445693,0.871022641658783,1143.127267673221,723.6884070692884,0.16799047589302063,537.0620098899813,1012.7438845973784,0.18039947748184204,538.8437061095506,1025.2797284644196,0.12326177954673767,1607.3886645599252,441.30778909176036,0.08946496248245239,1450.6786926498128,233.49967813670412,0.21936944127082825,1534.3363764044943,545.5398525280899,0.22364318370819092,144.95929160814606,1006.7333801498128
3,0.22475642141173868,0.08161982893943787,681.4791081460675,24.952086259363284,0.07191470265388489,673.1556501638577,23.253635592228477,0.10287484526634216,678.1007139513109,23.819712663857672,0.041005849838256836,661.1159146769663,21.54655313670412,0.09683719277381897,649.9630588717229,21.76743182350191,0.09524217247962952,643.7448794475656,117.53902592462543,0.21802669763565063,609.944771184457,-25.131269019194747,0.3661091923713684,1462.510387406367,236.75349660580525,0.5689671039581299,939.3486657303371,1058.9293656367042,0.38808098435401917,1132.7108204588014,716.2094013342696,0.8316763639450073,1143.1655255149813,726.0559310627341,0.19284820556640625,534.3960308403558,1012.9216409176031,0.18372884392738342,536.206329002809,1025.8219218164795,0.10908833146095276,1575.7672050561798,454.30696980337086,0.07472661137580872,169.17848051264045,694.5982560861423,0.20492935180664062,142.24410039208803,1012.9171055711611,0.19318288564682007,139.1463399022706,1011.8431062734082
4,0.24927006749545827,0.0944945216178894,1778.9609667602997,651.8283298220974,0.07836920022964478,1785.5338541666667,644.7236364700375,0.09026670455932617,1814.8060042134832,477.0305184925094,0.040844351053237915,1856.361481741573,509.7956899578652,0.10110297799110413,1775.0740285580525,475.77078944288394,0.10090106725692749,911.4208069990638,422.93948970037457,0.23033475875854492,606.8395218867041,-23.247600655430688,0.3796965181827545,153.98911151100188,705.9035580524344,0.7178050875663757,156.75035112359552,711.4219042602997,0.29910627007484436,1133.375468164794,718.3172401685395,0.8102450966835022,1144.0930038623596,727.444844335206,0.20295393466949463,545.1494469803371,1073.6001872659176,0.18555086851119995,537.0246298572098,1025.235399110487,0.11661070585250854,1559.4659995318352,479.72480688202245,0.04463750123977661,1662.4786399812735,473.3141678370787,0.34881138801574707,145.0052119908708,1007.3671582397005,0.3958601951599121,143.76881803019663,1001.0447389981273
5,0.32773550818948183,0.32739266753196716,1780.0296992041199,643.0738676264045,0.42078274488449097,1812.96406835206,649.8368738295881,0.27745744585990906,1817.9463658707866,640.4904757724719,0.05665028095245361,1792.1260533707866,662.0603639981273,0.15142175555229187,1770.9923630617977,547.9505354634832,0.14189660549163818,1621.8884597378278,603.422577247191,0.25312021374702454,605.9264908122659,-25.571563377808957,0.46151870489120483,156.54911341292134,709.3905079588014,0.6944118142127991,154.7776034351592,711.8746342462548,0.3655879497528076,1562.260797050562,508.17313319288394,0.8493331670761108,1140.4381729868915,727.0158151919477,0.22799447178840637,546.9438714302435,1070.506642088015,0.16483578085899353,535.7480761352997,1024.8485779494383,0.18416985869407654,1564.1308227996255,484.1678370786517,0.06709489226341248,1592.2271477059926,489.4906513342697,0.4000006914138794,144.54452686095507,1005.9434983614233,0.5278345942497253,143.29471888167134,1004.5400280898878
6,0.37725432655390573,0.5610304474830627,1779.5114992977528,647.135709269663,0.5789700746536255,1811.005091292135,648.1357531601125,0.6166082620620728,1796.1170119382023,616.7048513576779,0.15576767921447754,1749.3180887172284,579.4741924157304,0.4028606414794922,1742.4439665262173,577.0279582162922,0.17248088121414185,1626.825550093633,630.3190104166667,0.39184829592704773,1685.7079529494383,617.5861715823971,0.42023980617523193,160.57416022940075,692.9645072565543,0.6965082883834839,159.57735325959737,701.3586288623596,0.2018587589263916,1498.2416022940076,289.0035404962547,0.8898074626922607,1141.4750117041199,725.2393492509364,0.2529541850090027,537.7819229868915,1069.2648349719102,0.14245069026947021,529.1504637757491,1070.5682350187267,0.2128733992576599,1526.2084503745318,483.63866455992513,0.09087195992469788,1547.102645131086,485.61336903089887,0.302979975938797,1522.7969920411986,505.7245581694757,0.32321274280548096,146.1249030752575,1000.2658298220974
7,0.37112410804804635,0.7036396265029907,1776.8340355805244,646.4844481507491,0.46445804834365845,1801.030694054307,636.6172167602997,0.6315000057220459,1806.7247483614233,619.5787979868915,0.3047263026237488,1754.9878569756554,600.6721822331461,0.5910313129425049,1744.4632198033707,582.7702920177903,0.17081046104431152,952.7958216292135,393.5149666432585,0.34845706820487976,1687.791725187266,610.3118416432585,0.3878526985645294,163.82554643609552,697.2479956694756,0.6510462760925293,937.6508368445693,1056.6413565074906,0.2882222533226013,1135.8489144428838,714.4344715589889,0.761991024017334,1144.8486511001872,714.6520950374531,0.20284751057624817,533.4166154611423,1015.5933988764045,0.17281341552734375,428.76682467228466,-25.8406484082397,0.07814493775367737,1268.6850421348315,682.9983029026218,0.059868574142456055,1263.1896652621724,681.3846705290262,0.2389759123325348,143.89258909761236,1007.8253745318352,0.25272440910339355,142.672891795412,1006.853201076779
8,0.3801565030041863,0.5005743503570557,1789.2837078651687,674.6706753277153,0.5693138241767883,1867.3829588014983,708.4885592228466,0.5933736562728882,1806.3105688202247,624.9653265449438,0.22718024253845215,1715.8492801966293,596.6448677434457,0.8387020826339722,1739.4314723782772,593.839609667603,0.18835562467575073,944.6726503979401,389.7335849719101,0.2048090398311615,683.0300503277153,129.56065660112358,0.42279335856437683,158.13608233848316,707.8636323735955,0.6652384400367737,929.4542954119851,1043.6778733614233,0.2627432346343994,1115.7717404026218,715.9941186797753,0.8672895431518555,1109.1747132490636,731.0739992977528,0.20674926042556763,531.8225874882959,1002.1131788389514,0.16990926861763,422.04390507958806,-17.567188963014985,0.04699710011482239,177.53196687734084,695.217111423221,0.05114033818244934,175.10548338014982,691.9869937968165,0.2933553457260132,146.87955363412922,1008.4565191947565,0.3541358411312103,146.71428780430713,1006.8120903558054
9,0.3597656681257136,0.5019871592521667,1770.3394194756554,777.1537775046818,0.48410820960998535,1805.5762816011236,769.0586961610488,0.37096285820007324,1872.5479868913858,699.7990548923221,0.17936232686042786,1732.8496605805244,614.0845915262173,0.8868804574012756,1749.2502048220974,606.9968691479401,0.14105650782585144,1584.1470622659176,578.6958684456929,0.17211726307868958,680.4042310393259,131.96018404728466,0.41605961322784424,931.8880208333334,1063.0187851123596,0.6671401262283325,917.5068030196629,1044.6648232677903,0.16885030269622803,1099.6203476123596,732.4473314606741,0.9229651093482971,1100.0027065777153,734.1377721207866,0.2359408736228943,531.4208801498128,1014.2181647940076,0.136211097240448,520.0735530781835,1004.8744733146068,0.08540791273117065,176.75847085674158,695.9966058052435,0.09013304114341736,178.64416915379215,689.216336025281,0.31552091240882874,145.3269289852528,1008.5062617041199,0.34131258726119995,143.3402277914326,1007.2975187265918
