Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.3567710904514088,0.8741288781166077,1655.720095973783,591.6847349016854,0.8147915601730347,1776.1417368913858,628.0432174625469,0.7974435091018677,1666.0887757490636,541.4576749765918,0.1668940782546997,1819.40938085206,509.8796670177903,0.7229212522506714,1617.5374531835207,511.9050649578652,0.09653860330581665,1114.6692854634832,350.4931091994382,0.1526070535182953,1544.7830348782772,576.9436154026217,0.40712863206863403,1294.0257783239701,186.07765683520597,0.5344351530075073,434.0808242626405,647.4436007724719,0.16723468899726868,1256.0186973314608,879.4819463951312,0.6496270298957825,1250.2111130617977,881.801410346442,0.31249886751174927,731.7051439606741,344.5210088951311,0.22413524985313416,630.2146974485019,363.9673308754682,0.036852478981018066,1448.5647823033707,702.7685363998128,0.053668707609176636,1441.6523291198503,698.5039940308989,0.027712523937225342,1319.5030138108614,868.4367684925094,0.02649027109146118,405.9450711025281,907.7064314138577
1,0.28412755973198833,0.4202876091003418,1713.840706928839,586.4215385065544,0.551040530204773,1787.6351825842696,525.1368650514981,0.4663185477256775,1715.8890742041199,574.9641561329588,0.1102800965309143,1791.8235018726593,476.3112271769663,0.6188536882400513,1635.790466994382,505.6246342462547,0.08042466640472412,1683.359375,597.2281718164794,0.15095451474189758,1537.0814314138577,571.6885387406368,0.429002583026886,1308.3886352996255,193.3683725421348,0.565406084060669,436.26602001404495,650.6912014279026,0.36819830536842346,1370.044768258427,236.23149286048692,0.5750889778137207,403.6611949906367,847.2802551498128,0.2021150290966034,818.7273964185393,452.0738968867041,0.08326280117034912,721.9768989934457,446.0574672284645,0.04867783188819885,572.692423045412,282.9415379213483,0.09735122323036194,723.6291549625469,219.8091496956929,0.021465688943862915,409.8991251170412,927.9115461142324,0.041440337896347046,416.11957221441946,910.3186446629213
2,0.3071880077614504,0.44999951124191284,1705.6481156367042,586.7180184925094,0.5727177858352661,1786.087751638577,520.5615783005618,0.5995267033576965,1786.2485369850187,492.82866631554305,0.07971549034118652,1786.8338892790264,490.58037804307116,0.6898876428604126,1653.7469276685395,536.2925737359551,0.04708263278007507,1523.939460440075,532.3428721910112,0.34994837641716003,1549.18436914794,564.2723694990638,0.5731018781661987,1324.1915379213483,191.56132958801504,0.6318023204803467,439.02669270833337,648.1128569756554,0.15766143798828125,1371.7184573970037,264.5985486891386,0.5571275949478149,404.2150558871723,844.3308169475656,0.21130883693695068,820.914530664794,452.1281747425094,0.11332538723945618,545.8624107560862,13.701062148876417,0.042699575424194336,1328.5510299625469,166.80473870552441,0.07863566279411316,741.0383748829588,248.29193000936334,0.0217454731464386,1244.7267088014983,296.0940426029963,0.0459098219871521,409.0064299508427,908.7644838483147
3,0.2735603188767153,0.382196843624115,1675.4984492041199,582.6784878277153,0.5827034115791321,1786.107502340824,514.9625468164794,0.447163850069046,1789.9398700842696,489.7188816713483,0.1092938482761383,1864.59767088015,512.666564255618,0.4936702251434326,1644.3502750468165,512.781410931648,0.06622052192687988,1710.072272940075,599.4875058520599,0.2035006582736969,1542.4572799625469,576.2299566947565,0.4305039048194885,1335.0996313202247,190.56399227528095,0.5873368978500366,439.4774476240637,655.7391883192884,0.2615181803703308,1394.5965004681648,255.31484082397003,0.5601569414138794,401.0834723197566,847.9722612359551,0.18354344367980957,819.5581694756554,445.2449087078652,0.11554872989654541,716.5983438670412,-32.203263986423224,0.046175599098205566,1356.495640215356,171.5615490402622,0.08098950982093811,739.0164881788389,250.53107443820227,0.032390087842941284,414.3354620201311,923.2503803838952,0.06761276721954346,409.6670543656367,910.597495318352
4,0.2955019386375652,0.4463539123535156,1711.0124063670412,572.9149110486892,0.5380538105964661,1793.631788389513,524.2713453885768,0.49995940923690796,1724.9357736423221,566.5660112359551,0.10343804955482483,1673.8721617509364,549.7588219803371,0.5224717259407043,1650.21798923221,529.6351972144195,0.09762418270111084,1678.654465121723,605.5061300327716,0.23281115293502808,1544.300386235955,602.1574350421349,0.3701618015766144,1332.9993270131088,188.80135182584274,0.6667847633361816,1033.4923630617977,69.84129944990639,0.39409685134887695,1277.649520131086,885.2892380617977,0.5769391059875488,399.1669226942884,851.5412862827716,0.22568079829216003,737.0347612359551,343.1842521067416,0.11259916424751282,720.2467374765918,-32.77270599250937,0.05271095037460327,581.945627048221,276.17977528089887,0.06530886888504028,723.3212634597379,232.29239817415737,0.030582726001739502,404.32584269662925,914.1883192883895,0.08795568346977234,407.2358892205056,913.9853991104869
5,0.3083982888390036,0.6011533737182617,1734.4194756554307,693.2518433988764,0.8797820210456848,1772.169212312734,636.8812178136704,0.4349030554294586,1711.113208099251,574.1014161985019,0.08359324932098389,1785.8048045411986,484.9094393726592,0.4141427278518677,1652.0768960674159,526.8657098548689,0.1497422158718109,1471.2163506554307,487.8407361891386,0.2331542670726776,1515.141180945693,527.7904084737828,0.37823987007141113,1327.0902095037454,191.17099719101122,0.6088595390319824,437.84285756086143,636.3477294007491,0.16501516103744507,1397.4486481741574,249.1121693586142,0.5763112306594849,400.70477089185397,852.0985486891386,0.27088311314582825,734.1315543071162,344.3701720505618,0.14044666290283203,618.9080787687266,364.5818703183521,0.0734318196773529,1006.5435539559926,1047.3956870318352,0.11696717143058777,723.4827071629214,225.82550620318352,0.03004753589630127,404.9685086025281,913.505237593633,0.08609789609909058,406.89581138810865,912.7710966760301
6,0.3255523478283602,0.6755777597427368,1730.2569054307116,653.0876931179776,0.8976619243621826,1764.7692825374531,638.0471676029963,0.6660031080245972,1708.1324613764045,577.6222349016854,0.24437913298606873,1789.2971676029963,474.7652592462547,0.42080095410346985,1644.8185861423221,514.0768375468165,0.09522956609725952,1678.2262406367042,563.2048074672285,0.13186493515968323,1533.5933110955057,561.2991573033709,0.350250244140625,1322.0912336142324,199.93548103932585,0.516825258731842,435.84159936797755,649.6259070692884,0.2425951063632965,1418.136265215356,300.9173103932585,0.6223563551902771,403.04372951779027,849.5764571629213,0.2966175377368927,736.3668948970038,336.5300942181648,0.11916002631187439,622.7302054073034,365.46692123127343,0.08075785636901855,1409.091028792135,250.1139688670412,0.11528268456459045,724.7085674157304,218.06808871722853,0.01627984642982483,430.1980922284644,915.562821863296,0.0427476167678833,419.83793451544943,908.2262406367042
7,0.32725945290397196,0.8936448097229004,1722.3731566011236,679.0701808286517,0.9567711353302002,1770.8380149812735,646.6013430477528,0.5274384021759033,1707.6429365636704,578.2781776685393,0.1683388352394104,1779.9013927902622,691.051103113296,0.45156076550483704,1721.6965121722847,416.8134802200375,0.10886940360069275,1537.3678897471912,587.9374414794008,0.1739213466644287,1524.5145716292136,564.9420646067416,0.379751592874527,431.71238588483146,655.7713746488764,0.54183429479599,433.0643580290262,650.01953125,0.13332009315490723,1250.5032771535582,904.1428195224719,0.5564650893211365,404.46662131320227,852.0770423689139,0.270778626203537,737.5095827481274,337.79626053370794,0.17112457752227783,1416.786487593633,587.045002340824,0.060513079166412354,652.8964770599251,220.83523525280896,0.10836926102638245,742.5295529026217,224.15174391385767,0.014905273914337158,402.61978435159176,915.8062675561798,0.045804113149642944,403.8553736540262,914.8038096910113
8,0.3511965555303237,0.8268489837646484,1719.9403089887642,660.4191537921349,0.9494046568870544,1761.812821863296,649.201632724719,0.7253298759460449,1706.5139279026218,573.5618562734082,0.266656756401062,1770.991485252809,671.8249648876406,0.5267432332038879,1654.832338483146,517.9378803838952,0.09074613451957703,1666.9224016853934,597.6053370786517,0.16259649395942688,1127.9003540496255,332.9050356975656,0.3790588080883026,431.7692605922285,658.8707718867042,0.5855937004089355,435.71914501404495,655.3487827715355,0.40100592374801636,1332.8878452715355,176.2400514981274,0.5463263988494873,1246.1882607677903,895.1640039794008,0.1870829463005066,737.2098109784645,339.3759509597379,0.12975028157234192,602.8738003277153,313.9629418305244,0.04735890030860901,1025.5370727996255,58.26065806413857,0.045952409505844116,569.8508821980337,286.86110135767797,0.026852905750274658,403.95924771769666,919.615080758427,0.07303303480148315,405.911019428839,918.8541666666667
9,0.3660805698703317,0.749653160572052,1731.993211610487,661.5581841058054,0.9097039699554443,1771.4856917134832,647.7171845739701,0.6741622686386108,1788.0948618913858,504.9289706226592,0.14754647016525269,1767.519458099251,670.7379447565543,0.5929172039031982,1706.6676907771537,428.11549040262173,0.13161855936050415,1427.6954588014983,235.72960557116107,0.14010018110275269,1538.47422167603,618.8363178838952,0.4632593095302582,438.19061622191015,659.1058052434457,0.5647812485694885,438.03817006086143,661.7722231975656,0.46369314193725586,1468.7106448970037,524.04530957397,0.6904294490814209,1217.7368621254682,923.833830758427,0.24862933158874512,734.1604488529963,337.17513752340824,0.14446476101875305,608.9407405781835,314.6167632256554,0.05867946147918701,1019.7530430711611,66.59673455056179,0.08849287033081055,1020.9823414091761,66.35541022940077,0.037782371044158936,407.3998566245318,934.7678195224719,0.11745592951774597,416.48616719335206,915.3639981273409
