Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.3638470330659081,0.9356726408004761,451.26843398876406,221.08222875702245,0.7810350060462952,456.1922840589888,218.6303162306882,0.7789628505706787,466.76132373595505,211.49718552492976,0.3468676805496216,464.57876141151684,224.5135017995084,0.3948684334754944,456.09465524051967,189.05262464887642,0.2508137822151184,474.8265778616573,213.4764802054073,0.2899283468723297,437.6018807057584,248.2736240344101,0.23000293970108032,493.04994733146066,293.1462868679775,0.7488021850585938,266.8681969803371,129.32241375526684,0.6833311319351196,166.8153501360604,113.09435897998594,0.5606730580329895,163.7182068556882,112.19660726825842,0.029028475284576416,365.7832250702247,322.1888167134831,0.055683672428131104,428.38285639044943,249.2062137903792,0.019583553075790405,271.88287284936797,131.9873321190309,0.034311264753341675,264.39521703827245,131.68278726299155,0.02848932147026062,487.70074394311797,207.70650456460675,0.01734521985054016,175.04384930214184,312.8808045119382
1,0.3552176233600168,0.9462075233459473,452.09250460849717,220.00112469276684,0.8007850646972656,457.7882505266854,218.5839020804073,0.8018029928207397,467.4334511060393,211.01258010007024,0.3579751253128052,464.9189672577247,227.10531513342698,0.44181013107299805,456.6672884480337,189.32773547226122,0.23984643816947937,474.0327093574438,212.82544768258424,0.2365489900112152,439.15266744206457,248.60886477352528,0.216350257396698,494.2639022998595,291.9433045119382,0.7293891906738281,266.4005716731039,127.63688333918537,0.61489337682724,164.64760083830757,112.5879180565309,0.48248663544654846,166.57904121313203,111.75693469101122,0.02608397603034973,366.16718420821627,321.76593223314603,0.04428854584693909,428.1223117099719,249.40830187851122,0.01703593134880066,392.5830078125,200.072967872191,0.02826264500617981,388.0667902914326,208.71211705582863,0.034336626529693604,174.16983958040728,311.2268477879213,0.02059614658355713,174.36437028177667,311.2682693995786
2,0.3630557586165035,0.9392174482345581,452.42730644311797,220.14033971207863,0.8093151450157166,457.5703893082865,218.5689244645365,0.7954936623573303,468.10695005266854,211.35116748595505,0.3595849275588989,464.50458655196627,226.08916893433985,0.45611298084259033,456.7818150895365,189.51465392380618,0.2801571786403656,474.25325886587075,212.5359078739466,0.2583755850791931,439.4407259480337,248.52931333391854,0.24016207456588745,494.0124648876404,292.4988204441713,0.693946123123169,264.205720022823,127.7391206548455,0.6409721970558167,162.9749358102177,111.20704222261236,0.5302332043647766,165.1464569434691,111.22654604108146,0.025305569171905518,476.86545382724717,290.38640054424155,0.04165312647819519,428.71436644136236,249.01441252633424,0.017690151929855347,390.85789369733146,199.150116309691,0.02518942952156067,390.33345768960675,198.89467389396066,0.034591495990753174,174.26025390625,310.25418056530896,0.023947596549987793,174.1355501667837,310.09949416257024
3,0.3495115462471457,0.9398585557937622,452.2755552141854,220.24806333391854,0.7837034463882446,458.14280306355334,218.78738917661514,0.7878808975219727,468.5266524754213,211.09454551439603,0.32961106300354004,449.78534827071627,189.21501931179773,0.4550541043281555,456.8196706021769,188.7203465150983,0.2630383372306824,473.7329375877809,212.84116594978934,0.20696663856506348,438.7150796611657,247.9732762025983,0.2076965570449829,268.12878555126406,129.05149995610955,0.6650421619415283,264.1090238764045,127.48941142907302,0.617562472820282,164.13736064782302,110.76215765449439,0.5249334573745728,166.8772768170646,110.56895738237358,0.026708602905273438,367.14201852176967,324.12380947155896,0.038584738969802856,428.35600092169943,249.0262903792135,0.01710757613182068,390.76739707689603,198.9225443293539,0.02553945779800415,387.4532018082865,207.67070641678367,0.03238961100578308,174.2735444829705,309.10888671875,0.02001860737800598,174.21802306443118,309.1571936446629
4,0.34056635814554553,0.9450926780700684,451.85848621839887,220.31625811973316,0.8085461854934692,468.5514505793539,228.47782435042132,0.7972254157066345,468.32782873946627,210.63498507724717,0.31908994913101196,464.61453212780896,228.6967005354635,0.4520357549190521,456.47321036692415,188.0074010270365,0.2242015302181244,473.3614597963483,213.74448626228934,0.24441397190093994,422.4125757110253,245.20121027914325,0.23592227697372437,494.7535002633427,291.46295097436797,0.5537663102149963,264.9750921699438,127.35302185744382,0.5959191918373108,165.35817349894663,110.64200754915728,0.45911747217178345,168.15609364027387,109.57252073823736,0.03112119436264038,367.01972875702245,324.2566329441713,0.03683018684387207,426.55424310919943,248.58999188026684,0.017822057008743286,390.9254026948736,199.7087045733848,0.025882452726364136,390.11784585674155,199.54126250877806,0.025798052549362183,487.68384612008424,208.03834379389042,0.016843408346176147,174.27111679248594,308.55808900983146
5,0.3268757339786081,0.9547410011291504,451.9580626755618,219.13404143258424,0.8239123225212097,468.4226321102528,226.49735011411514,0.7575403451919556,467.474762991573,210.01936666081463,0.368951678276062,465.94348007373594,229.1141810042135,0.4796259105205536,457.3288546787219,187.83024820049155,0.19422706961631775,466.1385182584269,194.98381539676967,0.19595322012901306,420.26915818117976,227.7141579617275,0.22507429122924805,495.0847634304775,291.1206877633427,0.4399973154067993,264.27350333567415,127.02068886060394,0.563021719455719,164.57260303283005,110.31088153967696,0.4125277101993561,163.6840545997191,109.51422873507724,0.03095775842666626,474.5830407303371,289.9251942152388,0.031225591897964478,427.6741627896769,249.21710410814603,0.015454232692718506,387.91616375526684,197.83285419592698,0.019554615020751953,388.1103241309691,197.99928129389042,0.02574869990348816,173.6705445707514,308.26843947507024,0.018373996019363403,173.76957239729634,308.62491221910113
6,0.3381127417087555,0.957716703414917,451.89549135358146,220.5175506934691,0.8733364343643188,470.87632768609546,227.8605874736657,0.7982521057128906,468.16921962780896,210.47226123595505,0.3058106601238251,466.8535485428371,228.3415993679775,0.39391860365867615,457.9259842433286,187.39597963483146,0.1177060604095459,472.55601518609546,216.75965041257024,0.16457828879356384,402.11609572507024,226.8363764044944,0.17588850855827332,271.20871554599717,132.0192624209972,0.796841025352478,269.5405218574438,128.44572945926964,0.5979350209236145,165.95534421084972,110.06026707338484,0.4434385895729065,164.65644750702248,109.2100679204705,0.022653311491012573,359.80622366573033,272.84525324789325,0.021971672773361206,425.072419241573,248.51172972261236,0.02055215835571289,494.59735998946627,291.03702159410113,0.02548399567604065,264.6919987710674,131.97929468047752,0.019434630870819092,486.7406403616573,207.86275456460675,0.012398838996887207,408.64650083391854,206.9165862008427
7,0.356708403895883,0.9567070007324219,454.4261598051264,219.9686457601826,0.936396598815918,471.5479064255618,228.47318842169943,0.8437120318412781,469.1960366924157,210.12154911341293,0.3269450068473816,467.6480754037921,227.30361767029495,0.45791447162628174,456.1503686797753,186.85933659585675,0.16672742366790771,471.957733497191,216.3505365607444,0.1909923553466797,403.5400390625,227.51739159058985,0.25563788414001465,495.2282852001404,294.01795119382024,0.7923617362976074,270.43034585674155,128.42211091116573,0.5721060037612915,167.63483969013342,110.23843486657302,0.43445149064064026,166.19458830758427,109.61519048455057,0.018858224153518677,474.3514088834269,288.7983343574438,0.02503424882888794,201.56031919329354,322.19062719452245,0.02414563298225403,494.45740431882024,294.44075337956457,0.026418685913085938,388.7253664852528,199.1106697682584,0.022689640522003174,470.16458918539325,226.5813454617275,0.012944430112838745,175.4958523525281,313.0441044153792
8,0.33850764176424814,0.9545197486877441,454.66659717345505,220.37707382373594,0.8964998126029968,472.24307628160113,229.9559723929073,0.8453452587127686,470.7567810744382,211.06993943117976,0.2676038444042206,466.6554380266854,227.82824569873594,0.40626269578933716,457.4138649929775,187.55692042661514,0.15828585624694824,471.50780152738764,215.25450974367976,0.14660635590553284,419.35607224367976,224.5625493767556,0.17639216780662537,281.7798948823736,299.25893719276684,0.7207285165786743,271.61272713307585,129.45397537745785,0.5960482954978943,167.8269564167837,110.26751228932585,0.46148017048835754,166.60211113061797,109.7469304116924,0.023061662912368774,319.43979327598316,233.26509282830057,0.026394754648208618,202.4729799420646,321.8238950579354,0.01198241114616394,495.2264198560393,294.98345878686797,0.016201943159103394,113.54875543144311,302.12053963307585,0.030249208211898804,163.5129367099719,305.28899117801967,0.016967207193374634,163.01406688904493,304.75720352001406
9,0.3539738988175112,0.9599136114120483,455.1752874824438,218.66287745786514,0.869138240814209,472.0134195049157,228.5640690835674,0.8227410316467285,471.9136784585674,210.53247344627806,0.2349778115749359,466.3428831636236,227.9487798455056,0.46060052514076233,458.36524534761236,187.17515581109552,0.15671664476394653,470.5901070926966,216.3346537043539,0.17994287610054016,419.5774995610955,224.21161780196627,0.318011999130249,281.15547094452245,299.5868811446629,0.7158621549606323,271.02928590238764,128.45815594276684,0.6351804733276367,168.58377863851825,109.78324975860252,0.5020972490310669,166.83910584181882,109.09500636411516,0.03623804450035095,323.7105808900983,229.87743591994382,0.03061366081237793,203.67310941889045,322.40234375,0.01815122365951538,494.6873902738764,295.3292606653792,0.019406944513320923,387.7502852879213,196.9161198648174,0.03133875131607056,180.19705440221207,307.6774545733848,0.02662503719329834,174.82884096295646,307.3564782303371
