Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.3795570415609023,0.6196311116218567,1750.4054014513108,599.3411312031835,0.6765592694282532,1816.7575198970037,589.533444522472,0.7364102005958557,1753.3225070224719,568.8435598080524,0.1889679729938507,1901.784146769663,541.3778675093633,0.5550634264945984,1670.618270131086,541.4723051264045,0.1021379828453064,1693.4947038857679,643.0426322565543,0.19189998507499695,1122.018521769663,435.21242977528095,0.34339529275894165,1009.6654816245318,985.9358906835207,0.6499781608581543,561.5198896886704,622.9246400983147,0.5694339871406555,1446.1376404494383,396.60646360018734,0.9389069676399231,1256.0467872191011,787.6411809456929,0.2858695983886719,1449.4820926966293,783.175620318352,0.12480521202087402,1405.8053897471912,754.3521769662921,0.14097917079925537,1085.186168656367,27.913338307584297,0.18896296620368958,1085.98907127809,27.703761411516894,0.062270402908325195,1456.4592111423221,416.9076252340824,0.07719799876213074,1547.9835264513108,654.1768346207866
1,0.3901098335490507,0.7684614658355713,1741.3547518726593,597.9444639513109,0.7961646318435669,1480.3209854868915,476.9813611891386,0.7585803270339966,1814.2687851123596,531.8940923455057,0.19929340481758118,1898.554541198502,540.2878481975656,0.4236178696155548,1654.088834269663,535.7508192883895,0.16484993696212769,1425.4690426029963,250.1693439840824,0.24960210919380188,1118.8058871722847,436.47903499531833,0.41933178901672363,1008.7837956460675,985.384919241573,0.745323121547699,1008.7767000234082,989.1698852996255,0.23314931988716125,545.5823165379213,839.5631437265918,0.9429353475570679,1254.764600889513,787.5683959503747,0.37160980701446533,1473.1999063670412,789.4617567883895,0.092619389295578,589.5753599016854,1004.4105512640449,0.17407113313674927,1085.151787804307,21.776648817883938,0.1960945427417755,1089.318527621723,21.486752399344596,0.030823886394500732,563.1078461493446,833.1173923220974,0.0653390884399414,558.2805916432584,834.0345564138577
2,0.3842291849500993,0.7793493866920471,1742.191011235955,600.5596032303371,0.7944631576538086,1811.7907303370787,594.3215999531835,0.7691960334777832,1809.6646769662923,534.6362944756555,0.23257580399513245,1900.70078417603,534.855088366105,0.43626922369003296,1692.4226065074906,515.3008690308989,0.2436619997024536,1427.0413448033707,253.7214712078652,0.14064761996269226,1108.488120318352,430.9883397705993,0.41312941908836365,558.824613764045,624.5458069990636,0.8296837210655212,1013.4163594335206,989.5429541198503,0.24976786971092224,493.8456811797753,1019.52422752809,0.9188777208328247,1252.1051322565543,777.8702890917602,0.251010000705719,1472.043685627341,797.552741690075,0.10766702890396118,590.9878642907304,1009.7638693820224,0.1290093958377838,1091.3942532771537,25.23602089185397,0.12725159525871277,1091.7368913857679,24.71028645833337,0.035992830991744995,562.2552741690075,833.9232209737829,0.07334333658218384,557.2048367275281,834.9063670411986
3,0.40463504896444435,0.8039945363998413,1747.5564723782772,602.0547313904494,0.7773184180259705,1812.466496956929,590.2525895365169,0.7695026397705078,1767.5507666198503,565.7824935627341,0.25276824831962585,1896.577422752809,537.9200316011236,0.5296608805656433,1684.6011821161048,522.7370815777153,0.5330790281295776,1431.7885358146068,259.0481624531835,0.13490352034568787,1086.7053634129213,423.1166608146068,0.3544738292694092,557.7340823970038,627.0088658707866,0.7480587959289551,1002.937660931648,983.8895716292136,0.2894323468208313,1313.4007783239701,290.24951720505624,0.9264956712722778,1242.0643141385767,773.5769253277153,0.28431206941604614,1483.1817649812735,781.7987769194756,0.11983007192611694,584.3582119030899,1003.6221324906367,0.1396401822566986,1097.5773203417602,29.849419183052476,0.12026792764663696,1095.934061914794,28.608380149812774,0.031389474868774414,562.9391239466293,838.4224309456929,0.06366819143295288,558.0236130617977,839.168275983146
4,0.41232890416594115,0.7975536584854126,1749.4076252340824,600.8452569054308,0.6526572704315186,1818.1861540262173,576.5499912219101,0.7511444687843323,1766.6265800561798,559.2575198970038,0.18263563513755798,1904.0516736891386,539.2506437265918,0.5812238454818726,1679.0524051966293,527.7293275983146,0.6114768981933594,1428.029757724719,257.04097904962543,0.1458626091480255,1560.9151158707866,654.224602059925,0.4437881112098694,1560.8112418071162,471.5608906835206,0.7013885974884033,565.5233936095506,630.5918627106741,0.39778465032577515,1484.4538565074906,513.4439372659176,0.9475935697555542,1230.9840238764045,774.9983175327716,0.2556796669960022,1471.4344861891386,757.5762230805244,0.18087410926818848,1414.497893258427,707.203593164794,0.1528150737285614,1089.8417017790262,18.841292134831463,0.1162126362323761,1089.7213687968165,18.527768024344596,0.0292188823223114,562.5891341877341,840.0553019662923,0.06168168783187866,556.8126755617977,840.2820692883895
5,0.42207306272843303,0.765931248664856,1753.6320809925094,602.6196014747192,0.7451052665710449,1824.651948735955,553.3786867977528,0.7875684499740601,1773.7173747659176,544.1833450374533,0.20242521166801453,1911.7551790730338,546.720944522472,0.665992796421051,1679.725538389513,526.4190513810862,0.5187679529190063,1427.2909351591761,256.12842345505624,0.1655343472957611,1557.9753335674159,638.3944873595506,0.4122276306152344,553.1271213717229,634.9408210440076,0.7554843425750732,560.5645043305244,633.3745172050562,0.31212329864501953,547.9100465238764,845.2687558520599,0.9352289438247681,1233.2503803838952,773.3589360955057,0.24427983164787292,1476.0093340355807,791.1922840589889,0.15969222784042358,592.3761192064607,1006.5412862827716,0.188719242811203,1084.8008836610488,26.53634860720973,0.19517987966537476,1083.5963834269664,26.043422284644237,0.05060747265815735,1014.2142878043071,1008.1416783707866,0.07037392258644104,559.4818732443821,836.7664442883895
6,0.43640079919029684,0.7352129220962524,1753.4907537453184,598.6934544709738,0.6978835463523865,1819.755091292135,550.6650134597379,0.7640556693077087,1803.9151743913858,530.591643258427,0.1300915777683258,1911.8090180243446,552.0501960440075,0.6380274891853333,1681.2896477059926,522.6283795646068,0.4306839108467102,1429.0311914794008,255.32025397940072,0.15239819884300232,1572.7920177902622,566.7523261938203,0.48814284801483154,555.1570546582398,636.3404874765918,0.7305212020874023,560.5924479166667,633.3273349719102,0.35417473316192627,545.4741997308053,840.3641444288389,0.9104994535446167,1224.78281542603,771.737110838015,0.6028504371643066,1472.9896711142324,795.4544856039327,0.2405649721622467,1409.480629681648,733.5165028089889,0.2081674039363861,1077.83671289794,36.693330114700416,0.20834797620773315,1075.2926029962548,35.771008895131104,0.04605972766876221,560.6533459152622,835.3912102059926,0.08113151788711548,556.4327305711611,835.5195166198503
7,0.41002965324065266,0.691318154335022,1716.0110896535582,594.2183110955057,0.7627409100532532,1818.598139044944,546.48203417603,0.7909718155860901,1807.3686212546818,524.2236511001873,0.1393406093120575,1913.3786867977528,548.7312002574906,0.5534788966178894,1686.2185451779026,533.84999707397,0.2801066040992737,1429.5558286516855,268.13575316011236,0.09976217150688171,1554.2523993445693,558.3560100655432,0.4986288547515869,555.8069990636704,638.0075930477528,0.7115168571472168,561.0009216994382,633.9290730337079,0.43019458651542664,1513.9871547284645,498.7173016151686,0.9368627071380615,1227.194595622659,771.1792632256554,0.27858179807662964,1472.069288389513,791.1895774812735,0.2247307300567627,1409.0560627340824,753.0122746956929,0.25469398498535156,1079.7252457865168,36.1376038740637,0.20609819889068604,1073.2640595739701,35.5358292368914,0.04044923186302185,563.0458143141386,834.7906425561798,0.07102799415588379,559.5832236072098,834.5894779962548
8,0.3958529584548053,0.6602497100830078,1747.4119264981275,591.9251814138577,0.7828985452651978,1816.5496254681648,547.178356156367,0.7147938013076782,1803.2380910580525,527.0990607443821,0.1415126621723175,1672.6784878277153,575.3267643960675,0.5330489277839661,1679.3972378277153,560.830699906367,0.15817928314208984,1426.0416666666667,267.61638284176036,0.15949532389640808,1570.9609082397005,554.9072448501873,0.5066142678260803,555.6616119499064,635.916798338015,0.7154217958450317,561.1491982677903,632.541476474719,0.3402841091156006,544.2498024929776,838.2050269194756,0.9021191596984863,1230.4808930243446,772.2514337546818,0.1615467369556427,1467.6237710674159,799.4199145599252,0.14019379019737244,584.9118899227528,1007.0897705992511,0.2969214618206024,1086.4941772003747,44.053100128745314,0.3302513659000397,1074.9386996722847,42.13358789794012,0.11129269003868103,1270.291725187266,246.80243445692884,0.07467666268348694,1264.4080641385767,269.1880266853933
9,0.4088428195785074,0.7673839330673218,1743.360399110487,593.2407244850187,0.7372609972953796,1817.2428019662923,548.2531601123596,0.7236818671226501,1801.942591292135,525.6350948033709,0.1465885043144226,1788.4966058052435,691.1107941245318,0.5749818682670593,1678.5309866573034,555.7116104868915,0.21893563866615295,1428.2399929775281,257.9242011938203,0.17688176035881042,1557.5592521067417,601.8854605571162,0.40625566244125366,555.8676410346442,634.6593369616105,0.729451596736908,561.0909702715356,631.5010533707866,0.3531099855899811,1415.4210557116105,742.268038974719,0.8916563987731934,1228.4964595037454,774.0956372893259,0.34301674365997314,1482.8928195224719,771.5093194054307,0.20342275500297546,1418.2676439606741,756.7861218398878,0.2790147662162781,1091.3961551966293,46.97444844335206,0.23239830136299133,1095.983365519663,54.38560685861427,0.05953285098075867,1281.9763869382023,238.48460908239701,0.10675430297851562,554.0404084737828,835.2538330992509
