Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.3601459317347583,0.5825076699256897,1598.260475187266,615.9750994850187,0.5553284883499146,1645.9783181179776,659.4919680477528,0.6770808696746826,1679.7265625,540.0266268726592,0.14270713925361633,1682.6783415262173,565.1181384597379,0.516186535358429,1575.6472378277153,517.5123624765918,0.15722665190696716,1561.0249882958801,621.3907420411986,0.19332966208457947,1608.67655664794,660.6207572565543,0.4638110101222992,947.614773525281,964.2563494850187,0.8471159934997559,959.9910024578652,981.1628043071162,0.6857949495315552,931.7432555009364,758.6828476123596,0.6872504949569702,942.572346090824,756.2238120318352,0.28856828808784485,1282.883748829588,840.50079002809,0.13730493187904358,516.6853566830524,1009.4439080056179,0.036072999238967896,404.28202539794006,1063.7864290730338,0.08122536540031433,498.1871781367041,622.5751258192884,0.026076406240463257,489.98683286516854,886.6227762172284,0.04489338397979736,485.03427112593636,862.3256086142324
1,0.3695874284295475,0.5217044353485107,1634.6962780898878,572.7158678604869,0.46480563282966614,1661.2791139981273,568.3440864934457,0.600874662399292,1681.3194932116105,541.6537189840824,0.1495654284954071,1185.08280664794,635.6732794943821,0.5407990217208862,1576.3551907771537,515.1522998595506,0.7599340081214905,1307.526626872659,287.980234667603,0.16592401266098022,1608.430623829588,658.4637611189139,0.42664772272109985,909.8057847612359,364.7515800561798,0.8396509885787964,488.61346412687266,646.1265215355807,0.68304443359375,977.1016941713483,770.258441596442,0.6699203252792358,968.7220564138577,763.7875263342696,0.148786723613739,567.4772866924158,64.19128189372663,0.1372460126876831,604.6556794241574,60.494828242041194,0.037546634674072266,794.0140742041199,543.3338453885768,0.04968133568763733,492.97621137640454,623.2710088951312,0.03362631797790527,487.34824877106746,886.5301673689139,0.05322858691215515,483.03359813904495,866.8928487827716
2,0.35603998864398284,0.5635471940040588,1608.739612593633,613.5413009129213,0.521047055721283,1632.6359140917602,674.4689255617977,0.6343871355056763,1628.978522940075,681.5694493211611,0.17352882027626038,1583.1109550561798,558.2875409644195,0.6227224469184875,1580.8829295411986,556.2987915496255,0.49509406089782715,1304.232502340824,287.9503891619851,0.2113269865512848,1619.4885299625469,690.0945839185395,0.4256976544857025,487.0567430360487,642.9936944054307,0.8166687488555908,488.5888488998128,650.0437441479401,0.2612232267856598,465.561797752809,863.0530196629213,0.8885324597358704,1019.932189255618,758.7241777855807,0.1223922073841095,568.9960425444757,57.54798689138579,0.1516282856464386,666.3884743679776,1.4272442649813115,0.037722378969192505,791.8971646769663,543.6646330758427,0.04322555661201477,793.2237535112359,544.3793890449439,0.03216776251792908,1131.151173338015,289.1767614700375,0.051767826080322266,484.7298542837079,867.4628394194756
3,0.35304025341482725,0.5823401212692261,1594.3584679307116,599.9801761470038,0.5411475300788879,1645.211259363296,657.7157215589889,0.6309531331062317,1679.7037394662923,544.0664501404494,0.21203535795211792,1561.1276919475656,563.7474397237828,0.47310271859169006,1561.5357268258429,562.6266970973783,0.6154676675796509,1319.988442181648,291.8920441245318,0.2120480239391327,1620.0491573033707,667.6440338249065,0.40768519043922424,486.7963629447566,643.0874005149813,0.8128497004508972,485.967894136236,646.8499092930713,0.24240368604660034,1367.8651685393259,569.1530606273409,0.860090970993042,1070.0980220037454,757.6487886235955,0.10803806781768799,1281.3894253277153,859.0761060393259,0.12126272916793823,668.0068615402622,-10.309903148408239,0.02558639645576477,807.9920850889513,505.90560627340824,0.07267987728118896,496.95466116573033,627.0665818117977,0.028102576732635498,462.7680974953184,860.837576076779,0.055890560150146484,482.6361335440075,864.7167602996255
4,0.3260227389195386,0.4525531530380249,1604.063524110487,590.5571161048689,0.5983439087867737,1660.7623771067417,557.6513488998128,0.6356428265571594,1639.4831168071162,658.029465121723,0.15060538053512573,1673.9791081460676,591.2453183520599,0.6184948682785034,1565.6854225187267,540.2398613061798,0.43740952014923096,1335.892731741573,280.7901743913858,0.199514240026474,1625.8671289794008,673.864773525281,0.34797272086143494,484.99498917368913,646.5766912453184,0.7964788675308228,486.5025895365169,650.2957484784645,0.17756012082099915,468.5060788272472,855.6876170411986,0.7599459290504456,1138.8063992275281,740.5419738998128,0.1158406138420105,550.6781074438203,51.3777577832397,0.0988377034664154,558.267497659176,833.9511645599252,0.02278447151184082,937.1422196863297,951.997746956929,0.040428876876831055,490.0293700257491,639.2796845739701,0.042390018701553345,935.3827247191011,989.273905664794,0.04758334159851074,483.8969232794944,863.4246254681648
5,0.35567671937101025,0.5390664339065552,1641.3134948501872,563.6562207397004,0.5223142504692078,1663.086961610487,558.716643258427,0.5456113219261169,1671.2151802434457,538.1179775280899,0.1937621831893921,1669.6975948033707,603.3441596441947,0.7043759226799011,1559.051966292135,530.6675737359551,0.5948350429534912,1438.0059105805244,628.9532127808989,0.21278443932533264,1455.2017497659176,597.7462254213483,0.4254552721977234,944.3316216058053,930.8447448501872,0.8168002367019653,486.86091848080525,652.7973577949438,0.4214712977409363,1258.824613764045,322.7917251872659,0.6656296849250793,1337.6423513576779,633.864919826779,0.11236414313316345,547.894611715824,56.19926995552436,0.1061873733997345,558.6212912570224,833.3814665262173,0.04611855745315552,940.8702744616105,970.9645657771537,0.058467358350753784,493.3028294709738,626.7132636938202,0.02852192521095276,492.27670733848316,887.1636528558054,0.05273878574371338,485.4906586493446,865.5357560861423
6,0.3922283631913802,0.7885715961456299,1600.844305945693,583.4377926029963,0.642906904220581,1663.1890800561798,587.0384187734082,0.7621617913246155,1373.537570224719,486.701486423221,0.11217641830444336,1673.307730571161,566.3265888342697,0.6401325464248657,1569.2594218164795,515.8396242977528,0.7253454923629761,1458.4414501404494,622.3843486657304,0.3133186101913452,1382.3444815074906,613.815396769663,0.3452727198600769,924.545075491573,902.4841994382023,0.8383609652519226,487.44722173455057,652.1617509363296,0.3339041471481323,1264.3395950374531,318.9542368913858,0.7345114946365356,1332.9147647471912,681.5080026919477,0.11736160516738892,548.5595154494382,59.122666491104894,0.13607573509216309,556.7609579822098,836.1824087078653,0.051499754190444946,942.9844774110487,970.044768258427,0.050138503313064575,496.44659263810865,627.2245874297753,0.027957797050476074,934.2332338483146,1035.8024637172284,0.04818609356880188,488.2282522823034,859.7316830524344
7,0.3430051856181201,0.7406774759292603,1480.3884304775281,554.955231741573,0.7758283615112305,1674.7956168071162,558.5737066947565,0.7512037754058838,1668.0920821629213,532.3074672284645,0.11401423811912537,1670.2601240636704,657.6664179541199,0.40525731444358826,1560.4574847846443,511.6774198267791,0.18040281534194946,1505.529757724719,648.3936095505619,0.2447606325149536,1401.75547167603,621.2502926029963,0.2901710867881775,486.1214375585206,642.4406015917602,0.8404680490493774,485.2864217579588,645.7917105571162,0.34728652238845825,1258.0023993445693,304.6439021535581,0.6154294610023499,464.55531659644197,832.8300561797753,0.13465437293052673,1311.5265098314608,860.8805887172284,0.13254472613334656,560.3897471910112,836.0412277621724,0.08249205350875854,937.4773964185393,963.4922167602997,0.10579216480255127,1002.7114788155432,103.74623273642328,0.026459962129592896,1264.0456753277153,313.29997659176036,0.04364514350891113,485.5801951661985,860.1846324906367
8,0.310464553973254,0.43033498525619507,1679.3157478932585,571.9300093632959,0.7040647864341736,1678.8253452715355,557.7155752574906,0.7413309216499329,1664.0439197097378,535.7594510767791,0.22994115948677063,1737.0490987827716,535.8173864700375,0.26466822624206543,1598.977645131086,643.7818205758426,0.19729766249656677,1442.7168188202247,697.0768229166667,0.15943235158920288,1552.4983906835207,641.4377779728466,0.29256683588027954,485.77601972144197,640.9715150983147,0.840225100517273,487.49078300561797,650.6668422284645,0.31357255578041077,1412.8575608614233,316.58854166666674,0.7294657230377197,1406.4757432116105,688.1190747893259,0.07167813181877136,550.1932642790263,59.13096910112364,0.10605433583259583,560.2282669124533,837.7058462078653,0.06049355864524841,940.2344481507491,964.7362183988764,0.055538833141326904,935.9308432818352,980.8431355337079,0.02814057469367981,483.9179906952247,860.7159995318352,0.05309167504310608,481.91172167602997,860.5676498127341
9,0.34493112739394693,0.592177152633667,1646.2972553838952,558.1070780664794,0.7500234842300415,1680.2187207397005,560.7706431413858,0.7086191177368164,1668.1775222378278,532.6701486423221,0.183132141828537,1676.15548923221,503.64766210205994,0.3503831923007965,1430.8151919475656,501.87990110018734,0.3122236728668213,1461.8987008426966,621.873829588015,0.24548330903053284,1397.1766736891386,552.9866719335206,0.2745363116264343,485.9411575374532,644.5052814840824,0.8622349500656128,488.592579588015,654.295704588015,0.45938146114349365,1265.2639279026218,307.892892673221,0.6837112903594971,1418.1040788857679,690.1971412687267,0.07089337706565857,1347.092257724719,848.3027563202247,0.10205096006393433,561.065074906367,845.062031835206,0.06288710236549377,1447.509216994382,651.6799069522472,0.058287590742111206,1440.7511118913858,660.1574935627341,0.043920278549194336,482.2342433286517,866.6078534644196,0.1038837730884552,479.3111028206929,866.0334737827716
