Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.2859061395420748,0.8707610368728638,434.7901762201545,201.6618021418539,0.4682163596153259,454.6130233936095,203.95208808813203,0.7517964243888855,440.9664951281601,180.51373771067415,0.0632334053516388,450.91165949789325,234.76905394136236,0.5234048962593079,425.6025884392556,167.77261455407302,0.15418455004692078,394.1728296172753,229.21298937851122,0.07171857357025146,419.81516634480334,183.22177844101122,0.16427689790725708,317.43476781952245,184.79689694522472,0.08064335584640503,324.34600487183985,199.4364466292135,0.5392906069755554,67.47088142995084,340.33142775632024,0.6236345767974854,117.2142457426264,348.9188136411517,0.10790133476257324,26.21587689003248,234.75341796875,0.337775319814682,34.28485313158357,221.77929138869382,0.026583433151245117,431.19008953651684,169.88785990168537,0.04511961340904236,430.8972030811095,171.6158817591292,0.017723292112350464,59.57965979415379,337.6732849806882,0.014140695333480835,96.24333413799157,84.13612622893257
1,0.2497430128209731,0.8394414782524109,433.9001876316713,201.12107180477528,0.4599299132823944,452.05346954002806,205.08742428897472,0.7436109781265259,440.11663886938203,181.16710191362358,0.069589763879776,451.3744568556882,235.34541783707863,0.4594537615776062,424.1281985165028,169.7481511148174,0.11024472117424011,394.65425298455057,229.97945378335675,0.06854471564292908,418.90405547752806,184.74713614817415,0.08426019549369812,326.7180916432584,184.64547489466293,0.1429048776626587,177.99032489905196,70.92244008953651,0.6650521755218506,81.71967581416783,343.0447902036517,0.2699201703071594,93.85421238588484,92.61196179336375,0.04450640082359314,217.977294921875,111.39708786867976,0.19002774357795715,31.0381805762816,219.39288535814603,0.017283469438552856,177.3883125219452,77.32021374648875,0.019913136959075928,432.3017523261938,172.5872048367275,0.029214292764663696,74.4970154494382,104.49750921699439,0.031733423471450806,72.24725273218047,103.14823450667134
2,0.2199609051732456,0.6890902519226074,436.02607641327245,202.11006078827245,0.44962748885154724,454.1935678546348,205.65495523174155,0.6523498892784119,441.18024161692415,181.42910046523878,0.0857132077217102,450.4003357619382,236.44846712605334,0.4352771043777466,423.9566417222612,171.33651904845505,0.10564988851547241,395.04007746664325,229.81708655196627,0.11296311020851135,4.619262352418364,164.39892029494382,0.08825376629829407,194.37633042924858,70.26940506495785,0.19426938891410828,193.62647581636236,76.74040719364467,0.4430992007255554,111.20850980951545,98.42907852001403,0.2509133219718933,112.76257461376404,92.40127392029493,0.05793118476867676,227.4036193161868,103.12047379740167,0.06536221504211426,209.6787904889396,100.66496774051964,0.043757110834121704,469.8902190133427,295.22779143258424,0.015517979860305786,432.3641316274579,173.13001997015448,0.022818267345428467,88.92866156074437,323.6403013079354,0.026742011308670044,87.74169236086728,322.45454595330057
3,0.23174472065532908,0.7971959114074707,435.0212868679775,201.88375065835675,0.5309399366378784,453.93137728230334,204.72469715589887,0.6284944415092468,441.9396561183286,182.0242549596208,0.12497761845588684,450.27450732970505,238.09627918714887,0.41844022274017334,423.3616792485955,170.71670360779495,0.09611159563064575,410.38629081811797,223.86842191889042,0.10202708840370178,206.99557529406601,81.8445098534059,0.1357077658176422,327.57996291257024,187.6848062236657,0.08236643671989441,324.2862315660112,203.4888518258427,0.44361644983291626,376.52908839536514,196.44350201896066,0.39148592948913574,25.999658134546173,156.90295272998594,0.023456543684005737,37.909875076808284,244.38281798630618,0.04642173647880554,30.228449789325843,247.06416783707863,0.0474013090133667,172.41339865695224,343.87969627808985,0.02674141526222229,169.62187006232443,346.0059691011236,0.021049678325653076,154.27161056004212,340.23788623595505,0.023226171731948853,169.8876678809691,343.43113588483146
4,0.2380348496577319,0.874641478061676,435.05434186271066,201.61047774754212,0.666337788105011,454.0686446629213,203.12368328651684,0.6498274207115173,442.7469386411517,180.8098610867275,0.11300212144851685,450.1563048630618,237.47193754389042,0.41200172901153564,424.7820564870084,169.69888408532302,0.1662544310092926,272.5414764747191,130.53392731741573,0.11718663573265076,21.85391201062149,140.51735867275278,0.10258036851882935,316.92758624473316,185.51360055301967,0.07644551992416382,201.06906162219101,59.305570795294926,0.370432049036026,375.800506934691,196.29962363939603,0.2005392611026764,360.3129663360253,202.85030064957863,0.06227847933769226,267.9779944259129,286.26121949613764,0.033929288387298584,23.64351422599192,239.0800013167135,0.022771507501602173,161.02396418539325,314.82572748419943,0.025773853063583374,155.75679479020366,316.55791893433985,0.06124439835548401,164.76275840502106,340.49102440308985,0.09134611487388611,163.68132516239467,339.02283400632024
5,0.23219103672925165,0.8213886618614197,433.62123639396066,203.69222919592698,0.7858816385269165,137.56951149929776,117.44971800386236,0.4563327133655548,110.98709620786516,111.60334554950842,0.1354670226573944,451.44193842169943,234.56696585323033,0.4483760595321655,422.3290466994382,169.97901487886236,0.11001607775688171,271.4008734199438,126.51945992801964,0.19439470767974854,96.795654296875,127.65858168012639,0.10873204469680786,317.1651158707865,182.84270211551967,0.0501936674118042,194.4015262903792,64.96672555301967,0.28460779786109924,373.8453520014045,195.35244030898878,0.2767934203147888,46.66313257110253,142.73596602879212,0.12006336450576782,6.341947062631671,242.99096954002806,0.07648804783821106,4.277147871724675,245.55241616924155,0.014312297105789185,174.97695751404493,318.2166213132022,0.01659715175628662,169.08179808198736,319.6561731917135,0.027085602283477783,168.44771824525984,330.98577949438203,0.020517349243164062,167.7458002326194,331.19236635358146
6,0.26387156283154206,0.8115214109420776,432.94247059339887,203.14368087254212,0.44267818331718445,450.26633273349717,205.7658334796348,0.4499439001083374,439.15387442942415,181.1007724719101,0.10409387946128845,448.53458018785113,235.56997234901684,0.5057585835456848,420.6225860252809,169.95682277036514,0.12041223049163818,392.93111393960675,219.3941746400983,0.18118444085121155,51.40017734484726,141.37840699613764,0.16977721452713013,-8.17536686243636,212.66176373771066,0.31759968400001526,189.03188641151684,67.91206274139748,0.3333132565021515,374.8352736569522,195.11529472436797,0.3087242841720581,149.58844474192415,315.5492615431882,0.5026996731758118,16.970221701632724,238.6621916695927,0.1662122905254364,27.042071738939605,237.2440638167135,0.018534451723098755,191.6333830758427,54.87059175298455,0.017150163650512695,189.82803173279493,54.609375,0.017933249473571777,278.7763617011938,333.4253204002809,0.018279671669006348,281.97046172752806,331.1919274490871
7,0.2735505542334388,0.8726173639297485,435.50350574964887,202.98177997717698,0.5498871803283691,452.8706822770365,203.37915313377806,0.645759105682373,441.5374550122893,180.65040159761236,0.081266850233078,460.07110252808985,243.76547138342698,0.497143030166626,426.2552394224017,171.31531447507024,0.09834390878677368,395.1818710498595,229.16270738237358,0.27736803889274597,68.27066828695575,140.8761630969101,0.10990312695503235,326.7606379476826,183.26051176264042,0.09172740578651428,163.66652585147472,111.02533576193821,0.33802884817123413,378.12409475948033,196.27501755617976,0.43329548835754395,196.4570806267556,149.10504630442415,0.37732836604118347,21.56462422917398,243.6966456724017,0.15139538049697876,30.740966796875,243.6844660726826,0.020449161529541016,456.5677394224017,279.4490925649579,0.023536711931228638,431.8816384304775,172.58358387464887,0.030890733003616333,175.88088132022472,193.66562061095505,0.0514187216758728,161.83955846207866,192.83035792661514
8,0.31350894184673533,0.8279310464859009,432.65718267205057,205.80462166432585,0.5648109912872314,451.6838570926966,204.20884721734552,0.4626522660255432,442.8817097524579,183.76078059164325,0.09880533814430237,458.6598051264045,242.05105556530896,0.4719564616680145,427.59625724192415,174.38462846734552,0.17571550607681274,198.78734802931882,52.00898931267557,0.36438608169555664,75.75853669241573,145.9009063377809,0.35588377714157104,183.47591785902387,119.04008843925561,0.44171687960624695,184.68732169504915,116.79761565133427,0.5177056193351746,218.18884688816712,163.12129674332863,0.5977306962013245,198.58325743943118,307.695038184691,0.14886599779129028,277.7005519224017,275.3364751580056,0.17663544416427612,245.46778989641854,215.84875899754212,0.033250778913497925,209.86395332250703,193.81852396418537,0.02633550763130188,212.32535715853228,193.71162328827245,0.0337253212928772,225.72700414764748,189.56641722261236,0.03154429793357849,226.71973753511236,189.79146550210675
9,0.34166200020734,0.7986780405044556,431.5284300386236,206.68799925386236,0.4511851370334625,450.43245808462075,205.81677383251406,0.3634156584739685,443.1860900193118,184.76515866397472,0.09583067893981934,457.27037065484546,239.59244974543537,0.4641719460487366,428.5200414764747,173.57682474543537,0.13174274563789368,398.44013342696627,218.37948231214887,0.4706738293170929,75.74735834357443,144.8734034849017,0.31198692321777344,197.47476299157302,119.55953190835675,0.5352795720100403,200.64012848929073,124.87315660112358,0.35708683729171753,246.43450447682582,169.52370632900278,0.8080484867095947,211.8016206548455,304.2530394136236,0.2928704619407654,284.44270101825845,323.48007373595505,0.2253488302230835,259.42278572682585,208.35989619908707,0.1446385383605957,199.30654461464184,44.835205078125,0.20832085609436035,194.87563915466993,44.7825502545646,0.0907120406627655,248.25041695926964,179.03065199262642,0.058263421058654785,249.5919559778792,174.89156315835675
