Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.3561623429550844,0.7740054130554199,1650.8694698033707,598.5907508192885,0.7857377529144287,1728.759216994382,663.3342842930713,0.6087737679481506,1664.4235720973784,577.7302054073034,0.1805061399936676,1724.6636528558054,656.3299537687267,0.43779319524765015,1628.1197331460676,518.4797079822098,0.07341897487640381,1741.3398291198503,493.7951340121723,0.09258264303207397,1729.5720681179776,655.2795090121724,0.7126333713531494,1021.1821161048689,928.2253628277153,0.7069057822227478,1020.9252838249064,934.4676088483147,0.7833061218261719,939.3685627340824,695.0408912687267,0.3513016104698181,937.3401656132959,692.8274959035582,0.1531716287136078,1376.2109375,819.9053429307116,0.0998292863368988,665.2762903792135,1151.3550444756554,0.13071617484092712,1045.9236013576779,151.4251228932584,0.09913259744644165,1029.750555945693,137.38657976357683,0.03806641697883606,1226.4374853698503,961.7762464887642,0.026878952980041504,1271.3295880149813,940.2706577715355
1,0.39188742812942057,0.8002978563308716,1695.9377926029963,655.6358263108614,0.860837459564209,1731.2492684925094,661.8360106507491,0.5957103967666626,1739.8901275749065,545.8430623829588,0.21665018796920776,1723.6977703651687,658.6135738529963,0.5453422665596008,1624.604547050562,526.260314255618,0.623807966709137,1177.501024110487,475.7210469335206,0.1097629964351654,1507.6022647471912,600.4109609082398,0.6826473474502563,1018.4744411282771,944.5650456460676,0.8687098026275635,1011.0380091292135,947.5526685393259,0.4332990050315857,987.8430038623596,703.6657303370787,0.37618109583854675,544.9051600538389,833.7931589419477,0.19359278678894043,1373.8376345973784,826.4200023408241,0.09620514512062073,1059.5766034644196,436.51904845505624,0.059634119272232056,697.9642878043071,347.3880062031835,0.08411538600921631,591.6373697916667,351.9933579119851,0.07079693675041199,1234.1821746254682,969.955231741573,0.04449552297592163,1233.74531835206,966.3053019662923
2,0.3918982446193695,0.7949779033660889,1692.038126170412,662.5724923923221,0.8874726295471191,1729.6728698501872,658.6908210440076,0.5992809534072876,1747.5095095973784,541.8333772237828,0.17360833287239075,1720.391502808989,654.0597934222847,0.7214515805244446,1621.7752223782772,529.8969305945693,0.17444676160812378,1322.8578534644196,273.46354166666674,0.23464235663414001,1513.539618445693,615.9037043539327,0.6921871900558472,1041.3871576544943,954.0215355805244,0.7422468066215515,1046.7369645365168,950.8230922284645,0.42328745126724243,1029.6500468164795,700.6789852528091,0.770284116268158,1039.4114290730338,702.9108877574906,0.13008028268814087,699.7650397940075,1141.8136996722847,0.13601809740066528,1400.3201076779026,666.3914003979401,0.035753339529037476,703.5516883192884,360.4309310627341,0.05630883574485779,574.4595988412922,316.07816889044943,0.05039963126182556,1229.3970915262173,964.5653382490636,0.03982388973236084,1275.3404435861423,938.5795587546818
3,0.3581073056249058,0.7646278738975525,1658.9227820692884,599.1186066245318,0.8709702491760254,1731.8469101123596,656.9161107209738,0.6900231838226318,1739.046260533708,533.623668656367,0.2139248549938202,1401.6908064138577,539.09922167603,0.6946555376052856,1624.6101065074906,522.0287628745318,0.22331106662750244,1360.1325491573034,292.3095154494382,0.21701586246490479,1519.3625643726593,617.2603581460673,0.29267510771751404,559.1790291432584,632.510387406367,0.6015990376472473,566.2689460440075,630.445634363296,0.17247653007507324,554.5879052551498,836.5938085205994,0.831519603729248,1099.3489583333333,726.1549040262173,0.11285644769668579,683.492582514045,1065.5527270599252,0.14606323838233948,688.9232209737828,1143.7757490636704,0.06758055090904236,1264.470242275281,858.0670646067417,0.11380130052566528,618.6745815777153,357.6552258895132,0.03337410092353821,562.208677141854,842.8812617041199,0.04134964942932129,562.1119352762172,862.7422752808989
4,0.34545912812737856,0.8600549101829529,1701.2918422284645,653.4883397705994,0.8961981534957886,1727.633134363296,652.5666403323971,0.5727112293243408,1739.5887464887642,537.8291783707865,0.21886590123176575,1723.6685100655432,650.4180565308989,0.44173410534858704,1619.3869967228466,520.2926029962547,0.4402536153793335,1376.7022179307116,285.1171875,0.17096200585365295,1000.7021740402622,482.50402329119856,0.3429657220840454,558.8532157069288,637.2340970271537,0.6925573348999023,566.4394970154494,634.1643258426966,0.22249877452850342,551.2222758661048,830.9275514981273,0.5990861654281616,1181.3920587546818,704.2687851123596,0.1084015965461731,684.0932964653558,1060.9439372659176,0.11772695183753967,729.9879301264045,1146.6066830524346,0.05172240734100342,702.518360838015,358.5617831226592,0.06248036026954651,657.8098665730338,364.6253218632959,0.032781004905700684,1461.6180945692884,639.8229751872659,0.04180493950843811,562.9874400163858,861.7547401685395
5,0.3983532120199764,0.8344833254814148,1708.031805945693,649.7912277621724,0.9342951774597168,1736.841643258427,651.1765566479401,0.806362509727478,1728.017029494382,638.678678019663,0.18654245138168335,1721.1505149812735,663.4689548220974,0.7368577122688293,1630.9976299157304,541.885387406367,0.5377565622329712,1395.3234726123596,279.8818615402622,0.2170584797859192,1077.4993416432585,443.28395657771534,0.3193208575248718,553.9375219452247,640.4900368679776,0.634250283241272,562.3451398642322,633.609843164794,0.32360953092575073,1230.1097261235955,324.91624239232215,0.8417940139770508,1391.931179775281,621.0849719101125,0.11148452758789062,624.3093106273409,49.79803078183522,0.10055458545684814,728.7180331226592,1145.3481975655432,0.046217262744903564,1501.7477176966293,531.9026509831461,0.056573301553726196,1498.3563026685395,536.1788243211611,0.03684142231941223,994.9676673689139,1037.33906835206,0.04800260066986084,561.585469335206,863.1966877340824
6,0.3762810072478126,0.9199384450912476,1512.96640917603,497.23190250468167,0.8786355257034302,1738.531571863296,650.127574906367,0.6924790740013123,1460.0708099250937,455.0580085440075,0.08510014414787292,1718.486949906367,656.7556179775281,0.5930530428886414,1628.1722553838952,530.0731507490638,0.4254160225391388,1396.5730337078653,287.20681179775283,0.36515143513679504,1501.0359609082398,591.7995815777153,0.2928040027618408,542.0044768258427,946.7747834737829,0.640623927116394,556.6264337546817,633.2612798455057,0.27186378836631775,1263.1473841292136,327.9143258426966,0.7723596096038818,1435.506495786517,653.467272354869,0.1227475106716156,686.7726621020599,1068.3064138576779,0.13990384340286255,652.2618211610487,1075.3484901685395,0.037305861711502075,664.8122220271536,370.7822741104869,0.053634434938430786,659.0754476825842,371.37794066011236,0.050100117921829224,999.0810802902622,999.608058286517,0.05566033720970154,996.3681384597379,1020.5478991104869
7,0.3220934850328109,0.5657486319541931,1716.0691713483147,554.3647588951311,0.7765190601348877,1734.4096734550562,641.9664384363296,0.6340718865394592,1736.5742041198503,629.6371722846443,0.0946112871170044,1719.5278850655432,656.7097524578653,0.27814561128616333,1630.0809047284645,536.024768843633,0.45535439252853394,1402.1646769662923,275.66362359550567,0.26345914602279663,1499.0938085205994,651.6199964887642,0.3679126501083374,1010.4546319054308,974.279465121723,0.5074523091316223,559.6958391853933,631.7648349719102,0.3371989130973816,1282.1550210674159,323.19493211610484,0.753905177116394,1470.5332689606741,664.7577247191011,0.15574321150779724,683.4328183520599,1062.344920411985,0.11749210953712463,653.0955933988764,1074.40704002809,0.033986896276474,1503.643199906367,597.6001433754682,0.06219077110290527,657.9059866573034,371.69841409176036,0.038863301277160645,584.6580933988764,1152.5098022003747,0.03293389081954956,539.2238339770599,859.7464595037454
8,0.33705663856338053,0.5324423909187317,1716.4640390917605,554.1913184691011,0.8521395921707153,1742.9200316011236,643.6065513810861,0.650016188621521,1746.6132666198503,631.0870201310861,0.07650923728942871,1664.5957689606741,570.3525134597379,0.21084502339363098,1660.791637406367,480.6598197565544,0.2683982849121094,1390.2683169475656,277.07879798689146,0.31666845083236694,1455.2421289794008,621.5044183052435,0.49331358075141907,1492.0627048220974,649.4867743445693,0.6994504332542419,1495.0193117977528,644.63673338015,0.42299380898475647,1245.3708742977528,916.7908766385767,0.7718232870101929,1571.0567357209738,629.080860838015,0.13265109062194824,691.9997951779027,1057.5071687734082,0.10550659894943237,819.1758105102997,1029.4008953651685,0.03589749336242676,1062.8577803136704,63.53980132256555,0.08129191398620605,1064.1341145833333,62.5641897823034,0.03731700778007507,560.3430770131087,838.4557876872659,0.04269847273826599,558.3287614115169,837.3433110955057
9,0.3402019669027889,0.5197561979293823,1715.0978757022472,546.5046377574906,0.702946126461029,1739.0194873595506,639.727659761236,0.5535784959793091,1753.2601825842696,517.9867450842697,0.1295868456363678,1667.9141795411986,561.5093194054308,0.25529730319976807,1666.925327715356,483.23779845505624,0.28300929069519043,1623.9652095037454,630.554994733146,0.25169000029563904,1477.7198911516855,665.5498010299625,0.4695689380168915,1286.4915437734082,333.646564840824,0.6353846192359924,566.5435539559925,637.3874941479401,0.39065995812416077,1488.3200198970037,455.40869323501875,0.7925248742103577,1554.2578125,633.905079588015,0.2992565929889679,1439.0610369850187,759.3333040730338,0.23428663611412048,1172.0165466994383,443.5648554541199,0.10413521528244019,1501.6643258426966,580.1915086610487,0.08904609084129333,1072.7185012874531,54.301337195692895,0.03483462333679199,585.6098212195693,1153.5438611891386,0.03787162899971008,1191.2081577715355,496.2201544943821
10,0.37599803244366364,0.7083974480628967,1711.929131554307,546.8511528558053,0.5830481648445129,1757.064314138577,551.8712693117977,0.6568520069122314,1747.372278792135,502.1134714419476,0.1374315321445465,1665.0731507490636,556.8859726123596,0.30043524503707886,1663.9330231741574,484.0790320692885,0.27414965629577637,1625.9009246254682,603.9412892088015,0.15956690907478333,1570.0299918071162,572.8637786750936,0.5800972580909729,1301.9155255149813,343.0443147237828,0.712920606136322,567.5260050912922,642.1249561095506,0.5358220934867859,1466.7526919475656,436.28189372659176,0.741593062877655,1573.7737008426966,616.3996664325844,0.5117979645729065,1441.8891912453184,759.9671553136704,0.21782195568084717,1196.4502867509364,446.64230746722853,0.08391541242599487,1331.76249414794,315.4598256086142,0.06613826751708984,1074.5031601123596,53.651429365636716,0.05636933445930481,558.4270760182584,843.2748127340824,0.0656096339225769,559.658129974251,860.1631261704119
11,0.3554801379933077,0.6924151182174683,1712.5529611423221,546.7719305945693,0.6517636775970459,1741.3132022471912,633.543129681648,0.7121176719665527,1746.0027504681648,503.2866631554307,0.09003940224647522,1671.1606097846443,580.650163857678,0.39973217248916626,1625.5132256554307,492.1634334035581,0.14597076177597046,1627.4923923220974,644.0228522940076,0.21369096636772156,1556.3980571161048,564.9765186095506,0.6646752953529358,1495.011265215356,638.6911867977528,0.7281460165977478,565.3625351123595,650.8000497425094,0.42944180965423584,1492.6413272471912,432.6324760065544,0.6548966765403748,1583.2189255617977,638.8429014513108,0.2561218738555908,1430.8345037453184,775.4754798689139,0.15097397565841675,1198.1245610955057,456.5984170177903,0.08922263979911804,1380.08280664794,529.7177112593633,0.08255612850189209,1078.3669095271537,50.45455875468167,0.04261091351509094,1266.9434691011236,933.9422401685395,0.038787245750427246,1400.2915788857679,558.570780664794
12,0.32225606020759134,0.6679607033729553,1523.906103698502,531.4995903558053,0.7063707113265991,1747.5924625468165,635.959298923221,0.7150808572769165,1751.1667544475656,505.4021828183521,0.07270744442939758,1664.252106741573,568.2897354868915,0.45864710211753845,1625.8121196161048,501.5966613998128,0.13391157984733582,1418.409995318352,282.5073882256554,0.11127951741218567,1517.0662160580525,595.8344305945693,0.44015613198280334,1044.6618972378278,982.6293305243446,0.680855393409729,564.9219115753746,652.4488676264045,0.24934545159339905,1578.15938085206,602.4815660112359,0.7702059745788574,1475.6086142322097,709.5779201779026,0.09421345591545105,692.3617450842697,1071.0979927434457,0.10809001326560974,582.6961903089888,1016.798045411985,0.05895468592643738,1474.9271418539327,584.0369703885768,0.04454469680786133,1442.4717638108614,568.9298045411986,0.06853395700454712,1263.365080758427,935.7604751872659,0.09749534726142883,562.6067635182584,864.6659936797753
13,0.33400913021143747,0.6345392465591431,1677.935246956929,592.6890215355805,0.7625828981399536,1747.3809105805244,641.2091818820224,0.6279516816139221,1751.283210440075,508.1102235486892,0.06964880228042603,1742.9810393258429,662.9650924625469,0.4372199773788452,1642.0836259363296,528.8017175795881,0.1535976231098175,1413.8284176029963,281.08914150280896,0.154147207736969,1503.8253452715355,581.2243240870787,0.4757606089115143,552.5563992275281,645.5215648408241,0.6600334644317627,565.2814475070224,646.6420148642324,0.44508060812950134,1309.933432818352,317.86999648876406,0.815772294998169,1459.5068176498128,702.7834591526218,0.09115427732467651,1280.7632549157304,681.3669680477528,0.10594186186790466,634.432423338015,44.22986891385767,0.04666030406951904,1328.0162979868915,709.5533415262173,0.0406670868396759,793.4541052200375,275.84350128745325,0.05955761671066284,1257.049537687266,940.2555887172284,0.09783965349197388,561.9883105102997,867.0265683520599
