Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.29206524876987233,0.948458194732666,446.5364674771769,248.7528803107444,0.6644942760467529,469.24256056882024,247.6444544417135,0.8078607320785522,459.0800561797753,225.87476408883424,0.1622713804244995,463.42916081460675,278.9245468311095,0.45724090933799744,439.5094145014045,211.43132241924155,0.19442161917686462,391.3694368855337,274.6220757988062,0.19576480984687805,392.5432595242275,246.50415313377806,0.4965711832046509,497.4056355337078,298.9815495523174,0.10873043537139893,349.4576237710674,232.47569566362358,0.1848212480545044,372.7025544241573,234.59212056706457,0.5342971682548523,112.73297599192415,150.0053217169944,0.050426334142684937,346.65914128335675,344.9719649754213,0.02896013855934143,321.22917946804773,335.4072759392556,0.03833577036857605,100.57407336288624,280.2819687061095,0.02690112590789795,255.57263320751403,424.8945531952247,0.03740584850311279,106.88521824525982,155.19758931706463,0.02814805507659912,105.26187510972612,156.20070553897472
1,0.2775321462575127,0.970860481262207,443.92844210849717,246.28467345505618,0.6861664652824402,467.88672972261236,248.46056991748594,0.7356625199317932,455.26553721910113,224.77064497015448,0.17276200652122498,457.4995885270365,279.4142270891854,0.5498136878013611,424.9613764044944,214.26779757724717,0.26167553663253784,369.979645804073,234.99141393082863,0.18863117694854736,99.32898360691713,207.16207097085675,0.15985941886901855,496.59486920646066,296.7655481917135,0.08725148439407349,355.6196508514747,233.615448340941,0.21535220742225647,115.79214031776685,151.57616090238764,0.4745821952819824,111.31759129213482,149.95023920294943,0.0558755099773407,341.48758448911514,343.43151992626406,0.02480483055114746,323.86548674508424,334.28129389044943,0.039401501417160034,114.11241167047051,268.74338900105334,0.02592054009437561,255.84823779845505,426.40937719452245,0.0388202965259552,105.38296474499649,155.3321135445927,0.030606627464294434,106.2256956636236,154.35387772120788
2,0.27249470002510967,0.9855748414993286,446.84715699613764,251.46843728054773,0.7972569465637207,466.8525061446629,257.4824163886938,0.7625143527984619,455.80346954002806,226.01395167661514,0.19280442595481873,466.2878006495786,277.2410189167837,0.35363179445266724,424.7619766063904,210.85397098841293,0.2600787878036499,391.7338922050562,282.3289644048455,0.2281230092048645,386.76812675561797,272.02505047401684,0.33729466795921326,491.95948911516854,294.29314431179773,0.08846059441566467,354.08027563202245,236.2568853142556,0.12561988830566406,366.4335443732444,231.67710893609552,0.35800135135650635,118.40919066011236,145.77162153265448,0.02888217568397522,326.2300024139747,324.11955758426967,0.021525561809539795,336.195466116573,297.6218508602528,0.016698360443115234,398.82211749473316,295.8002874824438,0.027136564254760742,395.5130519224017,294.72280438026684,0.023573577404022217,105.36580632241923,145.2977966994382,0.02523300051689148,102.41826775368679,144.07045514396066
3,0.2864009492537555,0.9713369607925415,444.7070038184691,247.03588592872188,0.6847933530807495,463.4716248244382,256.7509271857444,0.8262205719947815,456.0558944873595,226.27951632724717,0.2902962267398834,456.3666937324438,276.3701501053371,0.44821587204933167,424.2941867099719,210.05563114466293,0.25329160690307617,468.3979437324438,291.04843311095505,0.2539348006248474,386.2888704792837,270.3537570224719,0.35876238346099854,491.0954507549157,294.3575261148174,0.13313215970993042,346.5173202686095,228.36055455582863,0.2115567922592163,364.4823670119382,232.4699899051966,0.2699180245399475,134.5569670602177,358.2662723841292,0.026353448629379272,325.86853713132024,338.244354590941,0.016441822052001953,99.50663020101825,294.3303688992275,0.0441361665725708,107.27393675386236,266.52771681882024,0.026743918657302856,399.0532007110253,294.8121488764045,0.031248897314071655,103.84458391853933,272.33456043714887,0.02243313193321228,105.13611525632022,272.5639154669944
4,0.29381437862620635,0.9807698130607605,441.60507373595505,247.7288063992275,0.7871893644332886,455.28350487183985,255.065643653441,0.7695366740226746,445.25226035814603,234.6115146594101,0.24440264701843262,454.66418319873594,274.3604338570927,0.4052293598651886,423.96388364641854,209.77234572507024,0.2460860013961792,386.21154099367976,280.62288777212075,0.20451825857162476,383.6397252457865,271.44676637113764,0.5065791010856628,489.3594737535112,296.05501667837075,0.12634727358818054,343.64076764396066,229.90552580758424,0.21842199563980103,365.8790708391854,239.91114927141854,0.2833542227745056,113.57071437192766,147.96724126580057,0.03974160552024841,325.7078706548455,345.6715238764045,0.020451784133911133,172.4455072638694,362.66058418188203,0.06308871507644653,101.5159212605337,269.5524820049157,0.033516526222229004,114.29581888606039,268.55737579002806,0.03753957152366638,101.21898865431882,273.9622651860955,0.02807152271270752,103.58555483014396,143.41196124473316
5,0.28745244005147147,0.9786288142204285,442.86700645189603,247.4773689870084,0.690636157989502,464.52664150280896,247.35963285639042,0.8058353066444397,453.54848797401684,225.361053809691,0.24019461870193481,456.0542211639747,275.4170415642556,0.4508187174797058,423.25988083742976,210.0931849104635,0.270035982131958,385.81806311446627,280.63254367099717,0.15955057740211487,382.05840721558985,268.59284475948033,0.2961289882659912,346.63557759831457,226.74190221207863,0.139104425907135,352.74885884831457,231.4212550474017,0.24419978260993958,363.1034388167135,233.75425188728934,0.3984321355819702,110.40739938114466,148.25957909058985,0.04931235313415527,106.74363039852528,293.4569763869382,0.025517374277114868,129.0828953432233,280.36376953125,0.04013854265213013,101.53987584489114,269.0271681882022,0.029377460479736328,144.11136927229634,339.49575359901684,0.030642002820968628,103.77702005793539,145.7833347963483,0.038138240575790405,100.99471531557234,144.80553787745788
6,0.28577925878412586,0.981103777885437,441.08916893433985,246.32653397120788,0.6999676823616028,462.70079880617976,247.1240508690309,0.7715620994567871,451.9893620523174,224.54672138342698,0.30423450469970703,455.95480929599717,275.5371368065309,0.4892669916152954,423.5570466116573,210.8761630969101,0.18065476417541504,388.71927668539325,283.7149699350421,0.1471801996231079,380.30572441186797,268.65511433462075,0.2690514326095581,487.5838307584269,295.8100531074438,0.08526676893234253,343.8016261411517,229.6163151773174,0.20396605134010315,126.54550616660815,361.32757636938203,0.4667571187019348,107.02679237622893,148.39868438377806,0.06679746508598328,105.92176801702949,276.3126810481039,0.045084625482559204,132.75322046172752,280.3536472963483,0.05611273646354675,100.66059241134128,273.20691055126406,0.02411028742790222,45.11935801988237,249.0767918275983,0.031108498573303223,98.57242198472612,272.4726233321629,0.03602239489555359,98.95911056004213,144.36229920119382
7,0.2685367920819451,0.9647697806358337,440.3250910726826,246.04407149754212,0.639139711856842,462.4895211551966,248.43322068117976,0.7636820077896118,451.6627348139045,225.47028616573033,0.33244651556015015,455.20886367626406,277.0042573735955,0.37145841121673584,423.9465194873595,209.28817920470505,0.1926446557044983,386.5863928634129,281.51959708567415,0.15910479426383972,374.1654505354635,257.21046019136236,0.19799870252609253,486.5056618679775,296.3879531688904,0.10301515460014343,354.7684504476826,232.37935612710675,0.2855077385902405,142.4119722173455,360.30865958567415,0.2964058220386505,108.34498030416081,148.46054248595505,0.06604006886482239,106.44979069741923,277.11455955933985,0.03293469548225403,114.46819862622893,280.58988764044943,0.0694405734539032,99.34220560481039,273.75345637289325,0.02929791808128357,381.1891020014045,295.58615695224717,0.037308305501937866,86.90667656030547,270.2083699087079,0.023930609226226807,109.86345955495084,145.65413228581463
8,0.2712154563735513,0.9730566740036011,440.82662175210675,246.9437434164326,0.6969695091247559,461.41985603932585,248.2816340414326,0.6894022226333618,451.6382658883427,225.30610845330057,0.30493539571762085,454.58611306179773,275.5374934164326,0.262692928314209,436.99462890625,203.5542485955056,0.2233191728591919,377.68653441011236,280.56182518433985,0.17253929376602173,377.5239751580056,235.5535408620084,0.180221289396286,485.4660068469101,297.4243712693118,0.11538669466972351,352.6763024490871,231.7090666695927,0.2971026301383972,130.39446541432585,360.0065835674157,0.4623163938522339,106.70091950491573,148.14310481039325,0.07284161448478699,332.92905657478934,341.5877918714888,0.026769936084747314,87.26961628774579,279.80339821804773,0.028451859951019287,98.57473994908707,269.7360263781601,0.020398437976837158,97.84338104590941,269.79525105337075,0.04919442534446716,88.93083550956811,269.0233552054073,0.03506428003311157,97.82729931091994,145.6071146418539
9,0.2935469711528105,0.9806222915649414,439.78381210498594,246.49051966292132,0.7397619485855103,459.5458984375,247.82300627633424,0.7775051593780518,451.5035770716292,224.64690133426967,0.3581571877002716,454.35376799508424,275.9154450491573,0.2541026473045349,437.22187170821627,202.8760314255618,0.22664010524749756,357.10037745786514,242.57996291257024,0.21440017223358154,370.71313750877806,274.46064123946627,0.23574486374855042,347.4407478932584,230.57683023174155,0.12679171562194824,335.60193008251406,228.98975158005618,0.2530208230018616,126.34459763430478,359.44763869382024,0.5753723382949829,107.13950853669242,147.73451215765448,0.059238553047180176,331.4392227001404,341.1052163799157,0.036754339933395386,86.10487348577949,280.4740442854635,0.03520083427429199,87.60985642336728,282.5707459181882,0.02600744366645813,153.10778671436094,353.0872542134831,0.06286963820457458,86.00623655854986,269.9216555477528,0.028108447790145874,97.31063328432234,145.77795821629212
