Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.41970403054181266,0.8294357061386108,1573.6762640449438,598.5342784410112,0.8182997107505798,1599.658678604869,681.8905811095506,0.9331179857254028,1604.9490870786517,544.9518668071162,0.12060827016830444,1586.5828359082398,657.2939343398878,0.9282494187355042,1499.2111423220974,574.455392673221,0.270290732383728,1212.5414033239701,293.1221471207865,0.1849706768989563,1572.9386118913858,654.5863325140449,0.6646890044212341,902.4417720037453,954.64141502809,0.48637691140174866,905.033283590824,948.214682818352,0.930450439453125,627.6942883895131,724.5721412687267,0.23583588004112244,300.3345549508427,844.6640917602997,0.18532243371009827,1240.926088483146,862.0752867509364,0.10153886675834656,478.50359170177904,25.060422518726625,0.19228285551071167,893.7107180477528,189.65472846441946,0.19292086362838745,896.3629447565544,189.64423133192884,0.016675591468811035,1058.8347817181648,943.0263927902622,0.0439031720161438,302.65032478932585,846.4482385299625
1,0.4361618581940146,0.7315037250518799,1564.2923396535582,600.2915788857679,0.8814989328384399,1602.2430945692884,679.5329324672284,0.8637082576751709,1607.342579588015,545.4708713717229,0.15108364820480347,1594.1533532303372,660.7914179541199,0.7901395559310913,1500.428663389513,562.7168188202247,0.3588510751724243,1232.68360838015,299.21436095505624,0.16910773515701294,1608.385709269663,658.0438026685395,0.8321377038955688,892.6131642088015,981.6568644662923,0.7095959186553955,905.248200491573,971.2969627808989,0.9306026697158813,663.8626521535581,735.6827890917602,0.4124559462070465,293.5729203242041,827.7235486891386,0.1660299301147461,1241.7385007022472,855.1542017790262,0.10574039816856384,364.92845856741576,765.2441772003747,0.12312197685241699,891.54062792603,160.4886470037453,0.12956184148788452,882.9440981975656,161.56568205758424,0.02216508984565735,966.6055126404494,840.9446687734082,0.037447184324264526,295.6942371839888,855.7816889044943
2,0.4959990066640517,0.86503005027771,1587.9909878277153,592.8909176029963,0.8123608827590942,1612.057730571161,592.7846295646068,0.8880671262741089,1608.7741397471912,546.5414325842697,0.3062715530395508,1593.4885592228466,702.7629037921349,0.7909392714500427,1498.1585030430713,557.5771740402622,0.6038939952850342,1241.7058754681648,298.1843252574906,0.1724858582019806,1600.1255266853934,565.3117684925094,0.537033200263977,931.441947565543,1010.6147588951312,0.9053611755371094,328.90226328417606,623.7418071161048,0.9200342893600464,708.7988647003746,748.8094715589889,0.5828166007995605,295.2769670236423,826.4308286516855,0.155129075050354,1219.103830173221,727.1608731273409,0.14158976078033447,397.0486598782772,763.0970564138577,0.27634766697883606,926.1666812968165,148.89853259597385,0.364115834236145,914.1571570692885,145.79811124765922,0.027657896280288696,921.7111423220974,1021.2390273876406,0.08284887671470642,296.4744630735019,846.9267907303372
3,0.43505149904419393,0.8650254607200623,1534.1265800561798,621.9909439372659,0.7075528502464294,1602.967725889513,660.0026334269664,0.7966022491455078,1598.0613588483147,552.8553663389514,0.1475381851196289,1601.249853698502,693.5881905430713,0.7366654872894287,1496.5178780430713,555.4938407069288,0.6260131597518921,1242.077188670412,306.5193410580524,0.1128087043762207,435.2051512757491,536.4333157771536,0.5185218453407288,985.087268843633,1048.6136470037454,0.7914240956306458,331.90927112593636,623.1646477059926,0.8959109783172607,757.4750555945693,739.5471237125469,0.6974482536315918,297.79229210557116,837.0935744382023,0.14614689350128174,1249.6175678838952,861.8425210674159,0.0773996114730835,474.0535024578652,38.35290115870788,0.0360073447227478,980.8394779962547,1004.5957689606741,0.02955073118209839,951.7684193586142,1006.111013576779,0.04353517293930054,321.8380222963483,883.9826193820224,0.16772446036338806,295.482502340824,850.0778323970037
4,0.421048351946999,0.640536904335022,1539.9359199438202,621.0796319054307,0.8457688093185425,1614.694229868914,666.6578154260301,0.9320934414863586,877.3193908005618,547.4233380149813,0.14532533288002014,1608.833684456929,686.4237330290262,0.703039288520813,1499.1350655430713,533.1094188904494,0.7751725912094116,1236.3531425561798,302.01413272471916,0.08606109023094177,1391.2890625,624.8161721676031,0.5241469740867615,1316.0546875,559.7120055009364,0.8557302355766296,328.4764161985019,633.4148964185395,0.4687272608280182,805.7737886235956,774.2592755149813,0.40744978189468384,300.8175144838483,836.6916842228466,0.18348827958106995,464.2842564957865,54.47550912921349,0.17249944806098938,471.62032566713486,38.52429336376406,0.026475340127944946,983.6217667368915,998.9836434925094,0.04061645269393921,626.8938728932585,272.234535931648,0.08037868142127991,298.10479210557116,855.4655313670412,0.2703120708465576,297.9720417837079,854.2306004213483
5,0.34853385827120614,0.7554267644882202,1556.4665262172284,621.8602966994383,0.7873932719230652,987.0390039794008,276.86132080992513,0.7078880071640015,1623.025076076779,541.4888371956929,0.09125527739524841,1652.9937675561798,543.3273349719101,0.5857983827590942,1508.0199555243446,530.9407917837079,0.591080904006958,1268.9031776685395,296.2213980571162,0.12229147553443909,1378.5587839419477,599.1353581460675,0.5039697885513306,1310.697419241573,564.2787336142322,0.7170689105987549,327.6976167485955,642.7100158005619,0.11036762595176697,862.5084854868915,800.6131495786517,0.3406587839126587,300.81963585557116,829.2601533239701,0.15990009903907776,559.7187353698502,976.1262289325844,0.1204296350479126,461.5298747659176,35.26341584737827,0.034803926944732666,978.4440104166667,996.2192766853932,0.03214028477668762,982.2210761938203,992.5522296348315,0.07092443108558655,299.05973855922286,854.9978054775281,0.19367802143096924,299.4214141502809,853.4683696161048
6,0.3401956610819873,0.7393069863319397,1531.1424683988764,604.7601386938202,0.5803058743476868,1622.7691947565543,662.3959796348315,0.5995888710021973,1632.6280138108614,539.7883748829588,0.0925976037979126,1548.4748068820224,602.9661165730338,0.5286828875541687,1505.5143960674159,522.3066625702247,0.1674511432647705,1514.0572331460676,642.8500263342696,0.1286775767803192,1393.0707221441949,616.6760299625469,0.34543687105178833,327.48105395599254,636.6766151685395,0.8433128595352173,332.1320883075843,641.0628803838952,0.48784753680229187,906.5788857677903,765.3396389279026,0.4267461895942688,908.8853288857679,765.3966965121724,0.2548988163471222,455.98003716058054,29.350567649812774,0.28838932514190674,480.86032595973785,24.45147910814609,0.042019009590148926,931.3822565543071,1142.9981566011236,0.07140010595321655,643.1135884831461,270.36714360955057,0.06580427289009094,297.01398642322096,855.3119147940076,0.12086030840873718,299.0086793363764,842.9188611891386
7,0.40242907404899597,0.7982348203659058,1570.428517088015,616.3333187031835,0.6921582221984863,1630.9652972846443,665.4147647471912,0.747218906879425,1635.8621547284645,542.8104517790263,0.09895986318588257,1621.0033356741574,661.1189138576779,0.7109617590904236,1539.0862008426966,517.7702920177903,0.28550541400909424,1436.7421582397005,638.607575491573,0.6475102305412292,1414.4320575842696,605.5460703417602,0.3130439221858978,329.66288477294006,631.4853991104869,0.830425500869751,330.4529860135768,632.2588219803372,0.4271450638771057,973.8846705290263,737.9759919241574,0.5593819618225098,990.9135065543071,718.9064694522472,0.19768506288528442,923.8886938202247,1134.3328651685395,0.27263927459716797,456.8986276919476,28.042376228932596,0.08077019453048706,1276.7891210205994,566.5124648876405,0.05498552322387695,644.1607414559925,270.57869557584274,0.04362422227859497,694.6448531132959,887.0420763108614,0.08104431629180908,300.6298279494382,842.3520891853932
8,0.39297226421973286,0.8458988666534424,1578.157332631086,601.625702247191,0.7119857668876648,1630.8276275749065,663.5075784176031,0.6017661094665527,1644.7128101591761,540.1639308286517,0.13874545693397522,1618.7941830524346,669.871400983146,0.5648822784423828,1562.455231741573,510.3915028089888,0.28004756569862366,1413.692649812734,631.3858409410113,0.3060061037540436,1427.6348899812735,628.259451076779,0.7438582181930542,1359.9565484550562,230.9365490402622,0.8583903312683105,330.13364641853934,636.9602937734082,0.3171977698802948,1042.141488178839,697.935246956929,0.6292128562927246,1041.6116573033707,708.0791344803372,0.15783894062042236,461.64494089419475,49.34413038389516,0.19609147310256958,459.92502048220973,45.166344803370805,0.03802528977394104,794.9188026685393,1209.3843632958801,0.059413015842437744,642.8014542368915,264.91653499531833,0.12235185503959656,695.6836669007491,892.9105220037454,0.10881659388542175,701.237344920412,890.5361949906367
9,0.40780112848562355,0.6865462064743042,1578.4484726123596,603.4354517790263,0.8006107807159424,1632.9418305243446,668.7730424859551,0.6614653468132019,1628.362739934457,651.9406893726591,0.18330103158950806,1586.9234257958801,477.52830933988764,0.3419477939605713,1546.9579529494383,543.9030313670412,0.3547327518463135,1424.6776977996255,600.536487593633,0.25324004888534546,1431.3342696629213,590.476796582397,0.8324031829833984,1405.5107385299625,251.36089653558054,0.8398792743682861,330.10427639279027,637.6125790028091,0.4502909779548645,1079.8005179073034,682.637889161985,0.688234806060791,1072.684778792135,701.044300093633,0.1998528242111206,463.8492655664794,51.69684135065546,0.2007860541343689,466.8777431530899,48.57392614700376,0.08219185471534729,1407.3753511235955,246.38423162453182,0.05437314510345459,647.2666491104869,261.0537365402622,0.15659058094024658,693.7076457162922,893.7434164325844,0.14617252349853516,690.9572507022472,896.5213892790262
10,0.39937253033413606,0.7571662664413452,1587.3071746254682,612.2008865870787,0.5489456653594971,1629.0812265917602,659.1563524110488,0.588973343372345,1595.804073033708,579.2629330524345,0.14616286754608154,1617.718135533708,665.146959854869,0.4417930543422699,1584.9167544475656,517.5120698735956,0.16672560572624207,1633.6038448033707,621.6078534644196,0.27358824014663696,942.7202569054307,508.59513986423224,0.8854343891143799,1455.2247191011236,269.59167251872657,0.862923800945282,329.1627896769663,639.7294153792136,0.5496033430099487,1537.5668597846443,429.1758105102997,0.6422573328018188,1106.7902914325844,666.5328739466293,0.1788710653781891,463.56090531367045,45.317657127809014,0.2228747308254242,456.43854605571164,28.342806355337075,0.04725167155265808,1477.4163155430713,279.8783503043071,0.053161025047302246,647.4362856975656,265.4014513108615,0.21512344479560852,692.3339477996255,893.4285756086142,0.2084771692752838,699.2676147003746,889.7451427902622
