Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.4529787126709433,0.8750438690185547,533.1084313553371,201.3061797752809,0.5506066083908081,544.692108497191,201.37519750702245,0.40151405334472656,533.767885358146,188.91782610603934,0.25077417492866516,554.8066077071629,218.64197463132024,0.27581366896629333,546.5017117275281,164.13689431179773,0.319537878036499,411.5623079792837,114.11700645189606,0.298720121383667,495.1506539676966,212.82876689782302,0.8614798784255981,302.78753730688203,317.97223380442415,0.6020774245262146,447.5761773613062,186.56963219803367,0.783589243888855,308.21160134304773,237.01605293188203,0.9307330846786499,313.48487425386236,151.40411034058985,0.05297890305519104,430.4235702686095,187.0193721471208,0.30147844552993774,339.3946135445927,159.68648503335675,0.4483364522457123,293.1985987974017,59.33355095681179,0.6899855136871338,291.40164150280896,60.54273283883427,0.03026607632637024,336.5524051966292,277.90115870786514,0.02770271897315979,306.6453157917837,239.17101913623594
1,0.4621763878008899,0.9278430938720703,535.9341533532303,199.3236756056882,0.5718179941177368,547.7410134304776,200.75488829880618,0.5744470953941345,537.3974060744382,187.0779933286517,0.20368614792823792,552.3903836025281,211.65554775280896,0.37264755368232727,524.461519048455,170.302460059691,0.21182996034622192,410.32133295294943,112.9903660463483,0.16872525215148926,491.3643346207865,208.41259216994382,0.873177170753479,300.5326928985253,317.01797313904495,0.6177268028259277,298.55079222261236,318.9478910639045,0.7976418733596802,305.83084620786514,237.93212890625,0.9282476902008057,313.01118657830057,151.3253818469101,0.0945558249950409,424.85941340414325,238.16348643785113,0.24228227138519287,337.95544570751406,162.4101068732444,0.4605770707130432,292.7438114466292,58.759120984023866,0.750835657119751,290.5802866046348,59.69289029582163,0.03459247946739197,323.7108552054073,278.31375636411514,0.026364654302597046,306.2476134568118,239.2847228318118
2,0.46906739298035116,0.9294567108154297,536.0572660639045,198.0729349543539,0.5470699071884155,547.3743635884831,199.83184471558985,0.6318394541740417,560.1048981741573,183.99948977352528,0.23750239610671997,555.203706548455,216.6450963395365,0.3039845824241638,546.4388935217696,161.26580056179773,0.22144854068756104,571.356050298455,234.44714492626406,0.2333349585533142,494.623200491573,212.78468442766854,0.8918355703353882,300.6763243943118,316.7773163184691,0.5906028151512146,298.5491188992275,318.25711025280896,0.7963764667510986,305.87539501404495,237.16648744733146,0.9364601373672485,313.5002359111657,150.71892556179773,0.13750508427619934,422.8785551264045,255.4583260182584,0.23712077736854553,337.32081724016854,159.49196804775278,0.4592234492301941,292.79840019311797,58.33103822858146,0.7503831386566162,291.1279296875,59.403240761060374,0.04365554451942444,335.86820795294943,277.8576797313904,0.026346147060394287,306.43826259655896,239.11258997542132
3,0.46833986219237833,0.9225383996963501,536.2069873595506,196.72593706109552,0.5813642740249634,548.724214360955,199.36048872015448,0.5880336761474609,554.4275588132023,186.22906974192415,0.2656375467777252,554.998628423455,217.3291564255618,0.29012730717658997,550.2712978405899,171.47565177317415,0.23942840099334717,570.8646967169943,234.9511444434691,0.18579253554344177,495.84340984901684,213.22973358497188,0.9138467311859131,300.9811984287219,316.57583172401684,0.599722146987915,447.96951808286514,185.74443688553367,0.8138080835342407,305.29475179950845,237.55266853932585,0.943741500377655,313.5363906688904,151.1449646681882,0.08558511734008789,424.8264681355337,237.98249319698033,0.20112332701683044,336.9039676966292,160.6713592872191,0.4859863817691803,293.0473687675562,58.02306443117976,0.774404764175415,291.69488456811797,59.67610219891151,0.04406636953353882,336.54675430126406,277.70581877633424,0.02657109498977661,306.5824975860253,238.99844737535113
4,0.4700017168241389,0.9246411323547363,536.9385314255618,197.33705670646066,0.6201387047767639,551.1871817942416,199.3327554424157,0.5421624183654785,560.8192701018259,183.83171853054773,0.23592278361320496,555.9488017907303,216.91762859901684,0.31524643301963806,546.9033642029494,160.28375175561797,0.2934485077857971,569.9253313728932,234.07698384831457,0.2136809229850769,497.84272954705057,213.43335783883424,0.8940182328224182,303.4470736042837,316.2454737974017,0.6182834506034851,447.14695619733146,186.20866068293537,0.7930067777633667,306.6044702422753,237.13000351123594,0.8886009454727173,314.0476321102528,152.6118932145365,0.0949866771697998,425.53255574087075,238.82689058110952,0.25199827551841736,337.3025752721208,158.07943622717698,0.494575172662735,293.22265625,58.62173016151684,0.7449296116828918,292.01764396067415,59.29850717608849,0.03970929980278015,312.13480402914325,262.7802405196629,0.024679839611053467,306.87118701720505,239.5341028792135
5,0.440928099786534,0.8907300233840942,537.7589536516854,196.52121554599717,0.5272073745727539,552.3809471558989,199.79684208216293,0.5021546483039856,535.9282830056179,186.2102517117275,0.2988995313644409,556.6317920470506,218.43448253160113,0.2887815833091736,547.1197441186797,160.58473051264042,0.23551476001739502,571.0482685217696,235.86815308988764,0.15929999947547913,495.56218179424155,210.89832777387642,0.8692736029624939,303.3646144224017,317.1594924069522,0.5067655444145203,448.0802866046348,185.70054643609552,0.8067506551742554,308.95603822858146,237.76715567942415,0.8930914402008057,317.0305916432584,153.4204924508427,0.0833272635936737,426.8159124824438,240.5101716116573,0.23106563091278076,337.02532478932585,160.09867121664325,0.46451783180236816,293.43371444873594,59.06044263518257,0.6751300692558289,292.0891579617275,58.76296139834972,0.03830769658088684,328.35279143258424,264.6211431267556,0.024960041046142578,306.99616507198033,238.39692876580057
6,0.4380684828057009,0.8760277032852173,537.2314453125,195.09348665730334,0.5048584938049316,550.8563026685393,199.16259765625,0.5357767939567566,559.6455846207865,182.99363039852528,0.34955650568008423,554.1350289676966,218.45782676439603,0.2579366862773895,522.8331833742977,170.1321925474017,0.17439109086990356,572.1692854634831,234.71580933988764,0.1831735372543335,482.4167727352528,207.8662383690309,0.8568500280380249,305.25481149051967,317.14004345154495,0.5581474304199219,301.8428502457865,320.23248222436797,0.8316162824630737,310.2946969364466,238.5738347085674,0.8314512968063354,314.66006846910113,238.2837737008427,0.09049719572067261,429.37933418188203,241.89047138342698,0.1763450801372528,306.08796194698033,363.6693512991573,0.43921583890914917,293.0421567766854,57.619244864817404,0.7225483059883118,291.70240080758424,57.58636817503512,0.036065518856048584,336.74497454353934,280.02998266327245,0.022706419229507446,328.94624517205057,146.03359265273878
7,0.42110809508491964,0.8088585138320923,531.8853142556179,196.9190276070927,0.40362125635147095,549.9138649929776,199.26919658532302,0.5542882680892944,561.4336815308989,182.8640987096208,0.4072646498680115,554.2868899227528,217.02581855688203,0.2567759156227112,545.0608979985955,161.5227517117275,0.20902377367019653,573.060151860955,233.70070553897472,0.17384234070777893,480.14983102176967,197.2212682145365,0.8385472297668457,303.64633624473316,317.1936446629213,0.6430920362472534,300.8349609375,320.70167112886236,0.6413770318031311,317.0752776070927,236.27951632724717,0.7719484567642212,321.46509063377806,152.45517687851122,0.07234051823616028,368.7302492977528,162.82852001404495,0.17247021198272705,348.21190308988764,162.06861174508424,0.4274252653121948,293.76333172401684,58.322548169768254,0.6973857879638672,293.85766875877806,56.86476803897472,0.04093530774116516,341.1393686358848,230.08874100245788,0.03964105248451233,337.6997564080056,230.2904724806882
8,0.39370520675883575,0.9046362042427063,536.5869140625,197.96049310919943,0.551484227180481,549.2649446980337,199.46533203125,0.5741162300109863,557.199679599719,183.33301329880618,0.38010644912719727,552.1337890625,217.91259765625,0.26828205585479736,545.6937434164325,169.91227396418537,0.15504670143127441,572.241485252809,230.82947463132024,0.18823692202568054,476.63952773876406,208.55252040905896,0.8172054290771484,303.64855819873594,318.48051264044943,0.561084508895874,301.49976408883424,319.7424453563904,0.55832439661026,329.84396945224717,157.36917902914325,0.724897027015686,316.6602385445927,240.6807134392556,0.07691764831542969,343.90290335323033,165.3397943732444,0.16241589188575745,306.14084993855334,367.0994996488764,0.16376066207885742,295.32805367801967,53.109830363412925,0.5339096188545227,293.1206383865871,52.56104887201545,0.03769218921661377,333.85075601299155,170.08454397823033,0.034872353076934814,333.4056794241573,169.46094298630618
9,0.40949351472013135,0.9382723569869995,539.9529823560393,200.20068908005618,0.5900079011917114,550.1107685217696,199.44113742099717,0.691232442855835,556.7048147823034,183.5448395804073,0.17499059438705444,549.5237337605337,216.3029154231039,0.4190833866596222,543.5757549157303,169.12907632549155,0.22613322734832764,575.1160902387641,227.31527607092698,0.3131735920906067,196.93255135182585,139.88220900632024,0.6834428310394287,301.24580297577245,319.5789534322331,0.7102094888687134,303.1371521681882,318.1096383426966,0.5197556614875793,340.38195663623594,159.48129718223316,0.8218799829483032,322.0031875438904,244.65647493855334,0.11097297072410583,342.72556947858146,178.0130793539326,0.1392386555671692,347.97149315308985,190.80198823735952,0.1471477448940277,298.40518565660113,50.666709642731746,0.32461443543434143,295.634491309691,49.109407917837075,0.09854447841644287,338.08492253335675,158.93134985077245,0.05268999934196472,345.7971877194522,158.98536253511236
